"slide_no","period","time","purpose","page_type","pbi_mode","source_refs","source_pages","audio_track","student_instruction_zh","grouping","student_output","support_asset","teacher_note"
"29","P3","见教师手册","成段叙述","speaking","Presentational","E01-015","PDF p.19","","举两个谐音字的例子，说说它们可能带来的愿望或误会。","两人／小组","举两个谐音字的例子，说说它们可能带来的愿望或误会。","—","教师提示见教师手册与 PPT speaker notes"
"30","P4","见教师手册","模拟空间","material","Interpersonal","E01-016","PDF p.20","","拿出客户卡，完成一个中文名字提案。","小组","一个中文名字＋两个理由","活动二《起名儿公司》：客户角色卡（含四张客户卡）、命名顾问角色卡（含姓名提案）","教师提示见教师手册与 PPT speaker notes"
"31","P4","见教师手册","小组发表","presentation","Presentational","E01-016","PDF p.20","","每组介绍一个名字。 听其他组发表，记下三个最重要的命名条件。","小组","每组介绍一个名字。 听其他组发表，记下三个最重要的命名条件。","活动二《起名儿公司》：命名顾问角色卡（含姓名提案）","教师提示见教师手册与 PPT speaker notes"
"32","P4","见教师手册","课堂实践","material","Interpersonal","E01-017","PDF p.20","","给两位电影演员起中文名字，准备说明读音和含义。","小组","两个中文名字＋说明","活动三《电影演员中文名》：演员卡与小组呈现卡","教师提示见教师手册与 PPT speaker notes"
"33","P4","见教师手册","调查报告","classification","Interpersonal","E01-018","PDF p.20","","把课本上的姓名填入三类。","小组","把课本上的姓名填入三类。","课本《调查报告》","教师提示见教师手册与 PPT speaker notes"
"34","P5","见教师手册","听说（二）","divider","All modes","","—","","进入“听说（二）”","全班","准备进入本课部分","—","教师提示见教师手册与 PPT speaker notes"
"35","P5","见教师手册","课堂小组交流","prompt","Interpersonal","E01-019","PDF p.21","","用《预习卡B》的资料介绍本国常见的姓和名字。","两人／小组","用《预习卡B》的资料介绍本国常见的姓和名字。","预习卡B","教师提示见教师手册与 PPT speaker notes"
"36","P5","见教师手册","词语理解","divider","All modes","","—","","进入“词语理解”","全班","准备进入本课部分","—","教师提示见教师手册与 PPT speaker notes"
"37","P5","见教师手册","听力练习","listening","Interpretive","E01-020","PDF p.22","音频2-2","完成问题1到5。","个人→小组","完成问题1到5。","—","教师提示见教师手册与 PPT speaker notes"
"38","P5","见教师手册","用三到五句话回答问题，并使用画线词语","speaking","Presentational","E01-021","PDF p.22","","完成问题1到6。","两人／小组","完成问题1到6。","—","教师提示见教师手册与 PPT speaker notes"
"39","P5","见教师手册","语句理解","divider","All modes","","—","","进入“语句理解”","全班","准备进入本课部分","—","教师提示见教师手册与 PPT speaker notes"
"40","P5","见教师手册","听录音，跟读句子，并替换画线词语各说一句话","practice","Interpersonal","E01-022","PDF p.22","音频2-3","完成句子1到5。","两人／小组","完成句子1到5。","—","教师提示见教师手册与 PPT speaker notes"
"41","P5","见教师手册","听录音，复述并模仿对话","sequence","Interpersonal","E01-023","PDF p.23","音频2-4","先盖住课本。听录音，复述并模仿对话1到5。","两人／小组","先盖住课本。听录音，复述并模仿对话1到5。","—","教师提示见教师手册与 PPT speaker notes"
"42","P5","见教师手册","语段理解","divider","All modes","","—","","进入“语段理解”","全班","准备进入本课部分","—","教师提示见教师手册与 PPT speaker notes"
"43","P5","见教师手册","听力练习","listening","Interpretive","E01-024","—","音频2-5","完成填空。","个人→小组","完成填空。","—","教师提示见教师手册与 PPT speaker notes"
"44","P5","见教师手册","听力练习","listening","Interpretive","E01-025","PDF p.24","音频2-5","判断正误。","个人→小组","判断正误。","—","教师提示见教师手册与 PPT speaker notes"
"45","P5","见教师手册","听力练习","prompt","Interpersonal","E01-026","PDF p.24","音频2-5","姓“老”的人在与人交往中遇到了哪些麻烦？","两人／小组","姓“老”的人在与人交往中遇到了哪些麻烦？","—","教师提示见教师手册与 PPT speaker notes"
"46","P6","见教师手册","口语句式","divider","All modes","","—","","进入“口语句式”","全班","准备进入本课部分","—","教师提示见教师手册与 PPT speaker notes"
"47","P6","见教师手册","不然","pbiPattern","Interpersonal","E01-027","PDF p.25","","不然","两人／小组","不然","—","教师提示见教师手册与 PPT speaker notes"
"48","P6","见教师手册","是……还是……","pbiPattern","Interpersonal","E01-027","PDF p.25","","是……还是……","两人／小组","是……还是……","—","教师提示见教师手册与 PPT speaker notes"
"49","P6","见教师手册","怎么……怎么……","pbiPattern","Interpersonal","E01-027","PDF p.25","","怎么……怎么……","两人／小组","怎么……怎么……","—","教师提示见教师手册与 PPT speaker notes"
"50","P6","见教师手册","句式练习","material","Interpersonal","E01-027","PDF p.25","","拿出01·句式任务卡，完成三个句式任务。","小组","每个人说三句话","活动四《姓氏信息站》：01·句式任务卡","教师提示见教师手册与 PPT speaker notes"
"51","P6","见教师手册","文化知识","divider","All modes","","—","","进入“文化知识”","全班","准备进入本课部分","—","教师提示见教师手册与 PPT speaker notes"
"52","P6","见教师手册","请你说说","questions","Interpersonal","E01-028","PDF p.25","","中国人的姓名是姓在前、名在后，你们国家呢？；在你们国家，人的姓名是什么时候产生的？","两人／小组","中国人的姓名是姓在前、名在后，你们国家呢？；在你们国家，人的姓名是什么时候产生的？","活动四《姓氏信息站》：02·文化比较卡","教师提示见教师手册与 PPT speaker notes"
"53","P6","见教师手册","阅读短文，回答问题","reading","Interpretive","E01-029","—","","读课本短文，完成问题1到2。","全班","读课本短文，完成问题1到2。","活动四《姓氏信息站》：03·课文重点记录卡","教师提示见教师手册与 PPT speaker notes"
"54","P6","见教师手册","总结文章","summary","All modes","E01-029","—","","用三到五句话说明单姓、复姓和中国姓氏的来源。","两人／小组","用三到五句话说明单姓、复姓和中国姓氏的来源。","—","教师提示见教师手册与 PPT speaker notes"
"55","P6","见教师手册","口语练习","partner","Interpersonal","E01-029","—","","两人一组，共同完成一份总结。 完成后，和大家报告。","两人／小组","两人一组，共同完成一份总结。 完成后，和大家报告。","—","教师提示见教师手册与 PPT speaker notes"
"56","P6","见教师手册","拓展练习","divider","All modes","","—","","进入“拓展练习”","全班","准备进入本课部分","—","教师提示见教师手册与 PPT speaker notes"
"57","P6","见教师手册","成段叙述","speaking","Presentational","E01-030","PDF p.26","","解释“张王李赵遍地流（刘）”，再介绍你知道的中国姓氏。","两人／小组","解释“张王李赵遍地流（刘）”，再介绍你知道的中国姓氏。","—","教师提示见教师手册与 PPT speaker notes"
"58","P6","见教师手册","寻找历史名人","material","Interpersonal","E01-031","PDF p.26","","介绍一位中国历史人物，并说明他的姓和一件重要的事。","小组","一段人物介绍","活动五《调查与研究》：小组报告大纲","教师提示见教师手册与 PPT speaker notes"
"59","P6","见教师手册","读一读，说一说","material","Interpersonal","E01-032","—","","每人读五个姓，同学写下听到的姓。","小组","每人读五个姓，同学写下听到的姓。","活动四《姓氏信息站》：07·姓氏读法卡","教师提示见教师手册与 PPT speaker notes"
"60","P6","见教师手册","读对话，谈体会","partner","Interpersonal","E01-033","PDF p.27","","两人一组，共同用五句话总结对话。","两人／小组","一份五句话对话总结","活动四《姓氏信息站》：08·对话总结记录","教师提示见教师手册与 PPT speaker notes"
"61","P6","见教师手册","口语练习","presentation","Presentational","E01-033","PDF p.27","","每组报告一个重点。","小组","一段口头报告","活动四《姓氏信息站》：08·对话总结记录","教师提示见教师手册与 PPT speaker notes"
"62","P6","见教师手册","想一想：这课学了什么？","final","All modes","","—","","你现在能听懂哪些内容？；你会怎样介绍姓名和姓氏？；你会使用哪些句式？；你还想再练哪一部分？","个人","完成课末回顾","—","教师提示见教师手册与 PPT speaker notes"
