sheet_name,column_name,description,data_policy
Vocabulary,raw_source_text,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary,extraction_method,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary,audio_asset_ids,Audio identifiers linked by the source or section mapping.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary,review_status,Row-level source review status.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary,lesson_review_status,Lesson-level review status.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary,translation_status,Translation status in the canonical source package.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary,meaning_english,Reserved teacher-reviewed enrichment field; blank in this build.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary,meaning_vietnamese,Reserved teacher-reviewed enrichment field; blank in this build.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary,usage_register,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary,collocations,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary,example_sentence_source,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary,example_sentence_teacher,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary,character_components,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary,source_file,Relative path of the canonical structured input.,Relative path of the canonical structured input.
Grammar,record_id,Stable source record identifier.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar,lesson_id,Lesson identifier from the structured source.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar,lesson_number,Book lesson number.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar,lesson_title,Printed lesson title.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar,order,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar,pattern,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar,pattern_raw,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar,normalized_text,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar,textbook_page,Single printed textbook page when available.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar,textbook_page_range,Printed textbook page range; not PDF page number.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar,source_pdf_page,PDF page number when available.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar,source_pdf_page_range,PDF page range when available.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar,section_id,Canonical section identifier.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar,section_label,Printed section label for quick navigation.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar,meaning_raw,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar,explanation_raw,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar,examples_text,Grammar examples in readable line-separated form.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar,examples_json,Grammar examples preserved as source JSON.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar,example_count,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar,example_text_ids,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar,raw_source_text,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar,extraction_method,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar,review_status,Row-level source review status.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar,lesson_review_status,Lesson-level review status.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar,translation_status,Translation status in the canonical source package.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar,usage_function,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar,form_slots,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar,register_or_tone,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar,common_errors,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar,contrast_patterns,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar,teacher_example,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar,task_evidence,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar,source_file,Relative path of the canonical structured input.,Relative path of the canonical structured input.
Texts,record_id,Stable source record identifier.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Texts,lesson_id,Lesson identifier from the structured source.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Texts,lesson_number,Book lesson number.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Texts,lesson_title,Printed lesson title.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Texts,sequence,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Texts,text_type,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Texts,title,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Texts,textbook_page,Single printed textbook page when available.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Texts,textbook_page_range,Printed textbook page range; not PDF page number.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Texts,source_pdf_page,PDF page number when available.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Texts,source_pdf_page_range,PDF page range when available.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Texts,section_id,Canonical section identifier.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Texts,section_label,Printed section label for quick navigation.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Texts,text,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Texts,audio_asset_ids,Audio identifiers linked by the source or section mapping.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Texts,glossary_count,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Texts,review_status,Row-level source review status.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Texts,text_fidelity_status,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Texts,uncertainty,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Texts,extraction_method,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Texts,source_file,Relative path of the canonical structured input.,Relative path of the canonical structured input.
Exercises,record_id,Stable source record identifier.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Exercises,lesson_id,Lesson identifier from the structured source.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Exercises,lesson_number,Book lesson number.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Exercises,lesson_title,Printed lesson title.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Exercises,exercise_order,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Exercises,exercise_type,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Exercises,textbook_page,Single printed textbook page when available.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Exercises,textbook_page_range,Printed textbook page range; not PDF page number.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Exercises,source_pdf_page,PDF page number when available.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Exercises,source_pdf_page_range,PDF page range when available.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Exercises,section_id,Canonical section identifier.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Exercises,section_label,Printed section label for quick navigation.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Exercises,prompt_raw,Printed exercise prompt; no invented answer.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Exercises,options_raw,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Exercises,audio_asset_ids,Audio identifiers linked by the source or section mapping.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Exercises,related_text_dialogue_ids,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Exercises,answer_status,Source answer availability status.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Exercises,review_status,Row-level source review status.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Exercises,source_note,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Exercises,uncertainty,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Exercises,source_file,Relative path of the canonical structured input.,Relative path of the canonical structured input.
Audio,audio_asset_id,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Audio,lesson_id,Lesson identifier from the structured source.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Audio,lesson_number,Book lesson number.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Audio,lesson_title,Printed lesson title.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Audio,track_label,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Audio,file,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Audio,file_exists_local,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Audio,textbook_page,Single printed textbook page when available.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Audio,textbook_page_range,Printed textbook page range; not PDF page number.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Audio,source_pdf_page,PDF page number when available.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Audio,source_pdf_page_range,PDF page range when available.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Audio,related_section_id,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Audio,related_section,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Audio,mapping_method,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Audio,mapping_status,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Audio,printed_label_status,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Audio,content_status,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Audio,decode_status,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Audio,duration_seconds,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Audio,size_bytes,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Audio,sha256,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Audio,review_status,Row-level source review status.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Audio,source_audio_root,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Audio,source_file,Relative path of the canonical structured input.,Relative path of the canonical structured input.
Audio,source_order,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Sections,section_id,Canonical section identifier.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Sections,lesson_id,Lesson identifier from the structured source.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Sections,lesson_number,Book lesson number.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Sections,lesson_title,Printed lesson title.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Sections,section_order,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Sections,section_level,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Sections,section_type,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Sections,section_label_raw,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Sections,source_part_id,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Sections,source_part_label,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Sections,parent_section_id,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Sections,textbook_page,Single printed textbook page when available.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Sections,textbook_page_range,Printed textbook page range; not PDF page number.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Sections,source_pdf_page,PDF page number when available.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Sections,source_pdf_page_range,PDF page range when available.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Sections,audio_asset_ids,Audio identifiers linked by the source or section mapping.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Sections,review_status,Row-level source review status.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Sections,source_file,Relative path of the canonical structured input.,Relative path of the canonical structured input.
Glossary,glossary_record_id,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Glossary,lesson_id,Lesson identifier from the structured source.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Glossary,lesson_number,Book lesson number.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Glossary,lesson_title,Printed lesson title.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Glossary,source_type,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Glossary,source_record_id,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Glossary,section_id,Canonical section identifier.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Glossary,textbook_page,Single printed textbook page when available.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Glossary,source_pdf_page,PDF page number when available.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Glossary,hanzi,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Glossary,pinyin,Pinyin as recorded in the source package.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Glossary,part_of_speech,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Glossary,definition_raw,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Glossary,review_status,Row-level source review status.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Glossary,source_file,Relative path of the canonical structured input.,Relative path of the canonical structured input.
Glossary,raw_glossary,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Source_QA,lesson_id,Lesson identifier from the structured source.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Source_QA,lesson_number,Book lesson number.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Source_QA,lesson_title,Printed lesson title.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Source_QA,source_file,Relative path of the canonical structured input.,Relative path of the canonical structured input.
Source_QA,item_type,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Source_QA,field,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Source_QA,status,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Source_QA,value,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Source_QA,detail,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary_Master,chinese_simplified,Simplified Chinese headword; source-faithful.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary_Master,pinyin_variants,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary_Master,lesson_record_count,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary_Master,lessons,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary_Master,record_ids,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary_Master,textbook_pages,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary_Master,marked_in_any_lesson,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary_Master,part_of_speech,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary_Master,meaning_chinese_from_source,Definition copied only from source glossary entries.,Definition copied only from source glossary entries.
Vocabulary_Master,review_statuses,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary_Master,source_file_count,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar_Master,pattern,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar_Master,lesson_record_count,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar_Master,lessons,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar_Master,record_ids,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar_Master,textbook_pages,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar_Master,meanings_raw,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar_Master,example_count_total,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Grammar_Master,review_statuses,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Proposed_Fields,priority,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Proposed_Fields,entity,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Proposed_Fields,field_name,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Proposed_Fields,why_add,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Proposed_Fields,suggested_source,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Proposed_Fields,status,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
