record_id,lesson_id,lesson_number,lesson_title,exercise_order,exercise_type,textbook_page,textbook_page_range,source_pdf_page,source_pdf_page_range,section_id,section_label,prompt_raw,options_raw,audio_asset_ids,related_text_dialogue_ids,answer_status,review_status,source_note,uncertainty,source_file
E01-013,boya-intermediate-i-lesson-01,1,中国人的姓名,13,culture_discussion,7,,18,,S01-006,文化知识,"请你说说：
1. 你们国家的人读到你的名字时，常常会联想到什么人或者什么事物？
2. 在你们国家，一般喜欢叫什么名字？",,,,,pending_review,,,work/boya-intermediate/extractions/structured-lesson-01.json
E01-014,boya-intermediate-i-lesson-01,1,中国人的姓名,14,reading_comprehension,8,,19,,S01-006,文化知识,"读后回答：
1. 什么是谐音现象？请举例说明。
2. 在生活中，人们怎样利用谐音来表达自己的愿望？请举例说明。
3. 起名儿的时候，人们怎样避免谐音带来的不吉利的影响？请举例说明。",,,,,pending_review,,,work/boya-intermediate/extractions/structured-lesson-01.json
E01-015,boya-intermediate-i-lesson-01,1,中国人的姓名,15,paragraph_speaking,8,,19,,S01-007,拓展练习,成段叙述：汉语中同音字很多，比如“殊”和“舒”“叔”“输”同音，如果在交际中表达不清楚，有时会引起歧义，造成误会。请你举两个例子，说说你所知道的谐音字趣闻。,,,,,pending_review,,,work/boya-intermediate/extractions/structured-lesson-01.json
E01-016,boya-intermediate-i-lesson-01,1,中国人的姓名,16,role_play,9,,20,,S01-007,拓展练习,模拟空间：三四人组建一家起名儿公司，向客户询问相关问题，然后按他们的要求给孩子起名儿。,"[""你的孩子是男孩儿还是女孩儿？"",""你想给孩子起一个什么样的名字？是具有时代意义的、表现美好事物的，还是要表达美好愿望的呢？"",""你想要一个字的名字还是两个字的？对发音有什么要求？"",""你对汉字的选择有什么要求？是要典雅一些的还是要通俗一些的？""]",,,,pending_review,,,work/boya-intermediate/extractions/structured-lesson-01.json
E01-017,boya-intermediate-i-lesson-01,1,中国人的姓名,17,classroom_practice,9,,20,,S01-007,拓展练习,选看一部欧美经典电影的片段，根据影片中主要演员名字的发音及含义，给他们各起一个中文名字。,,,,,pending_review,,,work/boya-intermediate/extractions/structured-lesson-01.json
E01-018,boya-intermediate-i-lesson-01,1,中国人的姓名,18,survey_report,9,,20,,S01-007,拓展练习,调查报告：中国人在给孩子起名字的时候，有的注重名字的时代意义，如“解放”；有的具有地域特点，如“长江”；有的体现父母对孩子的美好愿望，如“美丽”等。请你根据上面的说明向你的中国朋友了解下面名字的含义，按类别分别填写在后面的空格内。,"{""names"":[""梁开放"",""余胜男"",""吴建国"",""李小龙"",""于国庆"",""康有为"",""王豫"",""苏东坡"",""孙湘"",""郑板桥"",""刘为民"",""郑成功"",""王沪生"",""陈招娣"",""钱卫东""],""categories"":[""注重时代意义"",""具有地域特点"",""体现美好愿望""]}",,,,pending_review,,,work/boya-intermediate/extractions/structured-lesson-01.json
E01-034,boya-intermediate-i-lesson-01,1,中国人的姓名,34,classroom_exchange,2,,13,,S01-002-02,课堂小组交流,课堂小组交流：用汉语介绍自己名字的意思和来历。,,,,,pending_review,,,work/boya-intermediate/extractions/structured-lesson-01.json
E01-035,boya-intermediate-i-lesson-01,1,中国人的姓名,35,survey_report,2,,13,,S01-002-03,小调查,小调查：采访至少三位中国朋友，了解他们名字的意思和来历，然后在班里汇报。,"{""table_columns"":[""朋友"",""姓"",""名"",""名字的意思和来历""],""rows"":[""A"",""B"",""C""]}",,,,pending_review,,,work/boya-intermediate/extractions/structured-lesson-01.json
E01-019,boya-intermediate-i-lesson-01,1,中国人的姓名,19,classroom_exchange,10,,21,,S01-009-02,课堂小组交流,课堂小组交流：介绍自己国家几个常见的姓和名字，说说为什么这些姓和名字比较常见。,,"[""A01-007""]",,,pending_review,,,work/boya-intermediate/extractions/structured-lesson-01.json
E01-020,boya-intermediate-i-lesson-01,1,中国人的姓名,20,listening_comprehension_questions,11,,22,,S01-010,词语理解,"听对话，回答问题：
1. 女士为什么感到开心？
2. 男士为什么回来晚了？
3. 奶奶为什么哭了？
4. 男士为什么让女儿选学国学课？
5. 他们为什么没有爬山？",,"[""A01-008""]",,,pending_review,,,work/boya-intermediate/extractions/structured-lesson-01.json
E01-021,boya-intermediate-i-lesson-01,1,中国人的姓名,21,guided_speaking,11,,22,,S01-010,词语理解,"用三至五句话回答问题，并使用画线词语：
1. 做父母的，总要为子女操心，请说说你让父母最操心的几件事。
2. 你来中国以后，做过哪些让人啼笑皆非的事情？
3. 说出几个你们国家很少见的姓。
4. 在你们国家的语言中，有没有对老年人的尊称？简单介绍一下。
5. 在中国，人与人之间最常见的称呼是什么？
6. 在和陌生人交往的时候，应该注意什么？",,,,,pending_review,,,work/boya-intermediate/extractions/structured-lesson-01.json
E01-022,boya-intermediate-i-lesson-01,1,中国人的姓名,22,listen_repeat_substitute,11,,22,,S01-010A,语句理解,"听录音，跟读句子，并替换画线词语各说一句话：
1. 你们中国人不是都叫陈什么吗？
2. 你的姓译成另一种语言，很可能变成一个让人啼笑皆非的笑话。
3. 哎呀，姓什么不好，偏偏要姓贾！
4. 我姓常，你姓江，我们的孩子干脆就叫常江吧。
5. 他听说我也姓李，连忙大声说“咱俩五百年前是一家”。",,"[""A01-009""]",,,pending_review,,,work/boya-intermediate/extractions/structured-lesson-01.json
E01-023,boya-intermediate-i-lesson-01,1,中国人的姓名,23,dialogue_repetition,12,,23,,S01-010A-02,听录音，复述并模仿对话,"听录音，复述并模仿对话：
1. A：您贵姓？
   B：
2. A：你好！我姓张，弓长张。
   B：
3. A：诸先生，很高兴认识您。
   B：
4. A：您姓zhāng？哪个zhāng？
   B：
5. A：你的女朋友姓什么？
   B：",,"[""A01-010""]",,,pending_review,,,work/boya-intermediate/extractions/structured-lesson-01.json
E01-024,boya-intermediate-i-lesson-01,1,中国人的姓名,24,listening_fill_blank,"[12,13]",12–13,"[23,24]",23–24,S01-011,语段理解,"听第一遍录音，填空：
1. 孩子出生以后，父母________地要给孩子起个好名字。
2. 因为按照中国的________，姓是不能随便改的。
3. 在中国，常常在姓前面加上一个“老”字，作为朋友之间________的称呼。
4. 常常在姓后面加上一个“老”字，作为对年龄较大的人的________。
5. 姓什么不好呀，________要姓“老”！",,"[""A01-011""]",,,pending_review,,,work/boya-intermediate/extractions/structured-lesson-01.json
E01-025,boya-intermediate-i-lesson-01,1,中国人的姓名,25,listening_true_false,13,,24,,S01-011,语段理解,"听第二遍录音，判断正误：
1. 在中国，二十岁以上的女人，才被叫作“老女士”。
2. 在别人的姓后面加上“老”字是一种亲热的称呼。
3. 名字是可以改的，姓一般是不能改的。
4. “我”朋友的女儿姓“老”，二十岁不到。",,"[""A01-011""]",,,pending_review,,,work/boya-intermediate/extractions/structured-lesson-01.json
E01-026,boya-intermediate-i-lesson-01,1,中国人的姓名,26,listening_open_response,13,,24,,S01-011,语段理解,听后回答：文中介绍了姓“老”的人在与人交往中遇到的一些麻烦，请你说说他们遇到了哪些麻烦。,,"[""A01-011""]",,,pending_review,,,work/boya-intermediate/extractions/structured-lesson-01.json
E01-027,boya-intermediate-i-lesson-01,1,中国人的姓名,27,pattern_practice,14,,25,,S01-012,口语句式,"句式练习：
1. 完成句子，用“不然”：
（1）我们必须马上出发，不然________。
（2）你一定要好好儿复习，不然________。
（3）夏天出门一定要带雨伞，不然________。
2. 用“是……还是……”提出问题：
（1）颐和园／圆明园
（2）坐车／骑车
（3）上北大／上清华
3. 用“怎么……怎么……”造句：
（1）________
（2）________
（3）________",,,,,pending_review,,,work/boya-intermediate/extractions/structured-lesson-01.json
E01-028,boya-intermediate-i-lesson-01,1,中国人的姓名,28,culture_discussion,14,,25,,S01-013,文化知识,"请你说说：
1. 中国人的姓名是姓在前，名在后，你们国家呢？
2. 在你们国家，人的姓名是什么时候产生的？",,,,,pending_review,,,work/boya-intermediate/extractions/structured-lesson-01.json
E01-029,boya-intermediate-i-lesson-01,1,中国人的姓名,29,reading_comprehension,"[14,15]",14–15,"[25,26]",25–26,S01-013,文化知识,"读后回答：
1. 什么是复姓？说出几个中国常见的复姓。
2. 简单介绍中国一些姓的来历。",,,,,pending_review,,,work/boya-intermediate/extractions/structured-lesson-01.json
E01-030,boya-intermediate-i-lesson-01,1,中国人的姓名,30,paragraph_speaking,15,,26,,S01-014,拓展练习,成段叙述：中国有句话“张王李赵遍地流（刘）”，请你解释这句话的意思，并谈谈你知道的中国人的姓。,,,,,pending_review,,,work/boya-intermediate/extractions/structured-lesson-01.json
E01-031,boya-intermediate-i-lesson-01,1,中国人的姓名,31,research_speaking,15,,26,,S01-014,拓展练习,寻找历史名人：在中国，张、王、李、赵、陈、杨、吴、刘、黄、周，这10个姓占人口的40%左右。请你分别列举几个中国历史上姓这些姓的名人，并简单介绍他们的情况。,,,,,pending_review,,,work/boya-intermediate/extractions/structured-lesson-01.json
E01-032,boya-intermediate-i-lesson-01,1,中国人的姓名,32,pronunciation_reading,"[15,16]",15–16,"[26,27]",26–27,S01-014,拓展练习,"读一读，说一说：下面是《百家姓》中的部分单姓和复姓，请大声朗读，并说一说你认识的同学和朋友中是否有这些姓。
单姓：赵钱孙李；周吴郑王；冯陈褚卫；蒋沈韩杨；朱秦尤许；何吕施张；孔曹严华；金魏陶姜。
复姓：万俟司马；上官欧阳；夏侯诸葛；闻人东方；赫连皇甫；尉迟公羊；澹台公冶；宗正濮阳。",,,,,pending_review,,,work/boya-intermediate/extractions/structured-lesson-01.json
E01-033,boya-intermediate-i-lesson-01,1,中国人的姓名,33,dialogue_reflection,16,,27,,S01-014,拓展练习,读对话，谈体会。,,,"[""T01-005""]",,pending_review,,,work/boya-intermediate/extractions/structured-lesson-01.json
E02-001,boya-intermediate-i-lesson-02,2,真正的朋友,1,speech_preparation,18,,,,S02-002-02,三分钟演讲准备,"下面是有关“朋友”的名言名句，请向你的中国朋友了解这些句子的含义，选择你喜欢的句子，做三分钟演讲准备。
1. 君子之交淡如水。
2. 黄金易得，知己难求。
3. 路遥知马力，日久见人心。
4. 人生得一知己足矣。
5. 在家靠父母，出门靠朋友。",,,,not_provided_in_source,visually_confirmed,,,work/boya-intermediate/extractions/structured-lesson-02.json
E02-002,boya-intermediate-i-lesson-02,2,真正的朋友,2,survey,19,,,,S02-002-03,小调查,"向你的朋友（至少三人）调查以下问题，说说人们对“朋友”的看法：
1. 你喜欢和什么样的人交朋友？为什么？
2. 你认为什么样的朋友能称为“知己”？
3. 你最不喜欢和什么样的人在一起？为什么？",,,,open,visually_confirmed,,,work/boya-intermediate/extractions/structured-lesson-02.json
E02-003,boya-intermediate-i-lesson-02,2,真正的朋友,3,listening_comprehension_questions,19,,,,S02-003-01,听对话，回答问题,"听对话，回答问题：
1. 女士为什么不去网上寻找知音？
2. 电影里的姑娘为什么离开家乡？
3. 女士觉得小说怎么样？
4. 男士为什么要和那个姑娘分手？
5. 女士今天为什么不回家吃晚饭？",,"[""A02-002""]",,not_provided_in_source,visually_confirmed,,,work/boya-intermediate/extractions/structured-lesson-02.json
E02-004,boya-intermediate-i-lesson-02,2,真正的朋友,4,listening_multiple_choice,"[19,20]",19–20,,,S02-003-02,选出与所听到的句子意思相近的一项,"选出与所听到的句子意思相近的一项：
1. A. 他怕自己得病，从来不敢喝酒。 B. 他得病后，再也不喝酒了。 C. 因为喝酒，他得了一场大病。
2. A. 她们总是议论附近商场发生的事情。 B. 她们常常交流在商场买东西的经验。 C. 她们总是议论附近商场有什么值得买的东西。
3. A. 这里的冬天不可能有这么暖和的天气。 B. 这里的冬天天气很暖和。 C. 这里的冬天这么暖和的天气很少见。
4. A. 他本来想参加这次旅行，可是又忽然改变了主意。 B. 他喜欢旅游，所以要参加这次旅行。 C. 他不喜欢旅游，所以不参加这次旅行。
5. A. 老王捡到了一个别人丢失的钱包。 B. 老王很高兴有人把他丢失的钱包送了回来。 C. 老王拿到丢失的钱包，高兴得忘了说“谢谢”。",,"[""A02-003""]",,not_provided_in_source,visually_confirmed,,,work/boya-intermediate/extractions/structured-lesson-02.json
E02-005,boya-intermediate-i-lesson-02,2,真正的朋友,5,guided_speaking,20,,,,S02-003-03,用三至五句话回答问题，并使用画线词语,"用三至五句话回答问题，并使用画线词语：
1. 你喜欢听慢节奏的音乐还是快节奏的？
2. 怎样做才能使你的生活变得充实起来？
3. 你有没有无话不谈的“知己”？
4. 有的人是音乐迷，有的人是体育迷，你呢？
5. 大学里有很多协会，如果有时间，你打算参加哪一个？",,,,open,visually_confirmed,,,work/boya-intermediate/extractions/structured-lesson-02.json
E02-006,boya-intermediate-i-lesson-02,2,真正的朋友,6,listen_repeat_comment,20,,,,S02-004-01,听录音，跟读句子，并谈谈自己看法,"听录音，跟读句子，并谈谈自己的看法：
1. 一个人命里不一定有太太或丈夫，但绝对不可能没有朋友。
2. 一个人不能选择父母，但是每个人都可以选择自己的朋友。
3. 高级的人使人尊敬，有趣的人使人欢喜。
4. 朋友是自己的镜子。
5. 低级而无趣的人，余不欲与之同乐矣。",,"[""A02-004""]",,open,visually_confirmed,,,work/boya-intermediate/extractions/structured-lesson-02.json
E02-007,boya-intermediate-i-lesson-02,2,真正的朋友,7,listening_repetition,20,,,,S02-004-02,听记句子并复述,听记句子并复述。教材提供四条作答线，未印出待听句子的文字。,,"[""A02-005""]",,audio_dependent,visually_confirmed,,,work/boya-intermediate/extractions/structured-lesson-02.json
E02-008,boya-intermediate-i-lesson-02,2,真正的朋友,8,listening_fill_blank,21,,,,S02-005-02-01,（一）听第一遍录音，填空,"听第一遍录音，填空：
1. 话不能说得那么____。
2. 在我们大学，有不少京剧爱好者，大多是____的学生。
3. 想找到一个____还真不容易。
4. 人的一生能遇到一个知己就____了。
5. 什么时候你给我们____，唱两段？",,"[""A02-006""]",,not_provided_in_source,visually_confirmed,,,work/boya-intermediate/extractions/structured-lesson-02.json
E02-009,boya-intermediate-i-lesson-02,2,真正的朋友,9,listening_true_false,21,,,,S02-005-02-02,（二）听第二遍录音，判断正误,"听第二遍录音，判断正误：
1. 男士认为现在的年轻人，喜欢听京剧的很多。
2. 女士说她们大学有一个京剧爱好者协会。
3. 男士认为人的一生可以得到很多知己，到处都可以遇到。",,"[""A02-006""]",,not_provided_in_source,visually_confirmed,,,work/boya-intermediate/extractions/structured-lesson-02.json
E02-010,boya-intermediate-i-lesson-02,2,真正的朋友,10,listening_open_response,21,,,,S02-005-02-03,（三）听后回答,"听后回答：
1. 男士唱京剧唱得很好，但却听不到他唱，为什么？
2. 怎样才能找到人生的知己？",,"[""A02-006""]",,open,visually_confirmed,,,work/boya-intermediate/extractions/structured-lesson-02.json
E02-011,boya-intermediate-i-lesson-02,2,真正的朋友,11,pattern_rewrite,22,,,,S02-006-02,句式练习,"用“有几个……呢”改写句子：
（1）这里房价很高，很少有人买得起这儿的房子。
（2）当运动员的，大多数都受过伤。
（3）这个班的学生都很优秀，几乎都得过奖。",,,,not_provided_in_source,visually_confirmed,,,work/boya-intermediate/extractions/structured-lesson-02.json
E02-012,boya-intermediate-i-lesson-02,2,真正的朋友,12,pattern_completion,23,,,,S02-006-02,句式练习,"完成句子：
（1）________，没什么可买。
（2）________，没什么好吃。
（3）________，没什么精彩的。",,,,open,visually_confirmed,,,work/boya-intermediate/extractions/structured-lesson-02.json
E02-013,boya-intermediate-i-lesson-02,2,真正的朋友,13,pattern_speaking,23,,,,S02-006-02,句式练习,介绍一个善于模仿的人，说说他在哪些方面的模仿“像那么回事”。,,,,open,visually_confirmed,,,work/boya-intermediate/extractions/structured-lesson-02.json
E02-014,boya-intermediate-i-lesson-02,2,真正的朋友,14,pattern_speaking,23,,,,S02-006-02,句式练习,说说你值得向同学们“露一手”的才艺。,,,,open,visually_confirmed,,,work/boya-intermediate/extractions/structured-lesson-02.json
E02-015,boya-intermediate-i-lesson-02,2,真正的朋友,15,culture_discussion_and_performance,23,,,,S02-007-01,请你说说,京剧讲究“唱念做打”，请查阅相关资料或向朋友请教，了解其含义，并现场表演，如唱一句、念一句、做一个动作、摆一个姿势等。,,,,open,visually_confirmed,,,work/boya-intermediate/extractions/structured-lesson-02.json
E02-016,boya-intermediate-i-lesson-02,2,真正的朋友,16,reading_comprehension,24,,,,S02-007-03,读后回答,"读后回答：
1. 俞伯牙为什么把钟子期看成自己的知音？
2. 俞伯牙后来为什么把琴摔碎，再也不弹了？",,,,open,visually_confirmed,,,work/boya-intermediate/extractions/structured-lesson-02.json
E02-017,boya-intermediate-i-lesson-02,2,真正的朋友,17,paragraph_speaking,24,,,,S02-008-01,成段叙述,人的一生遇到一个知己就很令人满足了。你有没有算得上是知己的朋友呢？讲述你们之间发生的一件难忘的事来论证。,,,,open,visually_confirmed,,,work/boya-intermediate/extractions/structured-lesson-02.json
E02-018,boya-intermediate-i-lesson-02,2,真正的朋友,18,speech,24,,,,S02-008-02,三分钟演讲,以“朋友”为主题做三分钟演讲。,,,,open,visually_confirmed,,,work/boya-intermediate/extractions/structured-lesson-02.json
E02-019,boya-intermediate-i-lesson-02,2,真正的朋友,19,classroom_practice,24,,,,S02-008-03,课堂实践,选看一部有关友情的短片，谈谈自己对这部短片的感想。,,,,open,visually_confirmed,,,work/boya-intermediate/extractions/structured-lesson-02.json
E02-020,boya-intermediate-i-lesson-02,2,真正的朋友,20,survey_report,24,,,,S02-008-04,调查报告,将自己所做的有关“朋友”调查整理成PPT，向全班同学汇报。,,,,open,visually_confirmed,,,work/boya-intermediate/extractions/structured-lesson-02.json
E02-021,boya-intermediate-i-lesson-02,2,真正的朋友,21,research_preparation,26,,,,S02-010-02,查资料,上网查询有关中国古代“桃园三结义”的故事。,,,,open,visually_confirmed,,,work/boya-intermediate/extractions/structured-lesson-02.json
E02-022,boya-intermediate-i-lesson-02,2,真正的朋友,22,classroom_exchange,26,,,,S02-010-03,课堂小组交流,每一种语言中都有关于朋友、友情的说法。请将你们国家语言中关于朋友、友情的说法翻译成汉语（至少三句），在班里和其他同学一起交流。,,,,open,visually_confirmed,,,work/boya-intermediate/extractions/structured-lesson-02.json
E02-023,boya-intermediate-i-lesson-02,2,真正的朋友,23,listening_comprehension_questions,26,,,,S02-011-01,听对话，回答问题,"听对话，回答问题：
1. 女士是什么意思？
2. 男士大学毕业以后想做什么？
3. 女士认为，政府工作人员首先要做的是什么？
4. 男士对那位球员的做法怎么看？
5. 女士觉得这个朋友怎么样？",,"[""A02-008""]",,not_provided_in_source,visually_confirmed,,,work/boya-intermediate/extractions/structured-lesson-02.json
E02-024,boya-intermediate-i-lesson-02,2,真正的朋友,24,listening_multiple_choice,"[26,27]",26–27,,,S02-011-02,选出与所听到的句子意思相近的一项,"选出与所听到的句子意思相近的一项：
1. A. 很多人买电视都抽中了大奖。 B. 很多抽中大奖的人都在买电视。 C. 买电视中大奖的人只是极少数。
2. A. 看见他快要死了，我却不知道怎么去救他。 B. 看见他遇到大的麻烦，我却没能力帮助他。 C. 听说他快要死了，我拿出再多的钱也救不了他了。
3. A. 恋爱双方不要总怀疑对方对自己不忠诚。 B. 恋爱双方不要总是怀疑对方装神弄鬼骗自己。 C. 恋爱双方不要总怀疑对方让别人装神弄鬼来吓唬自己。
4. A. 父母应该教育子女信任别人。 B. 彼此信任是父母对子女进行家庭教育的基础。 C. 父母与子女没有共同话题，所以不知道谈什么。
5. A. 职员要学会和老板共同工作，共同生活。 B. 老板要平等对待每一个职员。 C. 职员要学会处理好与老板的关系。",,"[""A02-009""]",,not_provided_in_source,visually_confirmed,,,work/boya-intermediate/extractions/structured-lesson-02.json
E02-025,boya-intermediate-i-lesson-02,2,真正的朋友,25,guided_speaking,27,,,,S02-011-03,用三至五句话回答问题，并使用画线词语,"用三至五句话回答问题，并使用画线词语：
1. 你最希望结交什么样的朋友？
2. 你希望你的朋友性格幽默吗？为什么？
3. 怎样才能增强课堂学习的趣味性？
4. 当朋友落难急需一笔资金的时候，你是否会帮助他？
5. 怎样做才能得到朋友的信任？
6. 学习的最高境界是什么？",,,,open,visually_confirmed,,,work/boya-intermediate/extractions/structured-lesson-02.json
E02-026,boya-intermediate-i-lesson-02,2,真正的朋友,26,listen_repeat_substitute,27,,,,S02-012-01,听录音，跟读句子，并替换画线词语各说一句话,"听录音，跟读句子，并替换画线词语各说一句话：
1. 这件事很难解决，就是校长来了也没什么办法。
2. 提起北京人的早餐，一般说来，常常就是包子、油条和粥。
3. 刚来这里留学的学生，男同学都会瘦一两公斤，女同学则普遍发胖。
4. 不管你有没有兴趣，反正你必须参加今天的晚会。
5. 我希望找一个和自己专业有关的工作，至于工资，对我来说不重要。",,"[""A02-010""]",,open,visually_confirmed,,,work/boya-intermediate/extractions/structured-lesson-02.json
E02-027,boya-intermediate-i-lesson-02,2,真正的朋友,27,listening_fill_and_reflection,28,,,,S02-012-02,听录音，填空并谈谈自己的感受,"听录音，填空并谈谈自己的感受：
1. 我不喜欢和________的人交朋友，那样我会________的。
2. 我不爱和________的人交往，那样我不能随心所欲地________。
3. 我最怕和________的人在一起，________有什么意思。
4. 我讨厌________的人，总是________，让人难堪。",,"[""A02-011""]",,not_provided_in_source,visually_confirmed,,,work/boya-intermediate/extractions/structured-lesson-02.json
E02-028,boya-intermediate-i-lesson-02,2,真正的朋友,28,listening_fill_blank,28,,,,S02-013-02-01,（一）听第一遍录音，填空,"听第一遍录音，填空：
1. 朋友往往是________的。
2. 毫无疑问，________是我的首选。
3. 友谊应该建立在互相________的基础上。
4. 人在顺境中会有很多“朋友”，而在落难的时候，“朋友”就________了。
5. 人间________最难求。",,"[""A02-012""]",,not_provided_in_source,visually_confirmed,,,work/boya-intermediate/extractions/structured-lesson-02.json
