record_type,record_id,textbook_id,lesson_key,word,pinyin,pattern,expression,meaning_en_source,meaning_vi,meaning_vi_status
vocabulary,boya-elementary-i:查:cha,boya-elementary-i,,查,cha,,,to check; to examine,kiểm tra; tra cứu,translated_subagent_draft
vocabulary,boya-elementary-i:蛋糕:dangao,boya-elementary-i,,蛋糕,dangao,,,cake,bánh ngọt,translated_subagent_draft
vocabulary,boya-elementary-i:差:cha,boya-elementary-i,,差,cha,,,to lack; to be short （by some amount）,thiếu; kém,translated_subagent_draft
vocabulary,boya-elementary-i:当然:dangran,boya-elementary-i,,当然,dangran,,,"of course, certainly",đương nhiên; tất nhiên,translated_subagent_draft
vocabulary,boya-elementary-i:差不多:chabudui,boya-elementary-i,,差不多,chabudui,,,almost; nearly,gần như; xấp xỉ,translated_subagent_draft
vocabulary,boya-elementary-i:倒霉:ddomei,boya-elementary-i,,倒霉,ddomei,,,unlucky,xui xẻo,translated_subagent_draft
vocabulary,boya-elementary-i:尝:chang,boya-elementary-i,,尝,chang,,,to taste,nếm,translated_subagent_draft
vocabulary,boya-elementary-i:到:ddo,boya-elementary-i,,到,ddo,,,to arrive,đến; tới,translated_subagent_draft
vocabulary,boya-elementary-i:常（常）:changchang,boya-elementary-i,,常（常）,cháng (cháng),,,"often, usually",thường; thường xuyên,translated_subagent_draft
vocabulary,boya-elementary-i:唱:chang,boya-elementary-i,,唱,chang,,,to sing,hát,translated_subagent_draft
vocabulary,boya-elementary-i:得:de,boya-elementary-i,,得,de,,,structural particle,trợ từ đặt sau động từ để bổ sung mức độ hoặc cách thức,translated_subagent_draft
vocabulary,boya-elementary-i:车站:chezhan,boya-elementary-i,,车站,chezhan,,,station,nhà ga; trạm xe,translated_subagent_draft
vocabulary,boya-elementary-i:得:dei,boya-elementary-i,,得,dei,,,need to,phải; cần phải,translated_subagent_draft
vocabulary,boya-elementary-i:吃饭:chifan,boya-elementary-i,,吃饭,chi fan,,,to eat,ăn cơm; dùng bữa,translated_subagent_draft
vocabulary,boya-elementary-i:等:deng,boya-elementary-i,,等,deng,,,to wait cong・・・・ddo・・・ from... to,đợi; chờ,translated_subagent_draft
vocabulary,boya-elementary-i:迟到:chiddo,boya-elementary-i,,迟到,chiddo,,,to be late,đến muộn,translated_subagent_draft
vocabulary,boya-elementary-i:地方:difang,boya-elementary-i,,地方,difang,,,place,nơi; địa điểm,translated_subagent_draft
vocabulary,boya-elementary-i:充值:chongzhi,boya-elementary-i,,充值,chong zhi,,,top up; recharge,nạp tiền; nạp lại,translated_subagent_draft
vocabulary,boya-elementary-i:地铁:ditie,boya-elementary-i,,地铁,ditie,,,subway,tàu điện ngầm,translated_subagent_draft
vocabulary,boya-elementary-i:出门:chimen,boya-elementary-i,,出门,chi men,,,to gq0 out,ra khỏi nhà,translated_subagent_draft
vocabulary,boya-elementary-i:第一:diyi,boya-elementary-i,,第一,di-yi,,,auxiliary word for ordinal numbers,thứ nhất; đầu tiên,translated_subagent_draft
vocabulary,boya-elementary-i:出租车:chuzuche,boya-elementary-i,,出租车,chuzuche,,,taxi,taxi,translated_subagent_draft
vocabulary,boya-elementary-i:点:dian,boya-elementary-i,,点,diǎn,,,o'clock ; hour on the clock,giờ (trên đồng hồ),translated_subagent_draft
vocabulary,boya-elementary-i:穿:chuan,boya-elementary-i,,穿,chuan,,,to wear,mặc; đi (quần áo),translated_subagent_draft
vocabulary,boya-elementary-i:春天:chuntian,boya-elementary-i,,春天,chuntian,,,spring,mùa xuân,translated_subagent_draft
vocabulary,boya-elementary-i:电话:didnhua,boya-elementary-i,,电话,didnhua,,,telephone,điện thoại,translated_subagent_draft
vocabulary,boya-elementary-i:次:ci,boya-elementary-i,,次,ci,,,time; measure word （for action）,lần (lượng từ cho hành động),translated_subagent_draft
vocabulary,boya-elementary-i:电脑:dianndo,boya-elementary-i,,电脑,dianndo,,,computer,máy tính,translated_subagent_draft
vocabulary,boya-elementary-i:电影:dianying,boya-elementary-i,,电影,dianying,,,movie,phim,translated_subagent_draft
vocabulary,boya-elementary-i:订:ding,boya-elementary-i,,订,ding,,,to book,đặt trước,translated_subagent_draft
vocabulary,boya-elementary-i:东边:dongbian,boya-elementary-i,,东边,dongbian,,,the east side,phía đông,translated_subagent_draft
vocabulary,boya-elementary-i:打（电话）:dadianhua,boya-elementary-i,,打（电话）,dǎ (diànhuà),,,to call,gọi điện,translated_subagent_draft
vocabulary,boya-elementary-i:东门:dongmen,boya-elementary-i,,东门,dongmen,,,east gate,cổng phía đông,translated_subagent_draft
vocabulary,boya-elementary-i:打车:ddche,boya-elementary-i,,打车,dd che,,,to hire or take a taxi,bắt taxi; đi taxi,translated_subagent_draft
vocabulary,boya-elementary-i:冬天:dongtian,boya-elementary-i,,冬天,dongtian,,,winter,mùa đông,translated_subagent_draft
vocabulary,boya-elementary-i:打算:ddsuan,boya-elementary-i,,打算,ddsuan,,,to plan to,dự định,translated_subagent_draft
vocabulary,boya-elementary-i:懂:dong,boya-elementary-i,,懂,dong,,,to understand,hiểu,translated_subagent_draft
vocabulary,boya-elementary-i:打针:ddzhen,boya-elementary-i,,打针,dd zhen,,,to give or have an injection,tiêm; chích,translated_subagent_draft
vocabulary,boya-elementary-i:动物园:dongwuyuan,boya-elementary-i,,动物园,dongwuyuan,,,ZOO,sở thú,translated_subagent_draft
vocabulary,boya-elementary-i:大:da,boya-elementary-i,,大,da,,,big,to; lớn,translated_subagent_draft
vocabulary,boya-elementary-i:都:dou,boya-elementary-i,,都,dOu,,,all; both,đều; tất cả,translated_subagent_draft
vocabulary,boya-elementary-i:大概:ddgai,boya-elementary-i,,大概,ddgai,,,approximately; roughly,khoảng; đại khái,translated_subagent_draft
vocabulary,boya-elementary-i:堵车:duche,boya-elementary-i,,堵车,du che,,,traffic jam,tắc đường,translated_subagent_draft
vocabulary,boya-elementary-i:大号:dahdo,boya-elementary-i,,大号,dahdo,,,large size,cỡ lớn,translated_subagent_draft
vocabulary,boya-elementary-i:度:du,boya-elementary-i,,度,du,,,degree,độ (đơn vị),translated_subagent_draft
vocabulary,boya-elementary-i:大学:daxue,boya-elementary-i,,大学,daxue,,,university,trường đại học,translated_subagent_draft
vocabulary,boya-elementary-i:短:dudn,boya-elementary-i,,短,dudn,,,short,ngắn,translated_subagent_draft
vocabulary,boya-elementary-i:大夫:daifu,boya-elementary-i,,大夫,daifu,,,doctor,bác sĩ,translated_subagent_draft
vocabulary,boya-elementary-i:段:duan,boya-elementary-i,,段,duan,,,section; paragraph,đoạn (lượng từ),translated_subagent_draft
vocabulary,boya-elementary-i:对:dui,boya-elementary-i,,对,dui,,,tor,đối với,translated_subagent_draft
vocabulary,boya-elementary-i:付:fu,boya-elementary-i,,付,fu,,,to pay,trả tiền,translated_subagent_draft
vocabulary,boya-elementary-i:对方:duifang,boya-elementary-i,,对方,duifang,,,the opposite side,đối phương; phía bên kia,translated_subagent_draft
vocabulary,boya-elementary-i:改:gdi,boya-elementary-i,,改,gdi,,,to change,sửa; thay đổi,translated_subagent_draft
vocabulary,boya-elementary-i:对了:duile,boya-elementary-i,,对了,dui le,,,oh yeah; by the way,à đúng rồi; tiện thể,translated_subagent_draft
vocabulary,boya-elementary-i:干净:ganjing,boya-elementary-i,,干净,ganjing,,,clean,sạch sẽ,translated_subagent_draft
vocabulary,boya-elementary-i:对面:duimian,boya-elementary-i,,对面,duimian,,,"facing, across from",đối diện,translated_subagent_draft
vocabulary,boya-elementary-i:感冒:gdnmdo,boya-elementary-i,,感冒,gdnmdo,,,to have a cold; cold,cảm lạnh; bị cảm,translated_subagent_draft
vocabulary,boya-elementary-i:多:duo,boya-elementary-i,,多,duō,,,how,bao nhiêu (hỏi số lượng hoặc mức độ),translated_subagent_draft
vocabulary,boya-elementary-i:感兴趣:ganxingqu,boya-elementary-i,,感兴趣,gan xingqu,,,to be interested in,hứng thú với,translated_subagent_draft
vocabulary,boya-elementary-i:干:gan,boya-elementary-i,,干,gan,,,to do,làm,translated_subagent_draft
vocabulary,boya-elementary-i:多少:duishao,boya-elementary-i,,多少,duishao,,,how many; how much,bao nhiêu,translated_subagent_draft
vocabulary,boya-elementary-i:刚:gang,boya-elementary-i,,刚,gang,,,Just,vừa mới,translated_subagent_draft
vocabulary,boya-elementary-i:高:gao,boya-elementary-i,,高,gao,,,high,cao,translated_subagent_draft
vocabulary,boya-elementary-i:饿:e,boya-elementary-i,,饿,e,,,hungry,đói,translated_subagent_draft
vocabulary,boya-elementary-i:高兴:gaoxing,boya-elementary-i,,高兴,gaoxing,,,happy; glad,vui; vui mừng,translated_subagent_draft
vocabulary,boya-elementary-i:耳机:erj,boya-elementary-i,,耳机,erj,,,earphone,tai nghe,translated_subagent_draft
vocabulary,boya-elementary-i:告诉:gaosu,boya-elementary-i,,告诉,gaosu,,,to tell,nói cho; báo cho,translated_subagent_draft
vocabulary,boya-elementary-i:歌:ge,boya-elementary-i,,歌,ge,,,song,bài hát,translated_subagent_draft
vocabulary,boya-elementary-i:个:ge,boya-elementary-i,,个,ge,,,measure word,cái; người (lượng từ phổ biến),translated_subagent_draft
vocabulary,boya-elementary-i:发:fa,boya-elementary-i,,发,fa,,,to send,gửi; phát,translated_subagent_draft
vocabulary,boya-elementary-i:给:gei,boya-elementary-i,,给,gei,,,to give,cho; đưa,translated_subagent_draft
vocabulary,boya-elementary-i:发烧:fashao,boya-elementary-i,,发烧,fa shao,,,to have a fever,sốt,translated_subagent_draft
vocabulary,boya-elementary-i:跟:gen,boya-elementary-i,,跟,gen,,,to,với; theo,translated_subagent_draft
vocabulary,boya-elementary-i:翻译:fanyi,boya-elementary-i,,翻译,fanyi,,,to translate,dịch; phiên dịch,translated_subagent_draft
vocabulary,boya-elementary-i:更:geng,boya-elementary-i,,更,geng,,,,càng; hơn,translated_subagent_draft
vocabulary,boya-elementary-i:饭店:fandian,boya-elementary-i,,饭店,fandian,,,restaurant,nhà hàng,translated_subagent_draft
vocabulary,boya-elementary-i:公共汽车:gonggongqiche,boya-elementary-i,,公共汽车,gonggong qiche,,,bus,xe buýt,translated_subagent_draft
vocabulary,boya-elementary-i:房间:fangjian,boya-elementary-i,,房间,fangjian,,,rOom,phòng,translated_subagent_draft
vocabulary,boya-elementary-i:狗:gou,boya-elementary-i,,狗,gou,,,dog,chó,translated_subagent_draft
vocabulary,boya-elementary-i:放:fang,boya-elementary-i,,放,fang,,,,đặt; để,translated_subagent_draft
vocabulary,boya-elementary-i:够:gou,boya-elementary-i,,够,gou,,,,đủ,translated_subagent_draft
vocabulary,boya-elementary-i:放松:fangsong,boya-elementary-i,,放松,fangsong,,,"to relax to remember, to bear in mind",thư giãn,translated_subagent_draft
vocabulary,boya-elementary-i:刮风:guafeng,boya-elementary-i,,刮风,gua feng,,,to wind blowing,có gió; gió thổi,translated_subagent_draft
vocabulary,boya-elementary-i:放心:fangxin,boya-elementary-i,,放心,fang xin,,,to be at ease,yên tâm,translated_subagent_draft
vocabulary,boya-elementary-i:光临:guanglin,boya-elementary-i,,光临,guanglin,,,gracious presence,ghé thăm (cách nói lịch sự),translated_subagent_draft
vocabulary,boya-elementary-i:飞机:feiji,boya-elementary-i,,飞机,feiji,,,airplane,máy bay,translated_subagent_draft
vocabulary,boya-elementary-i:逛街:gudngjie,boya-elementary-i,,逛街,gudng jie,,,to go shopping,đi dạo phố; mua sắm,translated_subagent_draft
vocabulary,boya-elementary-i:分:fen,boya-elementary-i,,分,fen,,,minute,phút (lượng từ),translated_subagent_draft
vocabulary,boya-elementary-i:贵:gui,boya-elementary-i,,贵,guì,,,expensive,đắt,translated_subagent_draft
vocabulary,boya-elementary-i:国:guo,boya-elementary-i,,国,guó,,,country,nước; quốc gia,translated_subagent_draft
vocabulary,boya-elementary-i:分钟:fenzhong,boya-elementary-i,,分钟,fenzhong,,,minute,phút,translated_subagent_draft
vocabulary,boya-elementary-i:国际关系:guojiguanxi,boya-elementary-i,,国际关系,guoji guanxi,,,international relations,quan hệ quốc tế,translated_subagent_draft
vocabulary,boya-elementary-i:份:fen,boya-elementary-i,,份,fen,,,portion,phần; suất (lượng từ),translated_subagent_draft
vocabulary,boya-elementary-i:国家:guojia,boya-elementary-i,,国家,guojia,,,country,quốc gia,translated_subagent_draft
vocabulary,boya-elementary-i:风:feng,boya-elementary-i,,风,feng,,,windy,gió,translated_subagent_draft
vocabulary,boya-elementary-i:过:guo,boya-elementary-i,,过,guo,,,to spend （time）； to celebrate,trải qua; ăn mừng,translated_subagent_draft
vocabulary,boya-elementary-i:风景:fengiing,boya-elementary-i,,风景,fengiing,,,scenery to go on break; to start fang the vacation period,phong cảnh,translated_subagent_draft
vocabulary,boya-elementary-i:服务员:fuwiyuan,boya-elementary-i,,服务员,fuwiyuan,,,waiter; waitress,nhân viên phục vụ,translated_subagent_draft
vocabulary,boya-elementary-i:辅导:tuddo,boya-elementary-i,,辅导,tuddo,,,to tutor,phụ đạo; hướng dẫn,translated_subagent_draft
vocabulary,boya-elementary-i:还:hai,boya-elementary-i,,还,hai,,,also; in addition,còn; cũng,translated_subagent_draft
vocabulary,boya-elementary-i:还可以:haikeyi,boya-elementary-i,,还可以,hai keyi,,,so-sO;Okay; passable,cũng được; tạm ổn,translated_subagent_draft
vocabulary,boya-elementary-i:………极了:jile,boya-elementary-i,,………极了,..jile,,,,cực kỳ; vô cùng,translated_subagent_draft
vocabulary,boya-elementary-i:还是:haishi,boya-elementary-i,,还是,haishi,,,OT,vẫn; hay là,translated_subagent_draft
vocabulary,boya-elementary-i:急事:jishi,boya-elementary-i,,急事,jishi,,,emergency,việc gấp,translated_subagent_draft
vocabulary,boya-elementary-i:好:hdo,boya-elementary-i,,好,hdo,,,well; good,tốt; khỏe; được,translated_subagent_draft
vocabulary,boya-elementary-i:几:ji,boya-elementary-i,,几,jǐ,,,how many,mấy; bao nhiêu (số nhỏ),translated_subagent_draft
vocabulary,boya-elementary-i:好吃:hdochi,boya-elementary-i,,好吃,hdochi,,,delicious,ngon,translated_subagent_draft
vocabulary,boya-elementary-i:记:ji,boya-elementary-i,,记,ji,,,,nhớ; ghi nhớ,translated_subagent_draft
vocabulary,boya-elementary-i:好好儿:hdohdor,boya-elementary-i,,好好儿,hdohdor,,,all out,cho tốt; thật kỹ,translated_subagent_draft
vocabulary,boya-elementary-i:季节:ijie,boya-elementary-i,,季节,ijie,,,season,mùa,translated_subagent_draft
vocabulary,boya-elementary-i:好听:haoting,boya-elementary-i,,好听,haoting,,,be pleasant to hear,hay; dễ nghe,translated_subagent_draft
vocabulary,boya-elementary-i:继续:jixu,boya-elementary-i,,继续,jixU,,,to continue,tiếp tục,translated_subagent_draft
vocabulary,boya-elementary-i:好像:hdoxiang,boya-elementary-i,,好像,hdoxiang,,,1t seems,hình như; có vẻ,translated_subagent_draft
vocabulary,boya-elementary-i:加:jia,boya-elementary-i,,加,jia,,,to add,thêm; cộng,translated_subagent_draft
vocabulary,boya-elementary-i:号:hao,boya-elementary-i,,号,hao,,,number,số; ngày,translated_subagent_draft
vocabulary,boya-elementary-i:家:jia,boya-elementary-i,,家,jia,,,home,nhà; gia đình,translated_subagent_draft
vocabulary,boya-elementary-i:号码:hdoma,boya-elementary-i,,号码,hdoma,,,number,số; số điện thoại,translated_subagent_draft
vocabulary,boya-elementary-i:假期:jiaai,boya-elementary-i,,假期,jiaai,,,holiday; vacation period,kỳ nghỉ,translated_subagent_draft
vocabulary,boya-elementary-i:喝:he,boya-elementary-i,,喝,he,,,to drink,uống,translated_subagent_draft
vocabulary,boya-elementary-i:简单:jidndan,boya-elementary-i,,简单,jidndan,,,simple,đơn giản,translated_subagent_draft
vocabulary,boya-elementary-i:合适:heshi,boya-elementary-i,,合适,heshi,,,suitable,phù hợp; vừa,translated_subagent_draft
vocabulary,boya-elementary-i:见:jian,boya-elementary-i,,见,jian,,,"to see, to meet",gặp; thấy,translated_subagent_draft
vocabulary,boya-elementary-i:和:he,boya-elementary-i,,和,he,,,,và; với,translated_subagent_draft
vocabulary,boya-elementary-i:件:jian,boya-elementary-i,,件,jian,,,measure word （for pieces of clothing..）,chiếc; bộ (lượng từ quần áo),translated_subagent_draft
vocabulary,boya-elementary-i:黑:hei,boya-elementary-i,,黑,hei,,,black,đen,translated_subagent_draft
vocabulary,boya-elementary-i:建议:jianyi,boya-elementary-i,,建议,jianyi,,,to suggest; to advise； suggestion,đề nghị; góp ý,translated_subagent_draft
vocabulary,boya-elementary-i:很:hen,boya-elementary-i,,很,hen,,,,rất,translated_subagent_draft
vocabulary,boya-elementary-i:交:jiao,boya-elementary-i,,交,jiao,,,to hand over,nộp; giao,translated_subagent_draft
vocabulary,boya-elementary-i:红:hong,boya-elementary-i,,红,hong,,,red,đỏ,translated_subagent_draft
vocabulary,boya-elementary-i:饺子:jiaozi,boya-elementary-i,,饺子,jiaozi,,,dumplings,bánh chẻo,translated_subagent_draft
vocabulary,boya-elementary-i:红酒:hongjiu,boya-elementary-i,,红酒,hongjiu,,,wine,rượu vang,translated_subagent_draft
vocabulary,boya-elementary-i:叫:jiao,boya-elementary-i,,叫,jiao,,,,gọi; tên là,translated_subagent_draft
vocabulary,boya-elementary-i:后天:houtian,boya-elementary-i,,后天,houtian,,,the day after tomorrow,ngày kia,translated_subagent_draft
vocabulary,boya-elementary-i:教室:jidoshi,boya-elementary-i,,教室,jidoshi,,,Classroom,phòng học,translated_subagent_draft
vocabulary,boya-elementary-i:花儿:huar,boya-elementary-i,,花儿,huar,,,flower,hoa,translated_subagent_draft
vocabulary,boya-elementary-i:接:jie,boya-elementary-i,,接,jie,,,to pick up,đón; nhận,translated_subagent_draft
vocabulary,boya-elementary-i:坏:huai,boya-elementary-i,,坏,huai,,,be broken or ruined,hỏng; xấu,translated_subagent_draft
vocabulary,boya-elementary-i:节:jie,boya-elementary-i,,节,jie,,,measure word （for class）,tiết (lượng từ cho buổi học),translated_subagent_draft
vocabulary,boya-elementary-i:欢迎:huanying,boya-elementary-i,,欢迎,huanying,,,to welcome,hoan nghênh; chào mừng,translated_subagent_draft
vocabulary,boya-elementary-i:节目:jiemi,boya-elementary-i,,节目,jiemi,,,program,chương trình; tiết mục,translated_subagent_draft
vocabulary,boya-elementary-i:回:hui,boya-elementary-i,,回,hui,,,to reply,trả lời; hồi đáp,translated_subagent_draft
vocabulary,boya-elementary-i:结果:jieguo,boya-elementary-i,,结果,jieguo,,,result,kết quả,translated_subagent_draft
vocabulary,boya-elementary-i:回来:huilai,boya-elementary-i,,回来,hui lai,,,to ggo back,quay lại; trở về,translated_subagent_draft
vocabulary,boya-elementary-i:结束:jieshu,boya-elementary-i,,结束,jieshu,,,to finish; to end,kết thúc,translated_subagent_draft
vocabulary,boya-elementary-i:会:hui,boya-elementary-i,,会,hui,,,"can, be able to",biết; có thể (kỹ năng),translated_subagent_draft
vocabulary,boya-elementary-i:解决:jiejue,boya-elementary-i,,解决,jiejue,,,to solve; to resolve,giải quyết,translated_subagent_draft
vocabulary,boya-elementary-i:活动:huodong,boya-elementary-i,,活动,huodong,,,activity,hoạt động,translated_subagent_draft
vocabulary,boya-elementary-i:介绍:jieshao,boya-elementary-i,,介绍,jieshao,,,to introduce,giới thiệu,translated_subagent_draft
vocabulary,boya-elementary-i:火车:huoche,boya-elementary-i,,火车,huoche,,,train,tàu hỏa,translated_subagent_draft
vocabulary,boya-elementary-i:斤:jin,boya-elementary-i,,斤,jin,,,half a kilogram,cân (nửa kilogram),translated_subagent_draft
vocabulary,boya-elementary-i:或者:huozhe,boya-elementary-i,,或者,huozhe,,,Or,hoặc,translated_subagent_draft
vocabulary,boya-elementary-i:今天:jintian,boya-elementary-i,,今天,Jintian,,,today,hôm nay,translated_subagent_draft
vocabulary,boya-elementary-i:进:jin,boya-elementary-i,,进,jin,,,to come in,vào,translated_subagent_draft
vocabulary,boya-elementary-i:近:jin,boya-elementary-i,,近,jin,,,near,gần,translated_subagent_draft
vocabulary,boya-elementary-i:机场:jichang,boya-elementary-i,,机场,jichang,,,airport,sân bay,translated_subagent_draft
vocabulary,boya-elementary-i:纠正:jiuzheng,boya-elementary-i,,纠正,jiuzheng,,,to correct,sửa; chỉnh sửa,translated_subagent_draft
vocabulary,boya-elementary-i:鸡肉:jirou,boya-elementary-i,,鸡肉,jirou,,,Chicken,thịt gà,translated_subagent_draft
vocabulary,boya-elementary-i:久:jiu,boya-elementary-i,,久,jiǔ,,,for a long time,lâu,translated_subagent_draft
vocabulary,boya-elementary-i:就:jiu,boya-elementary-i,,就,jiù,,,at once; right away,liền; ngay; thì,translated_subagent_draft
vocabulary,boya-elementary-i:快递:kudidi,boya-elementary-i,,快递,kudidi,,,express delivery,chuyển phát nhanh,translated_subagent_draft
vocabulary,boya-elementary-i:聚餐:jucan,boya-elementary-i,,聚餐,ju can,,,to dine together,ăn chung; liên hoan,translated_subagent_draft
vocabulary,boya-elementary-i:快乐:kudile,boya-elementary-i,,快乐,kudile,,,happy,vui vẻ,translated_subagent_draft
vocabulary,boya-elementary-i:聚会:juhui,boya-elementary-i,,聚会,juhui,,,to have a get-together or party,buổi tụ họp; tiệc,translated_subagent_draft
vocabulary,boya-elementary-i:困:kun,boya-elementary-i,,困,kun,,,sleepy,buồn ngủ,translated_subagent_draft
vocabulary,boya-elementary-i:决定:jueding,boya-elementary-i,,决定,jueding,,,to decide; decision,quyết định,translated_subagent_draft
vocabulary,boya-elementary-i:觉得:juede,boya-elementary-i,,觉得,juede,,,to teel,cảm thấy; nghĩ rằng,translated_subagent_draft
