grammar_id,lesson_key,textbook_id,volume,lesson_id,lesson_number,lesson_title,pattern,function_zh,meaning_vi,meaning_vi_status,example_sentence_zh,evidence_zh,source_section,source_pdf_page,source_printed_page,source_pdf_pages,source_printed_pages,source_status,needs_manual,source_notes
boya-elementary-i:lesson-03:audit-grammar-004,boya-elementary-i:lesson-03,boya-elementary-i,初级起步篇 I,lesson-03,3,拼音和日常用语（三）,三声变调,,Hai thanh ba liền nhau thường đổi thanh ba thứ nhất thành thanh hai khi đọc.,translated_subagent_draft,儿化韵有时表示喜爱或小巧，部分词儿化后词义、词性变化。；i开头韵母前无声母时写成yi、yin、ying或ya、ye、yao、you等。；ü开头无声母写yu、yue、yuan、yun；u开头无声母加w。；‘不’在第四声前变调；‘一’在不同声调前变调（具体调值请看图核对）。；明白了；我听不懂；请再说一遍；太贵了；便宜（一）点儿吧；厕所在哪儿？,儿化韵有时表示喜爱或小巧，部分词儿化后词义、词性变化。；i开头韵母前无声母时写成yi、yin、ying或ya、ye、yao、you等。；ü开头无声母写yu、yue、yuan、yun；u开头无声母加w。；‘不’在第四声前变调；‘一’在不同声调前变调（具体调值请看图核对）。；明白了；我听不懂；请再说一遍；太贵了；便宜（一）点儿吧；厕所在哪儿？,儿化韵；儿化韵说明；y和w拼写；三声变调／不、一变调；日常用语,21,10,21;22;23;24;26,10;11;12;13;15,phonetics_explicit_ocr_needs_manual,true,独立 PDF 语法审计草稿；拼音与用法说明明确出现，仍需逐页人工核对。
boya-elementary-i:lesson-03:audit-grammar-005,boya-elementary-i:lesson-03,boya-elementary-i,初级起步篇 I,lesson-03,3,拼音和日常用语（三）,不的变调,,Bù đổi thành thanh hai trước âm tiết thanh bốn; các trường hợp khác thường giữ thanh bốn.,translated_subagent_draft,儿化韵有时表示喜爱或小巧，部分词儿化后词义、词性变化。；i开头韵母前无声母时写成yi、yin、ying或ya、ye、yao、you等。；ü开头无声母写yu、yue、yuan、yun；u开头无声母加w。；‘不’在第四声前变调；‘一’在不同声调前变调（具体调值请看图核对）。；明白了；我听不懂；请再说一遍；太贵了；便宜（一）点儿吧；厕所在哪儿？,儿化韵有时表示喜爱或小巧，部分词儿化后词义、词性变化。；i开头韵母前无声母时写成yi、yin、ying或ya、ye、yao、you等。；ü开头无声母写yu、yue、yuan、yun；u开头无声母加w。；‘不’在第四声前变调；‘一’在不同声调前变调（具体调值请看图核对）。；明白了；我听不懂；请再说一遍；太贵了；便宜（一）点儿吧；厕所在哪儿？,儿化韵；儿化韵说明；y和w拼写；三声变调／不、一变调；日常用语,21,10,21;22;23;24;26,10;11;12;13;15,phonetics_explicit_ocr_needs_manual,true,独立 PDF 语法审计草稿；拼音与用法说明明确出现，仍需逐页人工核对。
boya-elementary-i:lesson-03:audit-grammar-006,boya-elementary-i:lesson-03,boya-elementary-i,初级起步篇 I,lesson-03,3,拼音和日常用语（三）,一的变调,,Yī đổi thanh theo âm tiết sau; trước thanh bốn đọc thanh hai và trước thanh một hai ba thường đọc thanh bốn.,translated_subagent_draft,儿化韵有时表示喜爱或小巧，部分词儿化后词义、词性变化。；i开头韵母前无声母时写成yi、yin、ying或ya、ye、yao、you等。；ü开头无声母写yu、yue、yuan、yun；u开头无声母加w。；‘不’在第四声前变调；‘一’在不同声调前变调（具体调值请看图核对）。；明白了；我听不懂；请再说一遍；太贵了；便宜（一）点儿吧；厕所在哪儿？,儿化韵有时表示喜爱或小巧，部分词儿化后词义、词性变化。；i开头韵母前无声母时写成yi、yin、ying或ya、ye、yao、you等。；ü开头无声母写yu、yue、yuan、yun；u开头无声母加w。；‘不’在第四声前变调；‘一’在不同声调前变调（具体调值请看图核对）。；明白了；我听不懂；请再说一遍；太贵了；便宜（一）点儿吧；厕所在哪儿？,儿化韵；儿化韵说明；y和w拼写；三声变调／不、一变调；日常用语,21,10,21;22;23;24;26,10;11;12;13;15,phonetics_explicit_ocr_needs_manual,true,独立 PDF 语法审计草稿；拼音与用法说明明确出现，仍需逐页人工核对。
boya-elementary-i:lesson-04:audit-grammar-001,boya-elementary-i:lesson-04,boya-elementary-i,初级起步篇 I,lesson-04,4,你叫什么名字,S+叫+名字,,Dùng 叫 sau chủ ngữ để nói tên của mình hoặc hỏi tên người khác.,translated_subagent_draft,你叫什么名字？；我叫李军。；你是留学生吗？；他不是留学生，是中国学生。；他姓什么？,你叫什么名字？；我叫李军。；你是留学生吗？；他不是留学生，是中国学生。；他姓什么？,交际练习／问题提示；重点句子,33,22,33;34,22;23,explicit_section_ocr_needs_manual,true,独立 PDF 语法审计草稿；参考句式／句型明确出现，仍需逐页人工核对。
boya-elementary-i:lesson-04:audit-grammar-002,boya-elementary-i:lesson-04,boya-elementary-i,初级起步篇 I,lesson-04,4,你叫什么名字,S+姓+姓氏,,Dùng 姓 trước họ để giới thiệu hoặc hỏi họ; chỉ dùng cho họ chứ không dùng cho tên đầy đủ.,translated_subagent_draft,你叫什么名字？；我叫李军。；你是留学生吗？；他不是留学生，是中国学生。；他姓什么？,你叫什么名字？；我叫李军。；你是留学生吗？；他不是留学生，是中国学生。；他姓什么？,交际练习／问题提示；重点句子,33,22,33;34,22;23,explicit_section_ocr_needs_manual,true,独立 PDF 语法审计草稿；参考句式／句型明确出现，仍需逐页人工核对。
boya-elementary-i:lesson-04:audit-grammar-003,boya-elementary-i:lesson-04,boya-elementary-i,初级起步篇 I,lesson-04,4,你叫什么名字,S+是+身份／国籍,,Dùng 是 nối chủ ngữ với thân phận quốc tịch hoặc nghề nghiệp.,translated_subagent_draft,你叫什么名字？；我叫李军。；你是留学生吗？；他不是留学生，是中国学生。；他姓什么？,你叫什么名字？；我叫李军。；你是留学生吗？；他不是留学生，是中国学生。；他姓什么？,交际练习／问题提示；重点句子,33,22,33;34,22;23,explicit_section_ocr_needs_manual,true,独立 PDF 语法审计草稿；参考句式／句型明确出现，仍需逐页人工核对。
boya-elementary-i:lesson-04:audit-grammar-004,boya-elementary-i:lesson-04,boya-elementary-i,初级起步篇 I,lesson-04,4,你叫什么名字,是……吗？／吗问句,,Thêm 吗 cuối câu trần thuật để tạo câu hỏi có hoặc không.,translated_subagent_draft,你叫什么名字？；我叫李军。；你是留学生吗？；他不是留学生，是中国学生。；他姓什么？,你叫什么名字？；我叫李军。；你是留学生吗？；他不是留学生，是中国学生。；他姓什么？,交际练习／问题提示；重点句子,33,22,33;34,22;23,explicit_section_ocr_needs_manual,true,独立 PDF 语法审计草稿；参考句式／句型明确出现，仍需逐页人工核对。
boya-elementary-i:lesson-04:audit-grammar-005,boya-elementary-i:lesson-04,boya-elementary-i,初级起步篇 I,lesson-04,4,你叫什么名字,不是……（是……）,,Dùng 不是 để phủ định; có thể thêm 是 sau đó để sửa hoặc nêu thông tin đúng.,translated_subagent_draft,你叫什么名字？；我叫李军。；你是留学生吗？；他不是留学生，是中国学生。；他姓什么？,你叫什么名字？；我叫李军。；你是留学生吗？；他不是留学生，是中国学生。；他姓什么？,交际练习／问题提示；重点句子,33,22,33;34,22;23,explicit_section_ocr_needs_manual,true,独立 PDF 语法审计草稿；参考句式／句型明确出现，仍需逐页人工核对。
boya-elementary-i:lesson-04:audit-grammar-006,boya-elementary-i:lesson-04,boya-elementary-i,初级起步篇 I,lesson-04,4,你叫什么名字,什么疑问词,,Dùng 什么 để hỏi sự vật thông tin hoặc tên chưa biết.,translated_subagent_draft,你叫什么名字？；我叫李军。；你是留学生吗？；他不是留学生，是中国学生。；他姓什么？,你叫什么名字？；我叫李军。；你是留学生吗？；他不是留学生，是中国学生。；他姓什么？,交际练习／问题提示；重点句子,33,22,33;34,22;23,explicit_section_ocr_needs_manual,true,独立 PDF 语法审计草稿；参考句式／句型明确出现，仍需逐页人工核对。
boya-elementary-i:lesson-05:audit-grammar-001,boya-elementary-i:lesson-05,boya-elementary-i,初级起步篇 I,lesson-05,5,认识你很高兴,也（A也……）,,也 nghĩa là cũng; dùng để thêm một điểm giống với thông tin vừa nêu.,translated_subagent_draft,我也很高兴。；我是韩国留学生，你呢？；你是哪国人？；你是哪个大学的留学生？；她是我的同学，也是我的同屋。；‘们’只能用于表示人的名词后；有数量词或其他复数成分时不能用。,我也很高兴。；我是韩国留学生，你呢？；你是哪国人？；你是哪个大学的留学生？；她是我的同学，也是我的同屋。；‘们’只能用于表示人的名词后；有数量词或其他复数成分时不能用。,注意／们；注意／国家表达；交际练习／问题提示；重点句子,37,26,37;39;42;43,26;28;31;32,explicit_section_ocr_needs_manual,true,独立 PDF 语法审计草稿；参考句式／句型明确出现，仍需逐页人工核对。
boya-elementary-i:lesson-05:audit-grammar-002,boya-elementary-i:lesson-05,boya-elementary-i,初级起步篇 I,lesson-05,5,认识你很高兴,很+形容词,,Rất đứng trước tính từ để miêu tả mức độ; trong câu khẳng định thường làm câu tự nhiên hơn.,translated_subagent_draft,我也很高兴。；我是韩国留学生，你呢？；你是哪国人？；你是哪个大学的留学生？；她是我的同学，也是我的同屋。；‘们’只能用于表示人的名词后；有数量词或其他复数成分时不能用。,我也很高兴。；我是韩国留学生，你呢？；你是哪国人？；你是哪个大学的留学生？；她是我的同学，也是我的同屋。；‘们’只能用于表示人的名词后；有数量词或其他复数成分时不能用。,注意／们；注意／国家表达；交际练习／问题提示；重点句子,37,26,37;39;42;43,26;28;31;32,explicit_section_ocr_needs_manual,true,独立 PDF 语法审计草稿；参考句式／句型明确出现，仍需逐页人工核对。
boya-elementary-i:lesson-05:audit-grammar-003,boya-elementary-i:lesson-05,boya-elementary-i,初级起步篇 I,lesson-05,5,认识你很高兴,呢追问／转问,,呢 đặt sau chủ đề hoặc câu hỏi để hỏi tiếp hay chuyển câu hỏi sang người khác.,translated_subagent_draft,我也很高兴。；我是韩国留学生，你呢？；你是哪国人？；你是哪个大学的留学生？；她是我的同学，也是我的同屋。；‘们’只能用于表示人的名词后；有数量词或其他复数成分时不能用。,我也很高兴。；我是韩国留学生，你呢？；你是哪国人？；你是哪个大学的留学生？；她是我的同学，也是我的同屋。；‘们’只能用于表示人的名词后；有数量词或其他复数成分时不能用。,注意／们；注意／国家表达；交际练习／问题提示；重点句子,37,26,37;39;42;43,26;28;31;32,explicit_section_ocr_needs_manual,true,独立 PDF 语法审计草稿；参考句式／句型明确出现，仍需逐页人工核对。
boya-elementary-i:lesson-05:audit-grammar-004,boya-elementary-i:lesson-05,boya-elementary-i,初级起步篇 I,lesson-05,5,认识你很高兴,的领属定语,,的 nối người hoặc sự vật sở hữu với danh từ phía sau; tương đương của hoặc thuộc về.,translated_subagent_draft,我也很高兴。；我是韩国留学生，你呢？；你是哪国人？；你是哪个大学的留学生？；她是我的同学，也是我的同屋。；‘们’只能用于表示人的名词后；有数量词或其他复数成分时不能用。,我也很高兴。；我是韩国留学生，你呢？；你是哪国人？；你是哪个大学的留学生？；她是我的同学，也是我的同屋。；‘们’只能用于表示人的名词后；有数量词或其他复数成分时不能用。,注意／们；注意／国家表达；交际练习／问题提示；重点句子,37,26,37;39;42;43,26;28;31;32,explicit_section_ocr_needs_manual,true,独立 PDF 语法审计草稿；参考句式／句型明确出现，仍需逐页人工核对。
boya-elementary-i:lesson-05:audit-grammar-005,boya-elementary-i:lesson-05,boya-elementary-i,初级起步篇 I,lesson-05,5,认识你很高兴,是／也是,,是 dùng để xác định; 也是 nghĩa là cũng là và bổ sung một thân phận hay quan hệ nữa.,translated_subagent_draft,我也很高兴。；我是韩国留学生，你呢？；你是哪国人？；你是哪个大学的留学生？；她是我的同学，也是我的同屋。；‘们’只能用于表示人的名词后；有数量词或其他复数成分时不能用。,我也很高兴。；我是韩国留学生，你呢？；你是哪国人？；你是哪个大学的留学生？；她是我的同学，也是我的同屋。；‘们’只能用于表示人的名词后；有数量词或其他复数成分时不能用。,注意／们；注意／国家表达；交际练习／问题提示；重点句子,37,26,37;39;42;43,26;28;31;32,explicit_section_ocr_needs_manual,true,独立 PDF 语法审计草稿；参考句式／句型明确出现，仍需逐页人工核对。
boya-elementary-i:lesson-05:audit-grammar-006,boya-elementary-i:lesson-05,boya-elementary-i,初级起步篇 I,lesson-05,5,认识你很高兴,哪／哪个疑问,,Dùng 哪 hoặc 哪个 để hỏi lựa chọn trong một nhóm như nước nào hoặc trường nào.,translated_subagent_draft,我也很高兴。；我是韩国留学生，你呢？；你是哪国人？；你是哪个大学的留学生？；她是我的同学，也是我的同屋。；‘们’只能用于表示人的名词后；有数量词或其他复数成分时不能用。,我也很高兴。；我是韩国留学生，你呢？；你是哪国人？；你是哪个大学的留学生？；她是我的同学，也是我的同屋。；‘们’只能用于表示人的名词后；有数量词或其他复数成分时不能用。,注意／们；注意／国家表达；交际练习／问题提示；重点句子,37,26,37;39;42;43,26;28;31;32,explicit_section_ocr_needs_manual,true,独立 PDF 语法审计草稿；参考句式／句型明确出现，仍需逐页人工核对。
boya-elementary-i:lesson-05:audit-grammar-007,boya-elementary-i:lesson-05,boya-elementary-i,初级起步篇 I,lesson-05,5,认识你很高兴,人名词后们（数量词前不用）,,们 đặt sau danh từ chỉ người để chỉ số nhiều; không dùng khi đã có số từ hay từ chỉ số nhiều khác.,translated_subagent_draft,我也很高兴。；我是韩国留学生，你呢？；你是哪国人？；你是哪个大学的留学生？；她是我的同学，也是我的同屋。；‘们’只能用于表示人的名词后；有数量词或其他复数成分时不能用。,我也很高兴。；我是韩国留学生，你呢？；你是哪国人？；你是哪个大学的留学生？；她是我的同学，也是我的同屋。；‘们’只能用于表示人的名词后；有数量词或其他复数成分时不能用。,注意／们；注意／国家表达；交际练习／问题提示；重点句子,37,26,37;39;42;43,26;28;31;32,explicit_section_ocr_needs_manual,true,独立 PDF 语法审计草稿；参考句式／句型明确出现，仍需逐页人工核对。
boya-elementary-i:lesson-06:audit-grammar-001,boya-elementary-i:lesson-06,boya-elementary-i,初级起步篇 I,lesson-06,6,这是什么,这／那+是+什么／谁,,Dùng 这 hoặc 那 kết hợp 是 什么 hay 谁 để hỏi đây kia là vật gì hoặc người nào.,translated_subagent_draft,这／那是什么？；这／那是谁……？；这／那是……吗？；我来介绍一下儿……；这是谁的手机？；这是我的好朋友。；我们的教室很大。,这／那是什么？；这／那是谁……？；这／那是……吗？；我来介绍一下儿……；这是谁的手机？；这是我的好朋友。；我们的教室很大。,的短语；注意／的用法；参考句式；重点句子,46,35,46;47;51;52,35;36;40;41,explicit_section_ocr_needs_manual,true,独立 PDF 语法审计草稿；参考句式／句型明确出现，仍需逐页人工核对。
boya-elementary-i:lesson-06:audit-grammar-002,boya-elementary-i:lesson-06,boya-elementary-i,初级起步篇 I,lesson-06,6,这是什么,这／那是谁的……？,,Dùng 这或那是谁的… để hỏi đồ vật thuộc về ai.,translated_subagent_draft,这／那是什么？；这／那是谁……？；这／那是……吗？；我来介绍一下儿……；这是谁的手机？；这是我的好朋友。；我们的教室很大。,这／那是什么？；这／那是谁……？；这／那是……吗？；我来介绍一下儿……；这是谁的手机？；这是我的好朋友。；我们的教室很大。,的短语；注意／的用法；参考句式；重点句子,46,35,46;47;51;52,35;36;40;41,explicit_section_ocr_needs_manual,true,独立 PDF 语法审计草稿；参考句式／句型明确出现，仍需逐页人工核对。
boya-elementary-i:lesson-06:audit-grammar-003,boya-elementary-i:lesson-06,boya-elementary-i,初级起步篇 I,lesson-06,6,这是什么,的领属与定语（属性定语通常不加的；很修饰定语需的）,,的 đánh dấu quan hệ sở hữu hoặc bổ nghĩa; tính từ chỉ thuộc tính quen thuộc thường có thể không cần 的.,translated_subagent_draft,这／那是什么？；这／那是谁……？；这／那是……吗？；我来介绍一下儿……；这是谁的手机？；这是我的好朋友。；我们的教室很大。,这／那是什么？；这／那是谁……？；这／那是……吗？；我来介绍一下儿……；这是谁的手机？；这是我的好朋友。；我们的教室很大。,的短语；注意／的用法；参考句式；重点句子,46,35,46;47;51;52,35;36;40;41,explicit_section_ocr_needs_manual,true,独立 PDF 语法审计草稿；参考句式／句型明确出现，仍需逐页人工核对。
boya-elementary-i:lesson-06:audit-grammar-004,boya-elementary-i:lesson-06,boya-elementary-i,初级起步篇 I,lesson-06,6,这是什么,我来介绍一下儿……,,Dùng 我来介绍一下… để chủ động mở đầu việc giới thiệu người hoặc sự vật.,translated_subagent_draft,这／那是什么？；这／那是谁……？；这／那是……吗？；我来介绍一下儿……；这是谁的手机？；这是我的好朋友。；我们的教室很大。,这／那是什么？；这／那是谁……？；这／那是……吗？；我来介绍一下儿……；这是谁的手机？；这是我的好朋友。；我们的教室很大。,的短语；注意／的用法；参考句式；重点句子,46,35,46;47;51;52,35;36;40;41,explicit_section_ocr_needs_manual,true,独立 PDF 语法审计草稿；参考句式／句型明确出现，仍需逐页人工核对。
boya-elementary-i:lesson-06:audit-grammar-005,boya-elementary-i:lesson-06,boya-elementary-i,初级起步篇 I,lesson-06,6,这是什么,是字句／形容词谓语,,是字句 dùng để xác định danh từ; tính từ cũng có thể trực tiếp làm vị ngữ để miêu tả.,translated_subagent_draft,这／那是什么？；这／那是谁……？；这／那是……吗？；我来介绍一下儿……；这是谁的手机？；这是我的好朋友。；我们的教室很大。,这／那是什么？；这／那是谁……？；这／那是……吗？；我来介绍一下儿……；这是谁的手机？；这是我的好朋友。；我们的教室很大。,的短语；注意／的用法；参考句式；重点句子,46,35,46;47;51;52,35;36;40;41,explicit_section_ocr_needs_manual,true,独立 PDF 语法审计草稿；参考句式／句型明确出现，仍需逐页人工核对。
