vocabulary_key,textbook_id,volume,word,pinyin,part_of_speech,meaning_en_source,meaning_vi,meaning_vi_status,repeated_mark,lesson_numbers,lesson_titles,source_printed_pages,source_appendix_pdf_pages,source_section,source_status,source_notes
boya-elementary-i:笔:bi,boya-elementary-i,初级起步篇 I,笔,bǐ,名,pen,bút,translated_subagent_draft,,2;6,拼音和日常用语（二）;这是什么,6,238,词语总表,appendix_canonical_repaired_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。；补回附录缺失拼音 bǐ
boya-elementary-i:爸爸:baba,boya-elementary-i,初级起步篇 I,爸爸,baba,名,father,bố; ba,translated_subagent_draft,,3;14,拼音和日常用语（三）;祝你生日快乐,14,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:笔试:bishi,boya-elementary-i,初级起步篇 I,笔试,bishi,,written examination,thi viết,translated_subagent_draft,,4;21,你叫什么名字;每个人要说多长时间,21,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:白:bai,boya-elementary-i,初级起步篇 I,白,bai,助,"possession, roughly equiva- lent to “-S” suffix",trợ từ chỉ quan hệ sở hữu,translated_subagent_draft,,3;5;13,拼音和日常用语（三）;认识你很高兴;你打算买什么样子,13,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:表演:biaoyan,boya-elementary-i,初级起步篇 I,表演,biaoyan,动,to perform,biểu diễn,translated_subagent_draft,,5;25,认识你很高兴;准备好了吗,25,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:白菜:baicai,boya-elementary-i,初级起步篇 I,白菜,baicai,名,cabbage,cải thảo,translated_subagent_draft,,4;16,你叫什么名字;来一斤饺子,16,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:别:bie,boya-elementary-i,初级起步篇 I,别,bie,,do not,đừng,translated_subagent_draft,,4;22,你叫什么名字;明天你下了课去哪儿,22,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:白天:baitian,boya-elementary-i,初级起步篇 I,白天,baitian,名,daytime,ban ngày,translated_subagent_draft,,4;19,你叫什么名字;你又熬夜了,19,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:别的:biede,boya-elementary-i,初级起步篇 I,别的,bie de,代,oneself,khác; cái khác,translated_subagent_draft,,3;15,拼音和日常用语（三）;我可以试试吗,15,238,词语总表,appendix_canonical_repaired_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。；由拼音 bie de 将 OCR 单字误配修为“别的”
boya-elementary-i:班:ban,boya-elementary-i,初级起步篇 I,班,ban,名,Class,lớp,translated_subagent_draft,,4;23,你叫什么名字;假期有什么打算,23,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:冰:bing,boya-elementary-i,初级起步篇 I,冰,bing,名,ice,đá; băng,translated_subagent_draft,,4;18,你叫什么名字;今天我七点半就起床了,18,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:搬:ban,boya-elementary-i,初级起步篇 I,搬,ban,动,to move,chuyển; dọn,translated_subagent_draft,,4;17,你叫什么名字;喝茶还是喝咖啡,17,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:病假条:bingjiatido,boya-elementary-i,初级起步篇 I,病假条,bingjiatido,名,certificate for sick leave,giấy xin nghỉ ốm,translated_subagent_draft,,4;20,你叫什么名字;我想请一天假,20,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:办:ban,boya-elementary-i,初级起步篇 I,办,ban,动,to do,làm; giải quyết,translated_subagent_draft,,4;19,你叫什么名字;你又熬夜了,19,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:补考:bukdo,boya-elementary-i,初级起步篇 I,补考,bukdo,动,to make-up examination,thi lại,translated_subagent_draft,,4;20,你叫什么名字;我想请一天假,20,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:办法:banfd,boya-elementary-i,初级起步篇 I,办法,banfd,名,method; means,cách; biện pháp,translated_subagent_draft,,5;25,认识你很高兴;准备好了吗,25,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:不:bu,boya-elementary-i,初级起步篇 I,不,bu,,no; not,không,translated_subagent_draft,,1;4,拼音和日常用语（一）;你叫什么名字,4,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:办公室:bangongshi,boya-elementary-i,初级起步篇 I,办公室,bangongshi,名,ofhice,văn phòng,translated_subagent_draft,,2;9,拼音和日常用语（二）;我们怎么去,9,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:不错:bucuo,boya-elementary-i,初级起步篇 I,不错,bucuo,形,not bad,không tệ; khá tốt,translated_subagent_draft,,4;16,你叫什么名字;来一斤饺子,16,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:半:ban,boya-elementary-i,初级起步篇 I,半,ban,数,half,một nửa,translated_subagent_draft,,2;8,拼音和日常用语（二）;明天晚上你有时间吗,8,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:不过:buguo,boya-elementary-i,初级起步篇 I,不过,buguo,连,but; however,nhưng; tuy nhiên,translated_subagent_draft,,3;13,拼音和日常用语（三）;你打算买什么样子,13,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:帮:bang,boya-elementary-i,初级起步篇 I,帮,bang,动,to help,giúp,translated_subagent_draft,,4;21,你叫什么名字;每个人要说多长时间,21,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:不好意思:buhdoyisi,boya-elementary-i,初级起步篇 I,不好意思,bu hdoyisi,,excuse me,xin lỗi; ngại quá,translated_subagent_draft,,4;19,你叫什么名字;你又熬夜了,19,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:帮忙:bangmang,boya-elementary-i,初级起步篇 I,帮忙,bang mang,,to help,giúp đỡ,translated_subagent_draft,,4;17,你叫什么名字;喝茶还是喝咖啡,17,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:不用:buyong,boya-elementary-i,初级起步篇 I,不用,buyong,,need not,không cần,translated_subagent_draft,,4;17,你叫什么名字;喝茶还是喝咖啡,17,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:包子:bdozi,boya-elementary-i,初级起步篇 I,包子,bdozi,名,steamed stu ffed bun,bánh bao,translated_subagent_draft,,4;16,你叫什么名字;来一斤饺子,16,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:部分:bufen,boya-elementary-i,初级起步篇 I,部分,bufen,名,part; section,phần; bộ phận,translated_subagent_draft,,4;21,你叫什么名字;每个人要说多长时间,21,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:报告:baogdo,boya-elementary-i,初级起步篇 I,报告,baogdo,名,report,báo cáo,translated_subagent_draft,,5;24,认识你很高兴;学得怎么样,24,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:报名:bdoming,boya-elementary-i,初级起步篇 I,报名,bdo ming,,to enroll; to sign up,đăng ký,translated_subagent_draft,,4;23,你叫什么名字;假期有什么打算,23,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:抱歉:bdoqian,boya-elementary-i,初级起步篇 I,抱歉,bdoqian,形,sorry,xin lỗi; lấy làm tiếc,translated_subagent_draft,,4;21,你叫什么名字;每个人要说多长时间,21,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:菜:cai,boya-elementary-i,初级起步篇 I,菜,cai,名,dish,món ăn; rau,translated_subagent_draft,,4;16;18,你叫什么名字;来一斤饺子;今天我七点半就起床了,16,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:杯:bei,boya-elementary-i,初级起步篇 I,杯,bei,名,Cup,cốc; ly (lượng từ),translated_subagent_draft,,3;10,拼音和日常用语（三）;西瓜怎么卖,10,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:菜单:caidan,boya-elementary-i,初级起步篇 I,菜单,caidan,名,menu li to be away from,thực đơn,translated_subagent_draft,,4;16,你叫什么名字;来一斤饺子,16,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:待:dai,boya-elementary-i,初级起步篇 I,待,dai,动,to stay,ở lại; lưu lại,translated_subagent_draft,,4;23,你叫什么名字;假期有什么打算,23,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:参加:canjia,boya-elementary-i,初级起步篇 I,参加,canjia,动,to join; to attend; take part in,tham gia,translated_subagent_draft,,4;23,你叫什么名字;假期有什么打算,23,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:茶:cha,boya-elementary-i,初级起步篇 I,茶,cha,,tea,trà,translated_subagent_draft,,4;17,你叫什么名字;喝茶还是喝咖啡,17,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:担心:danxin,boya-elementary-i,初级起步篇 I,担心,dan xin,,to Worry dui： • Iai shuo for （Sb.）,lo lắng,translated_subagent_draft,,4;21,你叫什么名字;每个人要说多长时间,21,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:查:cha,boya-elementary-i,初级起步篇 I,查,cha,动,to check; to examine,kiểm tra; tra cứu,translated_subagent_draft,,3;15,拼音和日常用语（三）;我可以试试吗,15,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:蛋糕:dangao,boya-elementary-i,初级起步篇 I,蛋糕,dangao,名,cake,bánh ngọt,translated_subagent_draft,,3;14,拼音和日常用语（三）;祝你生日快乐,14,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:差:cha,boya-elementary-i,初级起步篇 I,差,cha,动,to lack; to be short （by some amount）,thiếu; kém,translated_subagent_draft,,2;8,拼音和日常用语（二）;明天晚上你有时间吗,8,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:当然:dangran,boya-elementary-i,初级起步篇 I,当然,dangran,,"of course, certainly",đương nhiên; tất nhiên,translated_subagent_draft,,3;14,拼音和日常用语（三）;祝你生日快乐,14,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:差不多:chabudui,boya-elementary-i,初级起步篇 I,差不多,chabudui,,almost; nearly,gần như; xấp xỉ,translated_subagent_draft,,4;18,你叫什么名字;今天我七点半就起床了,18,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:倒霉:ddomei,boya-elementary-i,初级起步篇 I,倒霉,ddomei,形,unlucky,xui xẻo,translated_subagent_draft,,4;21,你叫什么名字;每个人要说多长时间,21,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:尝:chang,boya-elementary-i,初级起步篇 I,尝,chang,动,to taste,nếm,translated_subagent_draft,,4;17,你叫什么名字;喝茶还是喝咖啡,17,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:到:ddo,boya-elementary-i,初级起步篇 I,到,ddo,动,to arrive,đến; tới,translated_subagent_draft,,3;5;12;19;21;25,拼音和日常用语（三）;认识你很高兴;我正在等公共汽车呢;你又熬夜了;每个人要说多长时间;准备好了吗,12,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:常（常）:changchang,boya-elementary-i,初级起步篇 I,常（常）,cháng (cháng),,"often, usually",thường; thường xuyên,translated_subagent_draft,,3;11,拼音和日常用语（三）;明天天气怎么样,11,239,词语总表,appendix_canonical_repaired_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。；拼音 OCR 修为 cháng (cháng)
boya-elementary-i:唱:chang,boya-elementary-i,初级起步篇 I,唱,chang,动,to sing,hát,translated_subagent_draft,,3;14,拼音和日常用语（三）;祝你生日快乐,14,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:得:de,boya-elementary-i,初级起步篇 I,得,de,助,structural particle,trợ từ đặt sau động từ để bổ sung mức độ hoặc cách thức,translated_subagent_draft,,5;24,认识你很高兴;学得怎么样,24,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:车站:chezhan,boya-elementary-i,初级起步篇 I,车站,chezhan,名,station,nhà ga; trạm xe,translated_subagent_draft,,3;12,拼音和日常用语（三）;我正在等公共汽车呢,12,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:得:dei,boya-elementary-i,初级起步篇 I,得,dei,助动,need to,phải; cần phải,translated_subagent_draft,,4;18,你叫什么名字;今天我七点半就起床了,18,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:吃饭:chifan,boya-elementary-i,初级起步篇 I,吃饭,chi fan,,to eat,ăn cơm; dùng bữa,translated_subagent_draft,,2;8,拼音和日常用语（二）;明天晚上你有时间吗,8,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:等:deng,boya-elementary-i,初级起步篇 I,等,deng,动,to wait cong・・・・ddo・・・ from... to,đợi; chờ,translated_subagent_draft,,3;12,拼音和日常用语（三）;我正在等公共汽车呢,12,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:迟到:chiddo,boya-elementary-i,初级起步篇 I,迟到,chiddo,动,to be late,đến muộn,translated_subagent_draft,,4;19,你叫什么名字;你又熬夜了,19,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:地方:difang,boya-elementary-i,初级起步篇 I,地方,difang,名,place,nơi; địa điểm,translated_subagent_draft,,4;17,你叫什么名字;喝茶还是喝咖啡,17,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:充值:chongzhi,boya-elementary-i,初级起步篇 I,充值,chong zhi,,top up; recharge,nạp tiền; nạp lại,translated_subagent_draft,,5;25,认识你很高兴;准备好了吗,25,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:地铁:ditie,boya-elementary-i,初级起步篇 I,地铁,ditie,名,subway,tàu điện ngầm,translated_subagent_draft,,2;9,拼音和日常用语（二）;我们怎么去,9,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:出门:chimen,boya-elementary-i,初级起步篇 I,出门,chi men,,to gq0 out,ra khỏi nhà,translated_subagent_draft,,4;21,你叫什么名字;每个人要说多长时间,21,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:第一:diyi,boya-elementary-i,初级起步篇 I,第一,di-yi,数,auxiliary word for ordinal numbers,thứ nhất; đầu tiên,translated_subagent_draft,,4;17,你叫什么名字;喝茶还是喝咖啡,17,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:出租车:chuzuche,boya-elementary-i,初级起步篇 I,出租车,chuzuche,名,taxi,taxi,translated_subagent_draft,,2;9,拼音和日常用语（二）;我们怎么去,9,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:点:dian,boya-elementary-i,初级起步篇 I,点,diǎn,量,o'clock ; hour on the clock,giờ (trên đồng hồ),translated_subagent_draft,,2;8;16,拼音和日常用语（二）;明天晚上你有时间吗;来一斤饺子,8;16,239,词语总表,appendix_canonical_repaired_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。；拼音 OCR 修为 diǎn;拼音 OCR 修为 diǎn
boya-elementary-i:穿:chuan,boya-elementary-i,初级起步篇 I,穿,chuan,动,to wear,mặc; đi (quần áo),translated_subagent_draft,,3;15,拼音和日常用语（三）;我可以试试吗,15,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:春天:chuntian,boya-elementary-i,初级起步篇 I,春天,chuntian,名,spring,mùa xuân,translated_subagent_draft,,3;11,拼音和日常用语（三）;明天天气怎么样,11,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:电话:didnhua,boya-elementary-i,初级起步篇 I,电话,didnhua,名,telephone,điện thoại,translated_subagent_draft,,2;9,拼音和日常用语（二）;我们怎么去,9,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:次:ci,boya-elementary-i,初级起步篇 I,次,ci,量,time; measure word （for action）,lần (lượng từ cho hành động),translated_subagent_draft,,4;19,你叫什么名字;你又熬夜了,19,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:电脑:dianndo,boya-elementary-i,初级起步篇 I,电脑,dianndo,名,computer,máy tính,translated_subagent_draft,,2;6,拼音和日常用语（二）;这是什么,6,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:电影:dianying,boya-elementary-i,初级起步篇 I,电影,dianying,,movie,phim,translated_subagent_draft,,3;12,拼音和日常用语（三）;我正在等公共汽车呢,12,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:订:ding,boya-elementary-i,初级起步篇 I,订,ding,动,to book,đặt trước,translated_subagent_draft,,5;25,认识你很高兴;准备好了吗,25,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:东边:dongbian,boya-elementary-i,初级起步篇 I,东边,dongbian,名,the east side,phía đông,translated_subagent_draft,,2;7,拼音和日常用语（二）;欢迎去我家玩儿,7,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:打（电话）:dadianhua,boya-elementary-i,初级起步篇 I,打（电话）,dǎ (diànhuà),动,to call,gọi điện,translated_subagent_draft,,3;12,拼音和日常用语（三）;我正在等公共汽车呢,12,239,词语总表,appendix_canonical_repaired_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。；拼音 OCR 修为 dǎ (diànhuà)
boya-elementary-i:东门:dongmen,boya-elementary-i,初级起步篇 I,东门,dongmen,名,east gate,cổng phía đông,translated_subagent_draft,,2;9,拼音和日常用语（二）;我们怎么去,9,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:打车:ddche,boya-elementary-i,初级起步篇 I,打车,dd che,,to hire or take a taxi,bắt taxi; đi taxi,translated_subagent_draft,,4;21,你叫什么名字;每个人要说多长时间,21,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:冬天:dongtian,boya-elementary-i,初级起步篇 I,冬天,dongtian,名,winter,mùa đông,translated_subagent_draft,,3;11,拼音和日常用语（三）;明天天气怎么样,11,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:打算:ddsuan,boya-elementary-i,初级起步篇 I,打算,ddsuan,,to plan to,dự định,translated_subagent_draft,,3;13,拼音和日常用语（三）;你打算买什么样子,13,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:懂:dong,boya-elementary-i,初级起步篇 I,懂,dong,动,to understand,hiểu,translated_subagent_draft,,5;25,认识你很高兴;准备好了吗,25,239,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
