grammar_id,lesson_key,textbook_id,volume,lesson_id,lesson_number,lesson_title,pattern,function_zh,meaning_vi,meaning_vi_status,example_sentence_zh,source_section,source_pdf_page,source_printed_page,source_status,source_notes
boya-elementary-i:lesson-10:grammar-023,boya-elementary-i:lesson-10,boya-elementary-i,初级起步篇 I,lesson-10,10,西瓜怎么卖,在……卖多少钱？,,,missing_translation,,参考句式/参考句型,87,76,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-10:grammar-024,boya-elementary-i:lesson-10,boya-elementary-i,初级起步篇 I,lesson-10,10,西瓜怎么卖,你要买什么？,,,missing_translation,西瓜怎么卖？；一共多少钱？；二十五块钱一杯，一共五十。；你要买些什么？；你要买几瓶啤酒？；买五瓶啤酒，再买两大瓶可乐。；我要一杯咖啡。；我扫微信付钱。,参考句式/参考句型,90,79,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-10:grammar-025,boya-elementary-i:lesson-10,boya-elementary-i,初级起步篇 I,lesson-10,10,西瓜怎么卖,有……吗？,,,missing_translation,西瓜怎么卖？；一共多少钱？；二十五块钱一杯，一共五十。；你要买些什么？；你要买几瓶啤酒？；买五瓶啤酒，再买两大瓶可乐。；我要一杯咖啡。；我扫微信付钱。,参考句式/参考句型,90,79,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-10:grammar-026,boya-elementary-i:lesson-10,boya-elementary-i,初级起步篇 I,lesson-10,10,西瓜怎么卖,……怎么卖？,,,missing_translation,西瓜怎么卖？；一共多少钱？；二十五块钱一杯，一共五十。；你要买些什么？；你要买几瓶啤酒？；买五瓶啤酒，再买两大瓶可乐。；我要一杯咖啡。；我扫微信付钱。,参考句式/参考句型,90,79,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-10:grammar-027,boya-elementary-i:lesson-10,boya-elementary-i,初级起步篇 I,lesson-10,10,西瓜怎么卖,你要几个／多少？,,,missing_translation,西瓜怎么卖？；一共多少钱？；二十五块钱一杯，一共五十。；你要买些什么？；你要买几瓶啤酒？；买五瓶啤酒，再买两大瓶可乐。；我要一杯咖啡。；我扫微信付钱。,参考句式/参考句型,90,79,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-10:grammar-028,boya-elementary-i:lesson-10,boya-elementary-i,初级起步篇 I,lesson-10,10,西瓜怎么卖,怎么付钱？,,,missing_translation,西瓜怎么卖？；一共多少钱？；二十五块钱一杯，一共五十。；你要买些什么？；你要买几瓶啤酒？；买五瓶啤酒，再买两大瓶可乐。；我要一杯咖啡。；我扫微信付钱。,参考句式/参考句型,90,79,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-10:grammar-029,boya-elementary-i:lesson-10,boya-elementary-i,初级起步篇 I,lesson-10,10,西瓜怎么卖,这个／些苹果多少钱？,,,missing_translation,西瓜怎么卖？；一共多少钱？；二十五块钱一杯，一共五十。；你要买些什么？；你要买几瓶啤酒？；买五瓶啤酒，再买两大瓶可乐。；我要一杯咖啡。；我扫微信付钱。,参考句式/参考句型,90,79,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-10:grammar-030,boya-elementary-i:lesson-10,boya-elementary-i,初级起步篇 I,lesson-10,10,西瓜怎么卖,谁要……？,,,missing_translation,西瓜怎么卖？；一共多少钱？；二十五块钱一杯，一共五十。；你要买些什么？；你要买几瓶啤酒？；买五瓶啤酒，再买两大瓶可乐。；我要一杯咖啡。；我扫微信付钱。,参考句式/参考句型,90,79,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-11:grammar-031,boya-elementary-i:lesson-11,boya-elementary-i,初级起步篇 I,lesson-11,11,明天天气怎么样,……怎么样？,,,missing_translation,,参考句式/参考句型,97,86,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-12:grammar-032,boya-elementary-i:lesson-12,boya-elementary-i,初级起步篇 I,lesson-12,12,我正在等公共汽车呢,……在哪儿？,,,missing_translation,,参考句式/参考句型,107,96,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-12:grammar-033,boya-elementary-i:lesson-12,boya-elementary-i,初级起步篇 I,lesson-12,12,我正在等公共汽车呢,干什么？,,,missing_translation,,参考句式/参考句型,107,96,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-12:grammar-034,boya-elementary-i:lesson-12,boya-elementary-i,初级起步篇 I,lesson-12,12,我正在等公共汽车呢,……什么时候……？,,,missing_translation,,参考句式/参考句型,107,96,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-13:grammar-035,boya-elementary-i:lesson-13,boya-elementary-i,初级起步篇 I,lesson-13,13,你打算买什么样子,……怎么样？,,,missing_translation,,参考句式/参考句型,119,108,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-13:grammar-036,boya-elementary-i:lesson-13,boya-elementary-i,初级起步篇 I,lesson-13,13,你打算买什么样子,……多少钱？,,,missing_translation,,参考句式/参考句型,119,108,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-14:grammar-037,boya-elementary-i:lesson-14,boya-elementary-i,初级起步篇 I,lesson-14,14,祝你生日快乐,这是送给……,,,missing_translation,,参考句式/参考句型,128,117,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-14:grammar-038,boya-elementary-i:lesson-14,boya-elementary-i,初级起步篇 I,lesson-14,14,祝你生日快乐,祝你生日快乐！,,,missing_translation,,参考句式/参考句型,128,117,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-14:grammar-039,boya-elementary-i:lesson-14,boya-elementary-i,初级起步篇 I,lesson-14,14,祝你生日快乐,这是为你准备……,,,missing_translation,,参考句式/参考句型,128,117,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-17:grammar-040,boya-elementary-i:lesson-17,boya-elementary-i,初级起步篇 I,lesson-17,17,喝茶还是喝咖啡,（是）……还是……？,,,missing_translation,,参考句式/参考句型,154,143,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-18:grammar-041,boya-elementary-i:lesson-18,boya-elementary-i,初级起步篇 I,lesson-18,18,今天我七点半就起床了,……多长时间？,,,missing_translation,,参考句式/参考句型,169,158,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-18:grammar-042,boya-elementary-i:lesson-18,boya-elementary-i,初级起步篇 I,lesson-18,18,今天我七点半就起床了,来中国以前……，来中国以后……,,,missing_translation,,参考句式/参考句型,169,158,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-18:grammar-043,boya-elementary-i:lesson-18,boya-elementary-i,初级起步篇 I,lesson-18,18,今天我七点半就起床了,开始时候……，现在……,,,missing_translation,,参考句式/参考句型,169,158,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-ii:lesson-01:grammar-001,boya-elementary-ii:lesson-01,boya-elementary-ii,初级起步篇 II,lesson-01,1,订一张机票,……可以吗？,,,missing_translation,我想订一张从北京到上海机票。；你要头等舱还是经济舱？,参考句式/参考句型,21,10,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-ii:lesson-01:grammar-002,boya-elementary-ii:lesson-01,boya-elementary-ii,初级起步篇 II,lesson-01,1,订一张机票,……还是……？,,,missing_translation,我想订一张从北京到上海机票。；你要头等舱还是经济舱？,参考句式/参考句型,21,10,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-ii:lesson-04:grammar-003,boya-elementary-ii:lesson-04,boya-elementary-ii,初级起步篇 II,lesson-04,4,我在中国生活,就,,,missing_translation,我们国家的中国菜没有这儿地道。；我和你一样，也爱吃汉堡包。；我一去饭馆儿就点麻婆豆腐。；开车人一年比一年多了。；马路上的汽车像河流一样。；现在堵车问题比较严重。,参考句式/参考句型,53,42,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-ii:lesson-04:grammar-004,boya-elementary-ii:lesson-04,boya-elementary-ii,初级起步篇 II,lesson-04,4,我在中国生活,A和B一样,,,missing_translation,我们国家的中国菜没有这儿地道。；我和你一样，也爱吃汉堡包。；我一去饭馆儿就点麻婆豆腐。；开车人一年比一年多了。；马路上的汽车像河流一样。；现在堵车问题比较严重。,参考句式/参考句型,53,42,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-ii:lesson-04:grammar-005,boya-elementary-ii:lesson-04,boya-elementary-ii,初级起步篇 II,lesson-04,4,我在中国生活,有的……有……,,,missing_translation,我们国家的中国菜没有这儿地道。；我和你一样，也爱吃汉堡包。；我一去饭馆儿就点麻婆豆腐。；开车人一年比一年多了。；马路上的汽车像河流一样。；现在堵车问题比较严重。,参考句式/参考句型,53,42,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-ii:lesson-04:grammar-006,boya-elementary-ii:lesson-04,boya-elementary-ii,初级起步篇 II,lesson-04,4,我在中国生活,A没有B那么……,,,missing_translation,我们国家的中国菜没有这儿地道。；我和你一样，也爱吃汉堡包。；我一去饭馆儿就点麻婆豆腐。；开车人一年比一年多了。；马路上的汽车像河流一样。；现在堵车问题比较严重。,参考句式/参考句型,53,42,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-ii:lesson-04:grammar-007,boya-elementary-ii:lesson-04,boya-elementary-ii,初级起步篇 II,lesson-04,4,我在中国生活,一年比一年……,,,missing_translation,我们国家的中国菜没有这儿地道。；我和你一样，也爱吃汉堡包。；我一去饭馆儿就点麻婆豆腐。；开车人一年比一年多了。；马路上的汽车像河流一样。；现在堵车问题比较严重。,参考句式/参考句型,53,42,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-ii:lesson-05:grammar-008,boya-elementary-ii:lesson-05,boya-elementary-ii,初级起步篇 II,lesson-05,5,在饭馆儿点菜,就,,,missing_translation,,参考句式/参考句型,62,51,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-ii:lesson-05:grammar-009,boya-elementary-ii:lesson-05,boya-elementary-ii,初级起步篇 II,lesson-05,5,在饭馆儿点菜,A没有B+adj.,,,missing_translation,,参考句式/参考句型,62,51,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-ii:lesson-05:grammar-010,boya-elementary-ii:lesson-05,boya-elementary-ii,初级起步篇 II,lesson-05,5,在饭馆儿点菜,A比B+adj.,,,missing_translation,,参考句式/参考句型,62,51,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-ii:lesson-05:grammar-011,boya-elementary-ii:lesson-05,boya-elementary-ii,初级起步篇 II,lesson-05,5,在饭馆儿点菜,最主要是,,,missing_translation,,参考句式/参考句型,62,51,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-ii:lesson-06:grammar-012,boya-elementary-ii:lesson-06,boya-elementary-ii,初级起步篇 II,lesson-06,6,参加学校社团,不但……而且……,,,missing_translation,,参考句式/参考句型,72,61,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-ii:lesson-06:grammar-013,boya-elementary-ii:lesson-06,boya-elementary-ii,初级起步篇 II,lesson-06,6,参加学校社团,为了……,,,missing_translation,,参考句式/参考句型,72,61,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-ii:lesson-06:grammar-014,boya-elementary-ii:lesson-06,boya-elementary-ii,初级起步篇 II,lesson-06,6,参加学校社团,在……上写上……,,,missing_translation,,参考句式/参考句型,72,61,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-ii:lesson-06:grammar-015,boya-elementary-ii:lesson-06,boya-elementary-ii,初级起步篇 II,lesson-06,6,参加学校社团,……就行了,,,missing_translation,,参考句式/参考句型,72,61,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-ii:lesson-07:grammar-016,boya-elementary-ii:lesson-07,boya-elementary-ii,初级起步篇 II,lesson-07,7,去动物园,离……不远,,,missing_translation,你今天不是打算去动物园吗？；快起来吧！报上说，睡懒觉对身体不好。；去动物园的人一定比别时候都多。；你看，地铁上挤得满满的。；一直往前走就是大熊猫馆。；大熊猫胖胖，真可爱。；该吃午饭了，咱们在附近买点儿吃吧。；那儿离这儿不远，走路十分钟就到了。,参考句式/参考句型,82,71,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-ii:lesson-07:grammar-017,boya-elementary-ii:lesson-07,boya-elementary-ii,初级起步篇 II,lesson-07,7,去动物园,又……又……,,,missing_translation,你今天不是打算去动物园吗？；快起来吧！报上说，睡懒觉对身体不好。；去动物园的人一定比别时候都多。；你看，地铁上挤得满满的。；一直往前走就是大熊猫馆。；大熊猫胖胖，真可爱。；该吃午饭了，咱们在附近买点儿吃吧。；那儿离这儿不远，走路十分钟就到了。,参考句式/参考句型,82,71,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-ii:lesson-07:grammar-018,boya-elementary-ii:lesson-07,boya-elementary-ii,初级起步篇 II,lesson-07,7,去动物园,虽然……但是……,,,missing_translation,你今天不是打算去动物园吗？；快起来吧！报上说，睡懒觉对身体不好。；去动物园的人一定比别时候都多。；你看，地铁上挤得满满的。；一直往前走就是大熊猫馆。；大熊猫胖胖，真可爱。；该吃午饭了，咱们在附近买点儿吃吧。；那儿离这儿不远，走路十分钟就到了。,参考句式/参考句型,82,71,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-ii:lesson-07:grammar-019,boya-elementary-ii:lesson-07,boya-elementary-ii,初级起步篇 II,lesson-07,7,去动物园,adj.+adj. +,,,missing_translation,你今天不是打算去动物园吗？；快起来吧！报上说，睡懒觉对身体不好。；去动物园的人一定比别时候都多。；你看，地铁上挤得满满的。；一直往前走就是大熊猫馆。；大熊猫胖胖，真可爱。；该吃午饭了，咱们在附近买点儿吃吧。；那儿离这儿不远，走路十分钟就到了。,参考句式/参考句型,82,71,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-ii:lesson-07:grammar-020,boya-elementary-ii:lesson-07,boya-elementary-ii,初级起步篇 II,lesson-07,7,去动物园,再说,,,missing_translation,你今天不是打算去动物园吗？；快起来吧！报上说，睡懒觉对身体不好。；去动物园的人一定比别时候都多。；你看，地铁上挤得满满的。；一直往前走就是大熊猫馆。；大熊猫胖胖，真可爱。；该吃午饭了，咱们在附近买点儿吃吧。；那儿离这儿不远，走路十分钟就到了。,参考句式/参考句型,82,71,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-ii:lesson-08:grammar-021,boya-elementary-ii:lesson-08,boya-elementary-ii,初级起步篇 II,lesson-08,8,一场篮球比赛,如果……的话,,,missing_translation,昨天籃球比赛怎么样？；别提了，我起晚了，比赛迟到了。；我拿起闹钟一看，都九点半了。；我挤不上去公共汽车，只好急忙打出租车了。；两个厉害的队一起比赛，一定很精彩。；真可惜，这次没看到你们比赛。；决赛时候来给我们加油吧！；我们好不容易才赢了这场比赛，给了你一个惊喜吧？,参考句式/参考句型,92,81,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-ii:lesson-08:grammar-022,boya-elementary-ii:lesson-08,boya-elementary-ii,初级起步篇 II,lesson-08,8,一场篮球比赛,给……加油,,,missing_translation,昨天籃球比赛怎么样？；别提了，我起晚了，比赛迟到了。；我拿起闹钟一看，都九点半了。；我挤不上去公共汽车，只好急忙打出租车了。；两个厉害的队一起比赛，一定很精彩。；真可惜，这次没看到你们比赛。；决赛时候来给我们加油吧！；我们好不容易才赢了这场比赛，给了你一个惊喜吧？,参考句式/参考句型,92,81,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-ii:lesson-08:grammar-023,boya-elementary-ii:lesson-08,boya-elementary-ii,初级起步篇 II,lesson-08,8,一场篮球比赛,为了……,,,missing_translation,昨天籃球比赛怎么样？；别提了，我起晚了，比赛迟到了。；我拿起闹钟一看，都九点半了。；我挤不上去公共汽车，只好急忙打出租车了。；两个厉害的队一起比赛，一定很精彩。；真可惜，这次没看到你们比赛。；决赛时候来给我们加油吧！；我们好不容易才赢了这场比赛，给了你一个惊喜吧？,参考句式/参考句型,92,81,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-ii:lesson-08:grammar-024,boya-elementary-ii:lesson-08,boya-elementary-ii,初级起步篇 II,lesson-08,8,一场篮球比赛,像……一样,,,missing_translation,昨天籃球比赛怎么样？；别提了，我起晚了，比赛迟到了。；我拿起闹钟一看，都九点半了。；我挤不上去公共汽车，只好急忙打出租车了。；两个厉害的队一起比赛，一定很精彩。；真可惜，这次没看到你们比赛。；决赛时候来给我们加油吧！；我们好不容易才赢了这场比赛，给了你一个惊喜吧？,参考句式/参考句型,92,81,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-ii:lesson-08:grammar-025,boya-elementary-ii:lesson-08,boya-elementary-ii,初级起步篇 II,lesson-08,8,一场篮球比赛,都……了,,,missing_translation,昨天籃球比赛怎么样？；别提了，我起晚了，比赛迟到了。；我拿起闹钟一看，都九点半了。；我挤不上去公共汽车，只好急忙打出租车了。；两个厉害的队一起比赛，一定很精彩。；真可惜，这次没看到你们比赛。；决赛时候来给我们加油吧！；我们好不容易才赢了这场比赛，给了你一个惊喜吧？,参考句式/参考句型,92,81,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
