grammar_id,lesson_key,textbook_id,volume,lesson_id,lesson_number,lesson_title,pattern,function_zh,meaning_vi,meaning_vi_status,example_sentence_zh,source_section,source_pdf_page,source_status,source_notes
boya-elementary-i:lesson-04:legacy-grammar-001,boya-elementary-i:lesson-04,boya-elementary-i,初级起步篇 I,lesson-04,4,你叫什么名字,S + 叫 + 名字,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-04:legacy-grammar-002,boya-elementary-i:lesson-04,boya-elementary-i,初级起步篇 I,lesson-04,4,你叫什么名字,S + 姓 + 姓氏,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-04:legacy-grammar-003,boya-elementary-i:lesson-04,boya-elementary-i,初级起步篇 I,lesson-04,4,你叫什么名字,“什么”疑问句,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-04:legacy-grammar-004,boya-elementary-i:lesson-04,boya-elementary-i,初级起步篇 I,lesson-04,4,你叫什么名字,“吗”问句,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-05:legacy-grammar-001,boya-elementary-i:lesson-05,boya-elementary-i,初级起步篇 I,lesson-05,5,认识你很高兴,A 也……,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-05:legacy-grammar-002,boya-elementary-i:lesson-05,boya-elementary-i,初级起步篇 I,lesson-05,5,认识你很高兴,A 很……,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-05:legacy-grammar-003,boya-elementary-i:lesson-05,boya-elementary-i,初级起步篇 I,lesson-05,5,认识你很高兴,“呢”用于追问,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-05:legacy-grammar-004,boya-elementary-i:lesson-05,boya-elementary-i,初级起步篇 I,lesson-05,5,认识你很高兴,“是 + 身份/国籍”,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-15:legacy-grammar-001,boya-elementary-i:lesson-15,boya-elementary-i,初级起步篇 I,lesson-15,15,我可以试试吗,能愿动词“可以/能”,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-15:legacy-grammar-002,boya-elementary-i:lesson-15,boya-elementary-i,初级起步篇 I,lesson-15,15,我可以试试吗,动词重叠“试试”,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-15:legacy-grammar-003,boya-elementary-i:lesson-15,boya-elementary-i,初级起步篇 I,lesson-15,15,我可以试试吗,“合不合适”正反问,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-16:legacy-grammar-001,boya-elementary-i:lesson-16,boya-elementary-i,初级起步篇 I,lesson-16,16,来一斤饺子,数量词组,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-16:legacy-grammar-002,boya-elementary-i:lesson-16,boya-elementary-i,初级起步篇 I,lesson-16,16,来一斤饺子,“来 + 数量 + 食物”,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-16:legacy-grammar-003,boya-elementary-i:lesson-16,boya-elementary-i,初级起步篇 I,lesson-16,16,来一斤饺子,“还要……”,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-16:legacy-grammar-004,boya-elementary-i:lesson-16,boya-elementary-i,初级起步篇 I,lesson-16,16,来一斤饺子,名量词,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-19:legacy-grammar-001,boya-elementary-i:lesson-19,boya-elementary-i,初级起步篇 I,lesson-19,19,你又熬夜了,“又 + V + 了”,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-19:legacy-grammar-002,boya-elementary-i:lesson-19,boya-elementary-i,初级起步篇 I,lesson-19,19,你又熬夜了,“太……了”,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-19:legacy-grammar-003,boya-elementary-i:lesson-19,boya-elementary-i,初级起步篇 I,lesson-19,19,你又熬夜了,“别 + V”,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-19:legacy-grammar-004,boya-elementary-i:lesson-19,boya-elementary-i,初级起步篇 I,lesson-19,19,你又熬夜了,“应该 + V”,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-20:legacy-grammar-001,boya-elementary-i:lesson-20,boya-elementary-i,初级起步篇 I,lesson-20,20,我想请一天假,“因为……所以……”,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-20:legacy-grammar-002,boya-elementary-i:lesson-20,boya-elementary-i,初级起步篇 I,lesson-20,20,我想请一天假,“想 + V”,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-20:legacy-grammar-003,boya-elementary-i:lesson-20,boya-elementary-i,初级起步篇 I,lesson-20,20,我想请一天假,“可以……吗”,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-20:legacy-grammar-004,boya-elementary-i:lesson-20,boya-elementary-i,初级起步篇 I,lesson-20,20,我想请一天假,时量“一天”,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-21:legacy-grammar-001,boya-elementary-i:lesson-21,boya-elementary-i,初级起步篇 I,lesson-21,21,每个人要说多长时间,“每 + 量词 + 名词”,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-21:legacy-grammar-002,boya-elementary-i:lesson-21,boya-elementary-i,初级起步篇 I,lesson-21,21,每个人要说多长时间,“多长时间”,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-21:legacy-grammar-003,boya-elementary-i:lesson-21,boya-elementary-i,初级起步篇 I,lesson-21,21,每个人要说多长时间,时量补语,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-21:legacy-grammar-004,boya-elementary-i:lesson-21,boya-elementary-i,初级起步篇 I,lesson-21,21,每个人要说多长时间,“需要/要 + 时量”,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-22:legacy-grammar-001,boya-elementary-i:lesson-22,boya-elementary-i,初级起步篇 I,lesson-22,22,明天你下了课去哪儿,“V 了 + O + 再/就……”,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-22:legacy-grammar-002,boya-elementary-i:lesson-22,boya-elementary-i,初级起步篇 I,lesson-22,22,明天你下了课去哪儿,“先……再/然后……”,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-22:legacy-grammar-003,boya-elementary-i:lesson-22,boya-elementary-i,初级起步篇 I,lesson-22,22,明天你下了课去哪儿,趋向与目的地表达,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-23:legacy-grammar-001,boya-elementary-i:lesson-23,boya-elementary-i,初级起步篇 I,lesson-23,23,假期有什么打算,“打算/准备/想/要 + V”,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-23:legacy-grammar-002,boya-elementary-i:lesson-23,boya-elementary-i,初级起步篇 I,lesson-23,23,假期有什么打算,将来时间词,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-23:legacy-grammar-003,boya-elementary-i:lesson-23,boya-elementary-i,初级起步篇 I,lesson-23,23,假期有什么打算,“有什么打算”,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-24:legacy-grammar-001,boya-elementary-i:lesson-24,boya-elementary-i,初级起步篇 I,lesson-24,24,学得怎么样,程度补语“V 得 + 形容词”,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-24:legacy-grammar-002,boya-elementary-i:lesson-24,boya-elementary-i,初级起步篇 I,lesson-24,24,学得怎么样,“怎么样”,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-24:legacy-grammar-003,boya-elementary-i:lesson-24,boya-elementary-i,初级起步篇 I,lesson-24,24,学得怎么样,“越来越……”（扩展）,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-25:legacy-grammar-001,boya-elementary-i:lesson-25,boya-elementary-i,初级起步篇 I,lesson-25,25,准备好了吗,“准备好”,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-25:legacy-grammar-002,boya-elementary-i:lesson-25,boya-elementary-i,初级起步篇 I,lesson-25,25,准备好了吗,结果补语“好”,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-25:legacy-grammar-003,boya-elementary-i:lesson-25,boya-elementary-i,初级起步篇 I,lesson-25,25,准备好了吗,“已经……了/还没……”,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-25:legacy-grammar-004,boya-elementary-i:lesson-25,boya-elementary-i,初级起步篇 I,lesson-25,25,准备好了吗,综合复习,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-ii:lesson-02:legacy-grammar-001,boya-elementary-ii:lesson-02,boya-elementary-ii,初级起步篇 II,lesson-02,2,您有房子出租，是吗,“有……出租，是吗”,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-ii:lesson-02:legacy-grammar-002,boya-elementary-ii:lesson-02,boya-elementary-ii,初级起步篇 II,lesson-02,2,您有房子出租，是吗,“离……近/远”,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-ii:lesson-02:legacy-grammar-003,boya-elementary-ii:lesson-02,boya-elementary-ii,初级起步篇 II,lesson-02,2,您有房子出租，是吗,“比”字句,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-ii:lesson-02:legacy-grammar-004,boya-elementary-ii:lesson-02,boya-elementary-ii,初级起步篇 II,lesson-02,2,您有房子出租，是吗,方位词,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-ii:lesson-02:legacy-grammar-005,boya-elementary-ii:lesson-02,boya-elementary-ii,初级起步篇 II,lesson-02,2,您有房子出租，是吗,“租 + 房屋”,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-ii:lesson-03:legacy-grammar-001,boya-elementary-ii:lesson-03,boya-elementary-ii,初级起步篇 II,lesson-03,3,我丢了一个钱包,“V 了”,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-ii:lesson-03:legacy-grammar-002,boya-elementary-ii:lesson-03,boya-elementary-ii,初级起步篇 II,lesson-03,3,我丢了一个钱包,结果补语“丢/找不到”,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-ii:lesson-03:legacy-grammar-003,boya-elementary-ii:lesson-03,boya-elementary-ii,初级起步篇 II,lesson-03,3,我丢了一个钱包,“把”字句（描述物品处置，可作为扩展）,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-ii:lesson-03:legacy-grammar-004,boya-elementary-ii:lesson-03,boya-elementary-ii,初级起步篇 II,lesson-03,3,我丢了一个钱包,可能性“可能”,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-ii:lesson-09:legacy-grammar-001,boya-elementary-ii:lesson-09,boya-elementary-ii,初级起步篇 II,lesson-09,9,糟糕的一天,“又……又/又……了”,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-ii:lesson-09:legacy-grammar-002,boya-elementary-ii:lesson-09,boya-elementary-ii,初级起步篇 II,lesson-09,9,糟糕的一天,“先……后来……最后……”,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-ii:lesson-09:legacy-grammar-003,boya-elementary-ii:lesson-09,boya-elementary-ii,初级起步篇 II,lesson-09,9,糟糕的一天,结果补语,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-ii:lesson-09:legacy-grammar-004,boya-elementary-ii:lesson-09,boya-elementary-ii,初级起步篇 II,lesson-09,9,糟糕的一天,“没 + V 成/到”（扩展）,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-ii:lesson-18:legacy-grammar-001,boya-elementary-ii:lesson-18,boya-elementary-ii,初级起步篇 II,lesson-18,18,去打工,能愿动词“能/会/可以”,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-ii:lesson-18:legacy-grammar-002,boya-elementary-ii:lesson-18,boya-elementary-ii,初级起步篇 II,lesson-18,18,去打工,时量补语,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-ii:lesson-18:legacy-grammar-003,boya-elementary-ii:lesson-18,boya-elementary-ii,初级起步篇 II,lesson-18,18,去打工,“每 + 时间 + V”,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-ii:lesson-18:legacy-grammar-004,boya-elementary-ii:lesson-18,boya-elementary-ii,初级起步篇 II,lesson-18,18,去打工,“如果……就……”（面试/工作条件扩展）,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
