record_id,source_page,source_page_range,source_pdf_page_range,source_pdf_page,source_pdf,section,record_type,chinese_simplified,pinyin,vietnamese,english,word_type_vi,word_type_abbr,han_viet,raw_source_text,teaching_order,slide_number,classroom_visibility,sample_sentence_pinyin,sample_sentence_zh,sample_sentence_vi
V012-sample,2,1-2,19-20,20,work/pdf-pages/,Mẫu câu,sample,白马,bái mǎ,ngựa trắng,white horse,,,,Mẫu câu cho 马: 白马 bái mǎ ngựa trắng,12,28,student_visible,,,
VSUM-A,1-2,1-2,19-20,19-20,work/pdf-pages/,Từ vựng,summary,,,Tổng kết từ vựng (phần 1),,,,,Tổng kết 11 từ vựng — phần A (01-06/11),13,29,student_visible,,,
VSUM-B,1-2,1-2,19-20,19-20,work/pdf-pages/,Từ vựng,summary,,,Tổng kết từ vựng (phần 2),,,,,Tổng kết 11 từ vựng — phần B (07-11/11),14,30,student_visible,,,
P001,,,,,work/pdf-pages/,Luyện từ vựng,practice,,,Flashcard 你,,,,,Flashcard luyện từ vựng: 你,15,32,student_visible,,,
P002,,,,,work/pdf-pages/,Luyện từ vựng,practice,,,Flashcard 好,,,,,Flashcard luyện từ vựng: 好,16,33,student_visible,,,
P003,,,,,work/pdf-pages/,Luyện từ vựng,practice,,,Flashcard 马,,,,,Flashcard luyện từ vựng: 马,17,34,student_visible,,,
P004,,,,,work/pdf-pages/,Luyện từ vựng,practice,,,Flashcard 白,,,,,Flashcard luyện từ vựng: 白,18,35,student_visible,,,
P005,,,,,work/pdf-pages/,Luyện từ vựng,practice,,,Flashcard 大,,,,,Flashcard luyện từ vựng: 大,19,36,student_visible,,,
P006,,,,,work/pdf-pages/,Luyện từ vựng,practice,,,Luyện số 一五八,,,,,Luyện số: 一五八,20,37,student_visible,,,
P007,,,,,work/pdf-pages/,Luyện từ vựng,practice,,,Nhìn từ đoán nghĩa (不),,,,,Luyện phủ định: 不好 不大,21,38,student_visible,,,
T001,1,1,19,19,work/pdf-pages/,Bài đọc,text,你好 / 你好,nǐ hǎo / nǐ hǎo,Xin chào / Xin chào,Hello / Hello,,,,课文 Kèwén Text Bài đọc: 你好 / 你好,22,40,student_visible,,,
S001,12,12,30,30,work/pdf-pages/,Tập viết,stroke,一,yī,một,one,,,nhất,写汉字: 一,23,41,student_visible,,,
S002,12,12,30,30,work/pdf-pages/,Tập viết,stroke,八,bā,tám,eight,,,bát,写汉字: 八,24,42,student_visible,,,
S003,12,12,30,30,work/pdf-pages/,Tập viết,stroke,大,dà,"to, lớn",big,,,đại,写汉字: 大,25,43,student_visible,,,
S004,12,12,30,30,work/pdf-pages/,Tập viết,stroke,不,bù,"không, chẳng",not,,,bất,写汉字: 不,26,44,student_visible,,,
S005,12,12,30,30,work/pdf-pages/,Tập viết,stroke,五,wǔ,năm,five,,,ngũ,写汉字: 五,27,45,student_visible,,,
S006,12,12,30,30,work/pdf-pages/,Tập viết,stroke,口,kǒu,miệng,mouth,,,khẩu,写汉字: 口,28,46,student_visible,,,
S007,12,12,30,30,work/pdf-pages/,Tập viết,stroke,白,bái,trắng,white,,,bạch,写汉字: 白,29,47,student_visible,,,
S008,12,12,30,30,work/pdf-pages/,Tập viết,stroke,女,nǚ,nữ,female,,,nữ,写汉字: 女,30,48,student_visible,,,
S009,12,12,30,30,work/pdf-pages/,Tập viết,stroke,马,mǎ,con ngựa,horse,,,mã,写汉字: 马,31,49,student_visible,,,
S010,12,12,30,30,work/pdf-pages/,Tập viết,stroke,你,nǐ,bạn,you,,,nhĩ,写汉字: 你,32,50,student_visible,,,
S011,12,12,30,30,work/pdf-pages/,Tập viết,stroke,好,hǎo,"tốt, đẹp",good,,,hảo,写汉字: 好,33,51,student_visible,,,
C001,,,,,work/pdf-pages/,Văn hóa bổ sung,culture,,,Cách chào hỏi trong tiếng Trung,,,,,Văn hóa: cách chào hỏi,34,53,student_visible,,,
C002,,,,,work/pdf-pages/,Văn hóa bổ sung,culture,,,Cử chỉ số đếm Trung Quốc,,,,,Văn hóa: cử chỉ số đếm 1-10,35,54,student_visible,,,
E001,10,10-12,28-30,28,work/pdf-pages/,Bài tập,exercise,声调练习,shēngdiào liànxí,Luyện thanh điệu,Tone practice,,,,声调练习,36,56,student_visible,,,
E002,10,10-12,28-30,28,work/pdf-pages/,Bài tập,exercise,变调练习,biàndiào liànxí,Luyện biến điệu,Tone sandhi practice,,,,变调练习,37,56,student_visible,,,
E003,10,10-12,28-30,28,work/pdf-pages/,Bài tập,exercise,辨别声母,biànbié shēngmǔ,Phân biệt thanh mẫu,Identify initials,,,,辨别声母,38,56,student_visible,,,
E004,11,10-12,28-30,29,work/pdf-pages/,Bài tập,exercise,辨别韵母,biànbié yùnmǔ,Phân biệt vận mẫu,Identify finals,,,,辨别韵母,39,56,student_visible,,,
E005,11,10-12,28-30,29,work/pdf-pages/,Bài tập,exercise,辨音辨调,biànyīn biàndiào,"Phân biệt âm, thanh điệu",Pronunciations and tones,,,,辨音辨调,40,56,student_visible,,,
E006,11,10-12,28-30,29,work/pdf-pages/,Bài tập,exercise,认读,rèndú,Nhận mặt chữ và đọc,Read and learn,,,,认读,41,56,student_visible,,,
E007,12,10-12,28-30,30,work/pdf-pages/,Bài tập,exercise,写汉字,xiě hànzì,Tập viết chữ Hán,Learn to write,,,,写汉字 Learn to write Tập viết chữ Hán: 一 八 大 不 五 口 白 女 马 你 好,42,56,student_visible,,,
