册次,ISBN,编著者,出版社,出版时间,课次,课题（官方目录）,内容大纲,核心词语库,核心语法/句式,词语来源性质,语法来源性质,核实说明,来源URL
初级起步篇 I,9787301306444,李海燕,北京大学出版社,2019-10,11,明天天气怎么样,询问和描述天气，并据天气安排简单活动。,天气；怎么样；晴；阴；下雨；下雪；冷；热；度；明天,“天气怎么样”；形容词谓语句；“会/要 + 天气变化”；程度表达。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目/样章核实。,https://www.aijiaocai.com/textbook/details?textbook_id=714611 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454298
初级起步篇 I,9787301306444,李海燕,北京大学出版社,2019-10,12,我正在等公共汽车呢,描述正在发生的动作，围绕等车、乘车等日常出行情境交流。,正在；等；公共汽车；车站；上车；下车；现在；呢；快；慢,“正在 + V + 呢”；“在 + 地点 + V”；动作进行体。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目/样章核实。,https://www.aijiaocai.com/textbook/details?textbook_id=714611 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454298
初级起步篇 I,9787301306444,李海燕,北京大学出版社,2019-10,13,你打算买什么样子的,购物时询问和描述款式、颜色、大小等特征。,打算；买；什么样；颜色；红；白；黑；大；小；件,“什么样子的”；“形容词 + 的”指代名词；“又……又……”描述特征。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目/样章核实。,https://www.aijiaocai.com/textbook/details?textbook_id=714611 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454298
初级起步篇 I,9787301306444,李海燕,北京大学出版社,2019-10,14,祝你生日快乐,谈论生日、日期和年龄，表达祝福与送礼。,生日；祝；快乐；今天；明天；月；日；岁；礼物；送,年/月/日表达；年龄“……岁”；“祝 + 人 + ……”；“送给”。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目/样章核实。,https://www.aijiaocai.com/textbook/details?textbook_id=714611 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454298
初级起步篇 I,9787301306444,李海燕,北京大学出版社,2019-10,15,我可以试试吗,在商店试穿、试用商品，询问尺寸、颜色和是否合适。,可以；试；衣服；鞋；大小；号码；合适；颜色；这件；那双,能愿动词“可以/能”；动词重叠“试试”；“合不合适”正反问。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目/样章核实。,https://www.aijiaocai.com/textbook/details?textbook_id=714611 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454298
初级起步篇 I,9787301306444,李海燕,北京大学出版社,2019-10,16,来一斤饺子,餐馆点餐，使用数量、重量和食物名称完成点菜。,来；斤；饺子；碗；盘；个；还；要；点菜；够,数量词组；“来 + 数量 + 食物”；“还要……”；名量词。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目/样章核实。,https://www.aijiaocai.com/textbook/details?textbook_id=714611 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454298
初级起步篇 I,9787301306444,李海燕,北京大学出版社,2019-10,17,喝茶还是喝咖啡,表达饮料选择与偏好，并询问对方想喝什么。,喝；茶；咖啡；水；牛奶；还是；或者；喜欢；想；杯,选择问句“A 还是 B”；“或者”陈述选择；“想/喜欢 + V/N”。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目/样章核实。,https://www.aijiaocai.com/textbook/details?textbook_id=714611 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454298
初级起步篇 I,9787301306444,李海燕,北京大学出版社,2019-10,18,今天我七点半就起床了,描述一天的作息时间和先后顺序。,起床；七点半；早上；吃早饭；上课；下课；回家；晚上；就；才,时间顺序；“就/才”；“先……再……”；“了”表示完成/变化（入门）。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目/样章核实。,https://www.aijiaocai.com/textbook/details?textbook_id=714611 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454298
初级起步篇 I,9787301306444,李海燕,北京大学出版社,2019-10,19,你又熬夜了,讨论熬夜、作息和身体状态，表达提醒与建议。,又；熬夜；睡觉；累；身体；休息；应该；别；太；早,“又 + V + 了”；“太……了”；“别 + V”；“应该 + V”。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目/样章核实。,https://www.aijiaocai.com/textbook/details?textbook_id=714611 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454298
初级起步篇 I,9787301306444,李海燕,北京大学出版社,2019-10,20,我想请一天假,因个人事务向老师或单位请假，说明原因和时间。,请假；一天；有事；生病；因为；所以；老师；可以；休息；回去,“因为……所以……”；“想 + V”；“可以……吗”；时量“一天”。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目/样章核实。,https://www.aijiaocai.com/textbook/details?textbook_id=714611 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454298
初级起步篇 I,9787301306444,李海燕,北京大学出版社,2019-10,21,每个人要说多长时间,询问活动、发言或任务持续多长时间，并理解时间长度。,每；个人；说；多长时间；分钟；小时；开始；结束；需要；大概,“每 + 量词 + 名词”；“多长时间”；时量补语；“需要/要 + 时量”。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目/样章核实。,https://www.aijiaocai.com/textbook/details?textbook_id=714611 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454298
初级起步篇 I,9787301306444,李海燕,北京大学出版社,2019-10,22,明天你下了课去哪儿,谈论下课后的安排，说明先后活动和目的地。,下课；以后；去哪儿；图书馆；宿舍；商店；先；再；然后；回,“V 了 + O + 再/就……”；“先……再/然后……”；趋向与目的地表达。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目/样章核实。,https://www.aijiaocai.com/textbook/details?textbook_id=714611 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454298
初级起步篇 I,9787301306444,李海燕,北京大学出版社,2019-10,23,假期有什么打算,谈论假期计划、意图和未来安排。,假期；打算；准备；旅行；回国；回家；旅游；想；要；计划,“打算/准备/想/要 + V”；将来时间词；“有什么打算”。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目/样章核实。,https://www.aijiaocai.com/textbook/details?textbook_id=714611 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454298
初级起步篇 I,9787301306444,李海燕,北京大学出版社,2019-10,24,学得怎么样,评价汉语学习情况，表达程度、进步和困难。,学；汉语；怎么样；听；说；读；写；进步；难；容易；得,程度补语“V 得 + 形容词”；“怎么样”；“越来越……”（扩展）。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目/样章核实。,https://www.aijiaocai.com/textbook/details?textbook_id=714611 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454298
初级起步篇 I,9787301306444,李海燕,北京大学出版社,2019-10,25,准备好了吗,以“准备”为主题综合复习已学日常交际功能。,准备；好了；考试；东西；带；忘；检查；已经；还；开始,“准备好”；结果补语“好”；“已经……了/还没……”；综合复习。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目/样章核实。,https://www.aijiaocai.com/textbook/details?textbook_id=714611 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454298
初级起步篇 II,9787301306437,张文贤,北京大学出版社,2019-09,1,订一张机票,预订机票，查询航班、时间、价格、舱位和到达信息。,订；机票；查；次；接；送；晴；阴；打折；飞机；护照；晚点；机场；正点；起飞；需要；航班；经济舱；头等舱；父母；到达；座位；原价,“想/要 + V”；“订 + 数量 + 机票”；“从……到……”；航班时间表达；“打几折”。,公开样章逐字核实,教学整理（非教材逐字语言点索引）,第1课词语23项由公开样章逐字核实。,https://aijiaocai.com/textbook/details?textbook_id=714610 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454299
初级起步篇 II,9787301306437,张文贤,北京大学出版社,2019-09,2,您有房子出租，是吗,寻找并租住房屋，询问位置、房间、租金、设施和周边交通。,房子；出租；租；房租；套；近；远；商店；先生；网上；房东；满意；方便；厨房；周围；公寓；饭馆儿；地铁站；洗衣机；卫生间；搬；比；对；外面；地铁,“有……出租，是吗”；“离……近/远”；“比”字句；方位词；“租 + 房屋”。,公开样章逐字核实,教学整理（非教材逐字语言点索引）,第2课词语26项由公开样章逐字核实。,https://aijiaocai.com/textbook/details?textbook_id=714610 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454299
初级起步篇 II,9787301306437,张文贤,北京大学出版社,2019-09,3,我丢了一个钱包,描述遗失钱包的经过、物品特征和可能遗失地点，并寻求帮助。,丢；钱包；发现；刚才；可能；里面；现金；银行卡；证件；颜色；记得；找；报警；服务台；着急；帮忙,“V 了”；结果补语“丢/找不到”；“把”字句（描述物品处置，可作为扩展）；可能性“可能”。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目核实；词语/语法为教学整理。,https://aijiaocai.com/textbook/details?textbook_id=714610 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454299
初级起步篇 II,9787301306437,张文贤,北京大学出版社,2019-09,4,我在中国生活,谈论在中国的生活经历、适应情况、饮食交通和文化感受。,生活；习惯；适应；方便；交通；饮食；文化；朋友；练习；汉语；越来越；已经；比较；有时候；觉得,“在 + 地点 + 生活”；“已经……了”；“越来越……”；“比较”；“习惯 + V/N”。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目核实；词语/语法为教学整理。,https://aijiaocai.com/textbook/details?textbook_id=714610 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454299
初级起步篇 II,9787301306437,张文贤,北京大学出版社,2019-09,5,在饭馆儿点菜,在饭馆点菜，询问菜品、口味、数量和结账。,饭馆儿；点菜；菜单；服务员；推荐；米饭；面条；辣；甜；咸；份；盘；结账；味道；好吃,“来/要 + 数量 + 菜”；“还要”；“有点儿/不太 + 形容词”；“给我……”；点菜功能句。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目核实；词语/语法为教学整理。,https://aijiaocai.com/textbook/details?textbook_id=714610 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454299
初级起步篇 II,9787301306437,张文贤,北京大学出版社,2019-09,6,参加学校社团,了解并选择校园社团，说明兴趣、能力和参加原因。,社团；参加；活动；报名；兴趣；摄影；音乐；体育；学生会；会；能；每周；成员；练习；认识,“参加 + 社团/活动”；“对……感兴趣”；“会/能 + V”；“因为……所以……”（说明原因）。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目核实；词语/语法为教学整理。,https://aijiaocai.com/textbook/details?textbook_id=714610 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454299
初级起步篇 II,9787301306437,张文贤,北京大学出版社,2019-09,7,去动物园,围绕动物园参观、动物特征和游览活动进行听说练习。,动物园；动物；熊猫；老虎；狮子；猴子；大象；可爱；危险；拍照；参观；喂；游客；门票；开放,“正在 + V”；“一边……一边……”（扩展）；“比”字句描述动物特征；“可以/不可以 + V”。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目核实；词语/语法为教学整理。,https://aijiaocai.com/textbook/details?textbook_id=714610 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454299
初级起步篇 II,9787301306437,张文贤,北京大学出版社,2019-09,8,一场篮球比赛,描述篮球比赛过程、比分、输赢和个人感受。,篮球；比赛；球队；队员；比分；赢；输；精彩；加油；投篮；上半场；下半场；观众；紧张；最后,“A 比 B + 形容词”；程度补语“V 得 + 形容词”；“最后/终于”；比分表达。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目核实；词语/语法为教学整理。,https://aijiaocai.com/textbook/details?textbook_id=714610 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454299
初级起步篇 II,9787301306437,张文贤,北京大学出版社,2019-09,9,糟糕的一天,叙述一天中连续发生的不顺利事件，练习事件顺序和结果。,糟糕；迟到；忘；坏；堵车；丢；错；赶不上；下雨；没带；手机；钥匙；后来；终于；倒霉,“又……又/又……了”；“先……后来……最后……”；结果补语；“没 + V 成/到”（扩展）。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目核实；词语/语法为教学整理。,https://aijiaocai.com/textbook/details?textbook_id=714610 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454299
初级起步篇 II,9787301306437,张文贤,北京大学出版社,2019-09,10,你的旅行怎么样,回顾旅行经历，谈论去过的地方、交通、景点和旅行评价。,旅行；旅游；去过；景点；风景；酒店；照片；导游；参观；坐；住；觉得；特别；有意思；难忘,经验体“V 过”；“去过 + 地点”；“V 得怎么样”；次数“次”；完成体“了”。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目核实；词语/语法为教学整理。,https://aijiaocai.com/textbook/details?textbook_id=714610 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454299
初级起步篇 II,9787301306437,张文贤,北京大学出版社,2019-09,11,做一个家常菜,介绍一道家常菜的材料和制作步骤。,家常菜；西红柿；鸡蛋；油；盐；糖；切；洗；放；炒；先；再；然后；最后；做法,“把 + 食材 + V……”；“先……再……然后……最后……”；结果补语“切好/洗好/做好”。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目核实；词语/语法为教学整理。,https://aijiaocai.com/textbook/details?textbook_id=714610 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454299
初级起步篇 II,9787301306437,张文贤,北京大学出版社,2019-09,12,搬进学校的宿舍,搬入学校宿舍，讨论房间、家具、搬运行李和住宿安排。,搬；宿舍；行李；箱子；房间；床；桌子；椅子；柜子；楼；搬进；放；整理；室友；方便,趋向补语“搬进/拿出/放上”；“把 + 物品 + 放在……”；处所“在……里/上/旁边”。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目核实；词语/语法为教学整理。,https://aijiaocai.com/textbook/details?textbook_id=714610 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454299
初级起步篇 II,9787301306437,张文贤,北京大学出版社,2019-09,13,我叫“不紧张”,围绕紧张、性格与个人体验进行自我介绍和叙述。,紧张；名字；性格；第一次；介绍；比赛；考试；发言；害怕；放心；习惯；开玩笑；认真；自信；放松,状态/心理形容词；“一……就……”；“越来越……”；“别 + V”；“不用 + V”。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目核实；词语/语法为教学整理。,https://aijiaocai.com/textbook/details?textbook_id=714610 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454299
初级起步篇 II,9787301306437,张文贤,北京大学出版社,2019-09,14,实现理想,谈论个人理想、目标以及为了实现理想需要做的事情。,理想；实现；目标；努力；希望；将来；工作；学习；成功；坚持；机会；计划；为了；一定；需要,“为了……”；“希望/想/打算 + V”；“只要……就……”（扩展）；“一定要……”。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目核实；词语/语法为教学整理。,https://aijiaocai.com/textbook/details?textbook_id=714610 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454299
初级起步篇 II,9787301306437,张文贤,北京大学出版社,2019-09,15,我喜欢的咖啡厅,描述喜欢的咖啡厅，包括位置、环境、饮品和选择理由。,咖啡厅；喜欢；环境；安静；舒服；服务；咖啡；甜点；座位；窗户；附近；经常；价格；气氛；选择,“我喜欢的 + 名词”；结构助词“的”；“因为……所以……”；“又……又……”描述环境。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目核实；词语/语法为教学整理。,https://aijiaocai.com/textbook/details?textbook_id=714610 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454299
初级起步篇 II,9787301306437,张文贤,北京大学出版社,2019-09,16,母校聚会,参加母校或同学聚会，回顾过去并比较现在的变化。,母校；聚会；同学；毕业；老师；以前；现在；变化；工作；结婚；孩子；回忆；联系；见面；多年,经验体“过”；“已经……了”；“跟以前相比……”；“越来越……”；“还/也/都”。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目核实；词语/语法为教学整理。,https://aijiaocai.com/textbook/details?textbook_id=714610 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454299
初级起步篇 II,9787301306437,张文贤,北京大学出版社,2019-09,17,我的假期,谈论假期经历或计划，包括旅行、休息和活动安排。,假期；放假；旅行；回家；计划；休息；旅游；景点；住；玩儿；打算；已经；还；准备；过,“打算/准备/想 + V”；“V 过”；“从……到……”；“除了……还……”（扩展）。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目核实；词语/语法为教学整理。,https://aijiaocai.com/textbook/details?textbook_id=714610 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454299
初级起步篇 II,9787301306437,张文贤,北京大学出版社,2019-09,18,去打工,寻找兼职工作，询问工作内容、时间、要求和报酬。,打工；兼职；工作；招聘；工资；小时；周末；经验；要求；面试；服务员；公司；时间；合适；申请,能愿动词“能/会/可以”；时量补语；“每 + 时间 + V”；“如果……就……”（面试/工作条件扩展）。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目核实；词语/语法为教学整理。,https://aijiaocai.com/textbook/details?textbook_id=714610 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454299
