slide_no,period,time,purpose,pbi_mode,source_refs,audio_track,source_pages,student_instruction_zh,student_content_zh,grouping,student_output,speaker_note_zh_tw,support_asset
"021","P2","17–24","對話重建 1","Interpersonal","E01-005","1-5","PDF p.15","听 1-5，盖住课文，用自己的话重建对话 1。","听录音，复述并模仿对话：1。","兩人","不看稿完成一次重建","接受合理改寫，只追蹤訊息是否完整。","音檔 1-5"
"022","P2","24–30","對話重建 2–3","Interpersonal","E01-005","1-5","PDF p.15","交换角色，重建对话 2–3，并再追问一个问题。","听录音，复述并模仿对话：2–3。","兩人","第二次重建與追問","用 recast 與重做代替逐句糾錯。","音檔 1-5"
"023","P2","30–34","句式資訊站 A","Interpersonal","E01-009","","PDF p.17, PDF p.18","用“总不能……吧”完成情境卡上的对话。","用“总不能……吧”完成对话。","三人輪站","完成兩個新情境","不先講規則；先看學生是否能用於拒絕／限制情境。","情境卡 A"
"024","P2","34–38","句式資訊站 B","Interpersonal","E01-010","","PDF p.18","用“……才怪呢”改写句子，并表达语气。","用“……才怪呢”改写句子。","三人輪站","完成兩個改寫並說明語氣","只處理語氣與使用情境。","情境卡 B"
"025","P2","38–42","句式資訊站 C","Interpersonal","E01-011","","PDF p.18","为句子选择一个合适的情境，并说明理由。","说一说在什么情况下会说出下面的句子。","三人輪站","完成一個情境說明","讓學生從情境推導用法。","情境卡 C"
"026","P2","42–46","句式資訊站 D","Interpersonal + Presentational","E01-012","","PDF p.18","用“话说回来”从两个角度谈一个姓名问题。","用“话说回来”从不同角度谈姓名选择。","三人輪站","完成 30 秒雙面觀點","觀察觀點轉換是否清楚。","情境卡 D"
"027","P2","46–50","回饋、重做與出口","Interpersonal","E01-009|E01-010|E01-011|E01-012","","PDF p.17, PDF p.18","选一句不太清楚的话，根据同伴建议再说一遍。","回馈后重做：用一个句式回应姓名选择问题。","兩人→個人","完成一次重做與 exit ticket","只留一個下一步語言目標。","Exit ticket 2"
"028","P3","0–5","P3 預測與聽力分工","Interpretive","","","","先读问题，预测人物的态度，并分配寻找证据的任务。","第三部分：听懂立场，从音频证据到成段表达。","四人","每組分配主旨／細節／語氣／證據角色","用預習標記啟動，不做內容講解。","預習卡 A"
"029","P3","5–11","第一遍填空 1–3","Interpretive","E01-006","1-6","PDF p.16","第一遍听 1-6，只填写问题 1–3 的关键信息。","听第一遍录音，填空：1–3。","個人→四人","完成關鍵空格","第一次不暫停，培養抓重點。","音檔 1-6"
"030","P3","11–16","第一遍填空 4–5","Interpretive","E01-006","1-6","PDF p.16","完成问题 4–5，然后和小组比较答案。","听第一遍录音，填空：4–5。","四人","小組形成共識","不要求學生寫出所有聽到的字。","音檔 1-6"
"031","P3","16–24","第二遍判斷正誤","Interpretive","E01-007","1-6","PDF p.16","再听 1-6，判断对错，并记下关键词或细节作为证据。","听第二遍录音，判断正误，并找证据。","四人","三題判斷＋三個證據","錯題只針對阻礙判斷的語音／詞義做微修補。","音檔 1-6"
"032","P3","24–31","立場與理由討論","Interpersonal","E01-008","1-6","PDF p.16","你们赞成给孩子起“殊”这个名字吗？说明理由，并问另一个小组一个问题。","朋友们是否赞成“殊”这个名字？说说理由。","四人→全班","小組立場＋一個追問","不要給唯一文化答案，要求理由與文本／音檔依據。","立場卡"
"033","P3","31–35","文化討論：諧音","Interpersonal","E01-013","","PDF p.18","交流一个因为同音而表达愿望或产生误会的例子。","请你说说：汉语谐音和姓名选择。","四人","一個文化觀察與例子","文化內容以比較與學生經驗為主。","文化卡"
"034","P3","35–41","短文閱讀證據","Interpretive","E01-014","","PDF p.19","课前读短文。小组找出文本中的句子来回答问题。","阅读短文后回答：找文本依据。","四人拼圖","每人完成一張觀點—例子證據表","課堂不逐段翻譯；用問題診斷理解。","閱讀證據表"
"035","P3","41–44","成段敘述準備","Presentational","E01-015","","PDF p.19","选择两个同音字例子，为 60 秒发言列出提纲。","成段叙述：举两个谐音字趣闻。","個人→兩人","完成兩點大綱","提供結構支架，不代寫內容。","短講卡"
"036","P3","44–48","60 秒成段表達","Presentational","E01-015","","PDF p.19","发言 60 秒。听同伴记录一个例子和一个主要意思。","60 秒成段表达：例子＋说明。","兩人輪換","完成一次短講與同儕回饋","回饋只選可理解度／連貫／例子其中一項。","計時器／回饋卡"
"037","P3","48–50","出口反思","Presentational","","","","写下一个你听懂的内容和一个还想确认的问题。","出口任务：我听懂了……；我还想确认……","個人","教師取得下一步修補資料","不把 exit ticket 改成詞語測驗。","Exit ticket 3"
"038","P4","0–5","最終任務簡報與角色","Interpersonal + Presentational","","","","阅读客户要求，选择角色并确定命名标准。","第四部分：起名儿公司。成功标准：问清要求、提出姓名、说明两个理由、回答追问。","三至四人","完成角色與客戶條件分工","用 speaker notes 提醒教師觀察任務成功，不逐字糾錯。","任務 rubric"
"039","P4","5–10","客戶需求訪問","Interpersonal","E01-016","","PDF p.20","询问客户对性别、字数、读音、字义和风格的要求。","模拟空间：向客户询问命名要求。","三至四人","完成客戶需求卡","教師只介入學生無法維持互動時。","角色卡／客戶卡"
"040","P4","10–16","條件整理與協商","Interpersonal","E01-016","","PDF p.20","小组按重要程度排列要求，并讨论要求冲突时怎么办。","整理命名条件：音、义、风格、文化考量。","三至四人","完成命名條件排序","這是協商語言，不是句型操練。","條件排序卡"
"041","P4","16–22","姓名提案準備","Presentational","E01-016","","PDF p.20","提出一个中文姓名，准备读音、字义和命名理由。","提出中文姓名：读音、字义、命名理由。","三至四人","完成提案卡","開放答案不設唯一標準名；評估是否符合客戶條件。","提案卡"
"042","P4","22–28","姓名顧問提案","Interpersonal + Presentational","E01-016","","PDF p.20","用 90 秒提出建议。客户必须追问至少一个问题。","90 秒顾问提案＋客户追问。","三至四人輪換","完成一次提案與追問","用 rubric 記錄訊息、互動、可理解度。","計時器／rubric"
"043","P4","28–33","電影演員中文名：資料","Interpersonal","E01-017","","PDF p.20","选择两位演员，分析姓名的音和义，再提出中文名。","根据演员名字的发音及含义，给他们起中文名字。","四人","完成兩個名字與理由","提供材料卡，不把教師命名示例當標準答案。","電影演員卡"
"044","P4","33–38","電影演員中文名：呈現","Presentational","E01-017","","PDF p.20","说出新名字，并解释读音、意义和风格。","说明两个中文名：音、义、风格。","四人→全班","小組 60 秒呈現","同伴只提一個澄清問題。","回饋卡"
"045","P4","38–42","調查報告組織","Presentational","E01-018|E01-035","","PDF p.20, PDF p.13","用调查资料分类：时代意义、地域特点、美好愿望。","调查报告：时代意义、地域特点、美好愿望。","四人","完成報告結構與資料分類","保留教材分類，補充資料只作學生任務材料。","調查報告模板"
"046","P4","42–46","小組調查報告","Presentational + Interpersonal","E01-018|E01-035","","PDF p.20, PDF p.13","用 2 分钟报告。其他小组提出一个关于资料的问题。","2 分钟小组报告＋同伴提问。","四人→全班","完成報告與追問","評估資料組織與回答，不要求每句無錯。","計時器／rubric"
"047","P4","46–48","回饋後重做","Presentational","E01-016|E01-018","","PDF p.20","选择一句不太清楚的话，根据反馈再说一遍。","重做：让提案或报告更容易听懂。","小組","完成一個修訂句","讓重做成為課程核心，而不是只講評。","重做卡"
"048","P4","48–50","P4 出口","Presentational","","","","写出一个重要的命名条件，并说明理由。","出口任务：一个命名条件＋一个理由。","個人","完成出口卡","為第二組聽力的姓氏主題建立橋接。","Exit ticket 4"
"049","P5","0–5","P5 目標與預習回收","Interpersonal","","","","用姓氏比较卡介绍越南常见的姓或名。","第五部分：姓氏与身份。","兩人","完成比較型訪談","不先講中國姓氏系統。","預習卡 B"
"050","P5","5–11","本國常見姓氏交換","Interpersonal","E01-019","2-1","PDF p.21","介绍本国几个常见的姓和名字，并说明常见原因。","介绍本国几个常见的姓和名字，并说明常见原因。","四人","完成比較表與一個追問","將文化差異轉成互動。","姓氏比較卡／音檔 2-1"
"051","P5","11–18","聽力 2-2：主旨與細節","Interpretive","E01-020","2-2","PDF p.22","听 2-2，先找主旨，再找细节，回答问题。","听对话，回答问题：主旨与细节。","個人→四人","提交主旨與兩個細節","不逐題講解；先協商再核對。","音檔 2-2"
"052","P5","18–24","回答與追問","Interpersonal","E01-021","","PDF p.22","回答 3–5 句话，然后问同伴一个关于姓、名或称呼的问题。","用三至五句话回答问题，并追问同伴。","兩人","完成 4-turn 互動","觀察 follow-up question 是否自然。","互動卡"
"053","P5","24–30","跟讀替換 1–3","Interpersonal","E01-022","2-3","PDF p.22","听 2-3，跟读后把姓、名或称呼换成真实信息。","听录音，跟读并替换：1–3。","兩人","完成三句替換句","只修補造成誤解的讀音或語序。","音檔 2-3"
"054","P5","30–35","跟讀替換 4–6","Interpersonal","E01-022","2-3","PDF p.22","换一个同伴，继续完成句子 4–6。","听录音，跟读并替换：4–6。","兩人","完成第二輪替換","把語言放回真實姓氏資料。","音檔 2-3"
"055","P5","35–43","對話重建","Interpersonal","E01-023","2-4","PDF p.23","听 2-4，盖住课文，重建对话并交换角色。","听录音，复述并模仿对话。","兩人","完成一次不看稿重建","不要求逐字重現，要求主要訊息與互動反應。","音檔 2-4"
"056","P5","43–48","同伴回饋與重做","Interpersonal","E01-021|E01-022|E01-023","2-3, 2-4","PDF p.22, PDF p.23","同伴记录听懂的一点和需要重说的一句话。","反馈后重做：让对话更容易听懂。","兩人","完成第二次互動","教師記錄下一節聽力的共同卡點。","回饋卡"
"057","P5","48–50","P5 出口","Interpersonal","","","","说出越南和中国姓氏或姓名的一个相同点或不同点。","出口任务：一个比较观察＋一个追问。","個人","完成出口卡","不做文化知識測驗。","Exit ticket 5"
"058","P6","0–5","P6 預習證據與研究分工","Interpretive + Presentational","","","","交换研究卡，每个人选择一个要教给新小组的信息。","第六部分：姓氏文化资讯站。","四人","建立資訊站角色","檢查 E01-031／E01-032 預習，不先補講文化背景。","預習卡 B／研究卡"
"059","P6","5–12","第一遍填空","Interpretive","E01-024","2-5","PDF p.23, PDF p.24","第一遍听 2-5，只填写关键信息，不要逐字听写。","听第一遍录音，填空。","個人→四人","完成關鍵空格","第一次播放不暫停。","音檔 2-5"
"060","P6","12–20","第二遍判斷正誤","Interpretive","E01-025","2-5","PDF p.24","再听 2-5，判断对错，并写下听到的证据。","听第二遍录音，判断正误，并找证据。","四人","完成判斷與證據","只針對共同錯誤做 3 分鐘修補。","音檔 2-5"
"061","P6","20–28","問題解決：姓「老」","Interpersonal","E01-026","2-5","PDF p.24","小组填写：问题—原因—结果—说明。","文中介绍了姓“老”的人遇到的麻烦。","四人","完成問題—原因—結果表","從文本推論，不直接給答案。","問題表"
"062","P6","28–33","姓氏句式資訊站","Interpersonal","E01-027","","PDF p.25","根据不同信息卡完成信息交换任务。","句式练习：用句式完成信息交换。","三人輪站","每人完成兩次資訊交換","評估任務完成，不測文法定義。","資訊差卡"
"063","P6","33–36","姓氏文化資訊站","Interpersonal","E01-028","","PDF p.25","讨论单姓、复姓和姓氏来源，选择一个比较点。","文化讨论：单姓、复姓与姓氏来源。","三人輪站","完成一個比較觀察","避免百科式講授；要求學生互相教。","文化站卡"
"064","P6","36–39","閱讀拼圖","Interpretive + Interpersonal","E01-029","","PDF p.25, PDF p.26","每组阅读一部分，找出答案，再教给新小组。","阅读短文：找答案和文本依据。","四人拼圖","每人教會新組員一個重點","使用文本依據，不逐段翻譯。","閱讀站卡"
"065","P6","39–42","單姓與複姓朗讀站","Presentational","E01-032","","PDF p.26, PDF p.27","大声朗读单姓和复姓，再说出一个你认识的姓。","朗读单姓和复姓，说说你认识的姓。","三人輪站","同伴記下兩個姓氏","只修補造成理解障礙的讀音。","姓氏讀音卡"
"066","P6","42–45","俗語與姓氏成段表達","Presentational","E01-030","","PDF p.26","解释“张王李赵遍地流（刘）”，再介绍一个熟悉的姓。","成段叙述：解释“张王李赵遍地流（刘）”。","兩人輪換","完成 60–90 秒短講","評估訊息順序與可理解度。","短講 rubric"
"067","P6","45–47","歷史人物微研究回報","Presentational","E01-031","","PDF p.26","介绍一位中国历史人物，并说明他的姓。","寻找历史名人：介绍一位中国历史名人。","四人→全班","每人完成 30 秒人物介紹","資料為學生研究結果，不提供教師唯一答案。","研究卡／計時器"
"068","P6","47–49","對話反思","Interpersonal + Presentational","E01-033","","PDF p.27","读对话，说说感受，并回答同伴一个问题。","读对话，谈体会。","兩人","完成 30 秒反思＋一個追問","收集下一課需要的語言問題。","反思卡"
"069","P6","49–50","總結與能力檢核","All modes","","","","勾选你已经会做的事情，并说一句：“现在我能……”","课末检核：我现在能……","個人","完成總結 exit ticket","不以詞語分數結束本課，以能力表現結束。","Final exit ticket"
