lesson_key,content_id,source_section,source_pages,exercise_or_task,ppt_deck,ppt_slides,audio,status,answer_policy,notes
boya-quasi-intermediate-i:lesson-01,L01-T2-FL,short_text_2,教材 P7–8,来源短文问题（PPT未设置此听力遍次）,online,39–42,1-7,source_only_not_in_ppt,open_no_unique_answer,仅保留来源审核记录；学生材料以PPT阅读、信息记录与口语准备为准；1-7语义待听核
boya-quasi-intermediate-i:lesson-01,L01-T2-SL,short_text_2,教材 P7–8,来源短文问题（PPT未设置此听力遍次）,online,39–42,1-7,source_only_not_in_ppt,open_no_unique_answer,仅保留来源审核记录；学生材料以PPT阅读、信息记录与口语准备为准；1-7语义待听核
boya-quasi-intermediate-i:lesson-01,L01-T2-P,short_text_2,教材 P7–8,介绍工作和情况2–3句,face-to-face,31,1-7,covered,open_no_unique_answer,1-7语义待听核
boya-quasi-intermediate-i:lesson-01,L01-T2-A,short_text_2,教材 P7–8,短文二听力练习,face-to-face,50,1-7,covered,open_no_unique_answer,先看题抓关键词再听
boya-quasi-intermediate-i:lesson-01,L01-T2-C,short_text_2,教材 P7–8,来源短文比较（PPT未设置此动作）,online,42,1-7,source_only_not_in_ppt,open_no_unique_answer,仅保留来源审核记录；不进入批准PPT衍生材料；1-7语义待听核
boya-quasi-intermediate-i:lesson-01,L01-T3-FL,short_text_3,教材 P8–9,来源短文问题（PPT未设置此听力遍次）,online,43–47,1-8,source_only_not_in_ppt,open_no_unique_answer,仅保留来源审核记录；学生材料以PPT阅读、信息记录与口语准备为准；1-8语义待听核
boya-quasi-intermediate-i:lesson-01,L01-T3-SL,short_text_3,教材 P8–9,来源短文问题（PPT未设置此听力遍次）,online,43–47,1-8,source_only_not_in_ppt,open_no_unique_answer,仅保留来源审核记录；学生材料以PPT阅读、信息记录与口语准备为准；1-8语义待听核
boya-quasi-intermediate-i:lesson-01,L01-T3-P,short_text_3,教材 P8–9,介绍爱好2–3句,face-to-face,40,1-8,covered,open_no_unique_answer,1-8语义待听核
boya-quasi-intermediate-i:lesson-01,L01-T3-A,short_text_3,教材 P8–9,短文三听力练习,face-to-face,51,1-8,covered,open_no_unique_answer,先看题抓关键词再听
boya-quasi-intermediate-i:lesson-01,L01-T3-G,short_text_3,教材 P8–9,来源小组拓展（PPT未设置此动作）,online,47,1-8,source_only_not_in_ppt,open_no_unique_answer,仅保留来源审核记录；不进入批准PPT衍生材料
boya-quasi-intermediate-i:lesson-01,L01-EXP01,common_expressions,教材 P6,出生在,online+face-to-face,48;24,,covered,open_personal_sentence,一项一句或三句依PPT页面
boya-quasi-intermediate-i:lesson-01,L01-EXP02,common_expressions,教材 P6,……是……,online+face-to-face,49;25,,covered,open_personal_sentence,一项一句或三句依PPT页面
boya-quasi-intermediate-i:lesson-01,L01-EXP03,common_expressions,教材 P6,什么,online+face-to-face,50;26,,covered,open_personal_sentence,一项一句或三句依PPT页面
boya-quasi-intermediate-i:lesson-01,L01-EXP04,common_expressions,教材 P6,为……担心,online+face-to-face,51;27,,covered,open_personal_sentence,一项一句或三句依PPT页面
boya-quasi-intermediate-i:lesson-01,L01-EXP05,common_expressions,教材 P6,如果……就……,online+face-to-face,52;28,,covered,open_personal_sentence,一项一句或三句依PPT页面
boya-quasi-intermediate-i:lesson-01,L01-EXP06,common_expressions,教材 P8,从……到……,online+face-to-face,53;33,,covered,open_personal_sentence,一项一句或三句依PPT页面
boya-quasi-intermediate-i:lesson-01,L01-EXP07,common_expressions,教材 P8,为了,online+face-to-face,54;34,,covered,open_personal_sentence,一项一句或三句依PPT页面
boya-quasi-intermediate-i:lesson-01,L01-EXP08,common_expressions,教材 P8,越来越,online+face-to-face,55;35,,covered,open_personal_sentence,一项一句或三句依PPT页面
boya-quasi-intermediate-i:lesson-01,L01-EXP09,common_expressions,教材 P8,受……欢迎,online+face-to-face,56;36,,covered,open_personal_sentence,一项一句或三句依PPT页面
boya-quasi-intermediate-i:lesson-01,L01-EXP10,common_expressions,教材 P8,对……满意,online+face-to-face,57;37,,covered,open_personal_sentence,一项一句或三句依PPT页面
boya-quasi-intermediate-i:lesson-01,L01-EXP11,common_expressions,教材 P9,毕业／见面,online,58,,covered,open_personal_sentence,实体PPT未单列
boya-quasi-intermediate-i:lesson-01,L01-EXP12,common_expressions,教材 P9,放假,online,59,,covered,open_personal_sentence,实体PPT未单列
boya-quasi-intermediate-i:lesson-01,L01-EXP13,common_expressions,教材 P9,不仅……而且……,online+face-to-face,60;42,,covered,open_personal_sentence,一项一句或三句依PPT页面
boya-quasi-intermediate-i:lesson-01,L01-EXP14,common_expressions,教材 P9,除了……还……／除了……也……,online+face-to-face,61;43,,covered,open_personal_sentence,一项一句或三句依PPT页面
boya-quasi-intermediate-i:lesson-01,L01-EXP15,common_expressions,教材 P9,因为……所以……,online+face-to-face,62;44,,covered,open_personal_sentence,一项一句或三句依PPT页面
boya-quasi-intermediate-i:lesson-01,L01-EXP16,common_expressions,教材 P9,对……有好处／有帮助,online+face-to-face,63;45,,covered,open_personal_sentence,一项一句或三句依PPT页面
boya-quasi-intermediate-i:lesson-01,L01-COMP1,comprehensive_practice,教材 P10,根据三篇短文填三栏信息表,online+face-to-face,64;47,,covered,open_no_unique_answer,字段来自canonical source
boya-quasi-intermediate-i:lesson-01,L01-COMP2,comprehensive_practice,教材 P10,根据课本回答问题并说明课文信息,online+face-to-face,65;48,,covered,open_no_unique_answer,按批准PPT第48页；开放口语不补唯一答案
boya-quasi-intermediate-i:lesson-01,L01-COMP3,comprehensive_practice,教材 P11,谈自己的家庭学习工作兴趣爱好,online+face-to-face,66–72;49,,covered,open_no_unique_answer,最终口语产出依据批准PPT
