slide_no,period,time,purpose,visual_role,visual_mode,layout,image_required,image_asset_ids,image_brief,text_budget,screen_copy_strategy,interaction_cue,teacher_info_location,design_qa,source_refs,audio_track
"011","P1","28–32","聽力證據交換","聽力證據交換","evidence wall","中央證據路徑＋兩個答案節點","required","IMG-07","答案、關鍵詞、音檔依據形成可視化路徑","主標 12 字內；操作最多 2 行；步驟最多 3 個短句","只顯示「答案＋你聽到什麼」","小組提交兩個答案證據","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-001","1-2"
"012","P1","32–36","相近意思選擇 1–2","語意選擇","two-card contrast","兩張大圖卡對照；文字只作標籤","required","IMG-08","用畫面差異輔助意思判斷，不把選項變成段落","只保留兩組選項或一條比較軸；每組最多 10 字","每頁 2–3 題，每題兩個清楚選項","學生先解釋，再核對","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-002","1-3"
"013","P1","36–40","相近意思選擇 3–5","語意選擇","two-card contrast","兩張大圖卡對照；文字只作標籤","required","IMG-08","用畫面差異輔助意思判斷，不把選項變成段落","只保留兩組選項或一條比較軸；每組最多 10 字","每頁 2–3 題，每題兩個清楚選項","學生先解釋，再核對","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-002","1-3"
"014","P1","40–44","三至五句回答 1–3","回答與追問","conversation scene","兩人互動照片＋右側一個追問提示","required","IMG-06","用視線與手勢提示互動，而不是展示完整答案","每頁最多 2 句；其餘內容由音檔與同伴互動完成","只顯示問題編號與三個畫線提示詞","每次回答後必須追問","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-003",""
"015","P1","44–47","三至五句回答 4–5","回答與追問","conversation scene","兩人互動照片＋右側一個追問提示","required","IMG-06","用視線與手勢提示互動，而不是展示完整答案","每頁最多 2 句；其餘內容由音檔與同伴互動完成","只顯示問題編號與三個畫線提示詞","每次回答後必須追問","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-003",""
"016","P1","47–49","姓名訪談輪換","訪談角色輪換","role system","三個角色視覺卡＋中央輪換箭頭","required","IMG-09","三個角色卡讓學生一眼明白輪換方式","主標 12 字內；操作最多 2 行；步驟最多 3 個短句","角色名稱＋每個角色一個動詞","每人完成一次訪談與一次觀察","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-003|E01-034|E01-035",""
"017","P1","49–50","出口任務","小節出口","quiet typographic visual","大字句式置中＋右下小型姓名字形","required","IMG-24","留白為主，字形作為記憶錨點","一句自評＋一個短回答；不放段落說明","只留一個姓名理由與一個聽力證據","個人完成出口卡","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","",""
"018","P2","0–5","P2 目標與快速回收","快速啟動","image-led prompt","大姓名卡＋一個問答提示","required","IMG-02","用姓名卡直接啟動同伴問答","主標 12 字內；操作最多 2 行；步驟最多 3 個短句","只留一個問題與一個回答動作","兩人快速交換","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","",""
"019","P2","5–11","跟讀替換 1–3","跟讀替換","conversation scene","兩人互動圖 50%＋一條句式框 50%","required","IMG-06","畫線部分以色塊或空位表示，不顯示密集句群","每頁最多 2 句；其餘內容由音檔與同伴互動完成","每頁最多三句替換句","聽、跟讀、換成真實資訊","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-004","1-4"
"020","P2","11–17","跟讀替換 4–6","跟讀替換","conversation scene","兩人互動圖 50%＋一條句式框 50%","required","IMG-06","畫線部分以色塊或空位表示，不顯示密集句群","每頁最多 2 句；其餘內容由音檔與同伴互動完成","每頁最多三句替換句","聽、跟讀、換成真實資訊","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-004","1-4"
"021","P2","17–24","對話重建 1","對話重建","masked dialogue","大情境圖＋兩個角色標記；課文採逐步揭示","required","IMG-06","圖像維持情境，文字用逐步顯示避免整頁課文","每頁最多 2 句；其餘內容由音檔與同伴互動完成","只顯示對話編號與重建提示","蓋住課文，用自己的話重建","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-005","1-5"
"022","P2","24–30","對話重建 2–3","對話重建","masked dialogue","大情境圖＋兩個角色標記；課文採逐步揭示","required","IMG-06","圖像維持情境，文字用逐步顯示避免整頁課文","每頁最多 2 句；其餘內容由音檔與同伴互動完成","只顯示對話編號與重建提示","蓋住課文，用自己的話重建","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-005","1-5"
"023","P2","30–34","句式資訊站 A","句式資訊站","three-scene station","三格情境圖＋一句句式提示","required","IMG-10","每個句式由一個可辨識生活情境承擔","主標 12 字內；操作最多 2 行；步驟最多 3 個短句","句式只出現一次；情境與產出最重要","輪站完成兩個新情境","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-009",""
"024","P2","34–38","句式資訊站 B","句式資訊站","three-scene station","三格情境圖＋一句句式提示","required","IMG-10","每個句式由一個可辨識生活情境承擔","主標 12 字內；操作最多 2 行；步驟最多 3 個短句","句式只出現一次；情境與產出最重要","輪站完成兩個新情境","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-010",""
"025","P2","38–42","句式資訊站 C","句式資訊站","three-scene station","三格情境圖＋一句句式提示","required","IMG-10","每個句式由一個可辨識生活情境承擔","主標 12 字內；操作最多 2 行；步驟最多 3 個短句","句式只出現一次；情境與產出最重要","輪站完成兩個新情境","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-011",""
"026","P2","42–46","句式資訊站 D","觀點轉換","typographic split","左右兩個觀點畫面＋中央轉折字形","required","IMG-11","用兩個不同角度的姓名情境表現話題轉回","只保留兩組選項或一條比較軸；每組最多 10 字","兩個角度各一行，不放定義","完成 30 秒雙面觀點","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-012",""
"027","P2","46–50","回饋、重做與出口","回饋後重做","before-after visual","左側第一次／右側重做；中間一個回饋標記","required","IMG-24","用兩個姓名字形版本表示重做，而非放評語段落","一句自評＋一個短回答；不放段落說明","只顯示一個下一步目標","同伴回饋後再說一次","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-009|E01-010|E01-011|E01-012",""
"028","P3","0–5","P3 預測與聽力分工","聽力預測","stance continuum","人物剪影兩端＋中央立場刻度","required","IMG-11","以立場視覺讓學生先預測人物態度","主標 12 字內；操作最多 2 行；步驟最多 3 個短句","只留人物、立場、證據三個詞","小組分配找證據角色","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","",""
"029","P3","5–11","第一遍填空 1–3","聽力填空","audio anchor","聲波 35%＋三個大空格 65%","required","IMG-05","空格需要足夠大，聲波圖固定作聽力定位","每頁最多 3 題或 3 個證據欄；不放完整解析","每頁 2–3 個關鍵空格","第一遍只抓關鍵資訊","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-006","1-6"
"030","P3","11–16","第一遍填空 4–5","聽力填空","audio anchor","聲波 35%＋三個大空格 65%","required","IMG-05","空格需要足夠大，聲波圖固定作聽力定位","每頁最多 3 題或 3 個證據欄；不放完整解析","每頁 2–3 個關鍵空格","第一遍只抓關鍵資訊","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-006","1-6"
"031","P3","16–24","第二遍判斷正誤","判斷正誤","evidence wall","正誤兩端＋三個證據節點","required","IMG-07","用證據節點代替逐句講解","每頁最多 3 題或 3 個證據欄；不放完整解析","只顯示判斷與證據欄","小組找出聽到的依據","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-007","1-6"
"032","P3","24–31","立場與理由討論","立場討論","editorial split","左右兩種立場圖＋中央問題","required","IMG-11","以兩個人物或兩種命名選擇承擔立場差異","只保留兩組選項或一條比較軸；每組最多 10 字","只顯示一個立場問題與一個追問","小組說理由並問另一組","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-008","1-6"
"033","P3","31–35","文化討論：諧音","諧音文化","character composition","同音字大字形＋兩個意義畫面","required","IMG-11","把同音、願望、誤會用字形與圖像連起來","主標 12 字內；操作最多 2 行；步驟最多 3 個短句","只保留一個例子與一個文化問題","交流一個自身經驗","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-013",""
"034","P3","35–41","短文閱讀證據","閱讀證據","editorial document","文章局部 35%＋證據圖像 65%","required","IMG-12","文章只截取必要片段，完整閱讀放在教材或活動卡","主標 12 字內；操作最多 2 行；步驟最多 3 個短句","只顯示找文本依據的任務","小組拼圖找證據","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-014",""
"035","P3","41–44","成段敘述準備","成段短講","presenter image","講者主圖 60%＋三個提綱詞 40%","required","IMG-13","六十秒是視覺節奏，不是塞入講稿","主標 12 字內；只保留 3 個提示詞與時間","例子、意思、影響三個提示詞","一人說、一人聽並記錄","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-015",""
"036","P3","44–48","60 秒成段表達","成段短講","presenter image","講者主圖 60%＋三個提綱詞 40%","required","IMG-13","六十秒是視覺節奏，不是塞入講稿","主標 12 字內；只保留 3 個提示詞與時間","例子、意思、影響三個提示詞","一人說、一人聽並記錄","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-015",""
"037","P3","48–50","出口反思","小節出口","quiet typographic visual","大問題置中＋小型聲波圖","required","IMG-24","留白和一個聲波符號提示聽力反思","一句自評＋一個短回答；不放段落說明","只留聽懂的一點與想確認的一點","個人寫下反思","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","",""
"038","P4","0–5","最終任務簡報與角色","最終任務啟動","full-bleed image","命名顧問工作桌全版＋四個成功條件標籤","required","IMG-14","把學生放進起名兒公司情境，成功條件不超過四個短詞","主標 12 字內；操作最多 2 行；步驟最多 3 個短句","只顯示問清、提出、說明、回答","小組分配角色與條件","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","",""
"039","P4","5–10","客戶需求訪問","客戶需求訪問","client portrait card","客戶肖像 55%＋五個圖像化條件","required","IMG-15","客戶肖像和條件圖示取代長段背景","主標 12 字內；操作最多 2 行；步驟最多 3 個短句","性別、字數、讀音、字義、風格五個標籤","學生向客戶提問","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-016",""
"040","P4","10–16","條件整理與協商","條件協商","decision board","條件卡排序 70%＋一個衝突提示","required","IMG-16","排序與衝突直接視覺化，避免解釋段落","只保留兩組選項或一條比較軸；每組最多 10 字","只放條件詞與排序問題","小組協商優先順序","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-016",""
"041","P4","16–22","姓名提案準備","姓名顧問提案","proposal board","姓名字形主視覺 55%＋三個理由欄","required","IMG-17","中文姓名成為畫面主角，讀音與字義用少量標記","主標 12 字內；只保留 3 個提示詞與時間","姓名、讀音、字義、理由各一行","九十秒提案與客戶追問","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-016",""
"042","P4","22–28","姓名顧問提案","姓名顧問提案","proposal board","姓名字形主視覺 55%＋三個理由欄","required","IMG-17","中文姓名成為畫面主角，讀音與字義用少量標記","主標 12 字內；只保留 3 個提示詞與時間","姓名、讀音、字義、理由各一行","九十秒提案與客戶追問","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-016",""
"043","P4","28–33","電影演員中文名：資料","演員中文名","portrait pair","兩個人物卡並置＋姓名提案區","required","IMG-18","人物圖像先建立命名對象，說明留給口語提案","主標 12 字內；只保留 3 個提示詞與時間","每位演員只顯示一個新名字與三個提示詞","小組提出並說明兩個中文名","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-017",""
"044","P4","33–38","電影演員中文名：呈現","演員中文名","portrait pair","兩個人物卡並置＋姓名提案區","required","IMG-18","人物圖像先建立命名對象，說明留給口語提案","主標 12 字內；只保留 3 個提示詞與時間","每位演員只顯示一個新名字與三個提示詞","小組提出並說明兩個中文名","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-017",""
"045","P4","38–42","調查報告組織","調查報告","data-led visual","三組資料圖 65%＋報告提示 35%","required","IMG-19","調查結果用視覺資料呈現，不把數據變成表格牆","主標 12 字內；只保留 3 個提示詞與時間","時代、地域、願望三個分類標籤","兩分鐘報告與一個追問","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-018|E01-035",""
"046","P4","42–46","小組調查報告","調查報告","data-led visual","三組資料圖 65%＋報告提示 35%","required","IMG-19","調查結果用視覺資料呈現，不把數據變成表格牆","主標 12 字內；只保留 3 個提示詞與時間","時代、地域、願望三個分類標籤","兩分鐘報告與一個追問","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-018|E01-035",""
"047","P4","46–48","回饋後重做","提案重做","before-after visual","第一次／修訂後並置＋一個回饋焦點","required","IMG-17","比較兩個姓名提案版本，讓重做看得見","一句自評＋一個短回答；不放段落說明","只顯示一個可理解度改進目標","回饋後重新說一個句子","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-016|E01-018",""
"048","P4","48–50","P4 出口","小節出口","quiet typographic visual","一個命名條件大字＋小型姓名字形","required","IMG-24","把命名條件收束成一個可記住的字詞","一句自評＋一個短回答；不放段落說明","只留一個條件與一個理由","個人完成出口卡","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","",""
"049","P5","0–5","P5 目標與預習回收","姓氏比較","comparison map","左右文化圖像＋中央比較軸","required","IMG-20","比較框架先建立，文化內容由學生口語補充","只保留兩組選項或一條比較軸；每組最多 10 字","只留姓、名、常見原因三個提示","兩人或四人交換資料","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","",""
"050","P5","5–11","本國常見姓氏交換","姓氏比較","comparison map","左右文化圖像＋中央比較軸","required","IMG-20","比較框架先建立，文化內容由學生口語補充","只保留兩組選項或一條比較軸；每組最多 10 字","只留姓、名、常見原因三個提示","兩人或四人交換資料","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-019","2-1"
"051","P5","11–18","聽力 2-2：主旨與細節","第二組聽力","audio anchor","情境圖 40%＋主旨／細節兩區","required","IMG-05","主旨與細節用兩個視覺區塊分開","每頁最多 3 題或 3 個證據欄；不放完整解析","只顯示主旨與兩個細節任務","先找主旨，再找細節","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-020","2-2"
"052","P5","18–24","回答與追問","姓氏問答","conversation scene","互動照片＋一個追問泡泡","required","IMG-06","用對話場景支援自然追問","每頁最多 2 句；其餘內容由音檔與同伴互動完成","只顯示姓、名、稱呼三個選擇","完成四回合互動","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-021",""
"053","P5","24–30","跟讀替換 1–3","姓氏對話重建","masked dialogue","情境圖 50%＋逐步揭示文字 50%","required","IMG-06","每頁只保留一小段語料，避免課文牆","每頁最多 2 句；其餘內容由音檔與同伴互動完成","只顯示替換或重建的最小單位","聽、重建、交換角色","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-022","2-3"
"054","P5","30–35","跟讀替換 4–6","姓氏對話重建","masked dialogue","情境圖 50%＋逐步揭示文字 50%","required","IMG-06","每頁只保留一小段語料，避免課文牆","每頁最多 2 句；其餘內容由音檔與同伴互動完成","只顯示替換或重建的最小單位","聽、重建、交換角色","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-022","2-3"
"055","P5","35–43","對話重建","姓氏對話重建","masked dialogue","情境圖 50%＋逐步揭示文字 50%","required","IMG-06","每頁只保留一小段語料，避免課文牆","每頁最多 2 句；其餘內容由音檔與同伴互動完成","只顯示替換或重建的最小單位","聽、重建、交換角色","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-023","2-4"
"056","P5","43–48","同伴回饋與重做","互動重做","evidence wall","一個聽懂證據＋一個重說句子","required","IMG-07","回饋只留兩個視覺欄位：聽懂／重說","一句自評＋一個短回答；不放段落說明","只顯示一個可改進句子","同伴記錄後再做一次","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-021|E01-022|E01-023","2-3, 2-4"
"057","P5","48–50","P5 出口","小節出口","comparison visual","兩個姓氏字形＋一條相同／不同軸","required","IMG-20","用字形與比較軸收束文化內容","一句自評＋一個短回答；不放段落說明","只留一個相同或不同與一個追問","個人完成出口卡","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","",""
"058","P6","0–5","P6 預習證據與研究分工","資訊站啟動","station map","四站地圖＋中央換卡動線","required","IMG-22","四個站點用視覺識別區分，學生一眼看懂輪換","主標 12 字內；操作最多 2 行；步驟最多 3 個短句","只顯示換卡、選資訊、教新組三步","每人選一項要教的資訊","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","",""
"059","P6","5–12","第一遍填空","姓氏聽力填空","audio anchor","聲波 35%＋兩到三個大空格","required","IMG-05","延續聽力視覺系統，保持學生注意力在音檔","每頁最多 3 題或 3 個證據欄；不放完整解析","只保留關鍵資訊空格","第一遍不逐字聽寫","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-024","2-5"
"060","P6","12–20","第二遍判斷正誤","姓氏聽力證據","evidence wall","正誤判斷＋證據節點","required","IMG-07","答案與聽到的證據以連線方式呈現","每頁最多 3 題或 3 個證據欄；不放完整解析","每頁最多三題判斷","小組提交證據","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-025","2-5"
"061","P6","20–28","問題解決：姓「老」","問題解決","causal diagram","問題→原因→結果→說明四格流程","required","IMG-21","用因果圖取代文字解釋","主標 12 字內；操作最多 2 行；步驟最多 3 個短句","四個欄位只放欄名，內容由小組完成","小組依文本推論","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-026","2-5"
"062","P6","28–33","姓氏句式資訊站","資訊差交換","station cards","兩張不同資訊卡＋中央交換箭頭","required","IMG-22","資訊差由卡片視覺直接表達","主標 12 字內；操作最多 2 行；步驟最多 3 個短句","只顯示交換規則與產出","每人完成兩次資訊交換","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-027",""
"063","P6","33–36","姓氏文化資訊站","姓氏文化比較","comparison map","單姓／複姓／來源三個視覺節點","required","IMG-20","文化比較用節點與連線，不做百科式投影片","只保留兩組選項或一條比較軸；每組最多 10 字","只留一個比較點與一個追問","學生互相教一個資訊","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-028",""
"064","P6","36–39","閱讀拼圖","閱讀拼圖","jigsaw station","四片內容拼圖＋一個教學箭頭","required","IMG-22","拼圖視覺表現每組讀不同部分並重新組合","主標 12 字內；操作最多 2 行；步驟最多 3 個短句","只顯示讀、找、教三步","每人教會新組員一個重點","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-029",""
"065","P6","39–42","單姓與複姓朗讀站","朗讀站","typographic visual","單姓／複姓字形大字＋朗讀提示","required","IMG-23","字形與人物資料卡共同支援朗讀與文化理解","主標 12 字內；只保留 3 個提示詞與時間","只顯示兩組姓氏與一個熟悉的姓","大聲朗讀並交換一個姓","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-032",""
"066","P6","42–45","俗語與姓氏成段表達","俗語成段表達","typographic composition","俗語字形主視覺＋一個熟悉姓氏圖像","required","IMG-23;IMG-20","讓俗語和姓氏成為視覺記憶點，避免整段解釋","主標 12 字內；只保留 3 個提示詞與時間","只保留俗語與一個短講提示","完成 60–90 秒短講","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-030",""
"067","P6","45–47","歷史人物微研究回報","歷史人物微研究","archival portrait card","人物卡 55%＋姓氏與一個事實 45%","required","IMG-23","只用已確認公版或原創人物資料，避免未授權網路照片","主標 12 字內；只保留 3 個提示詞與時間","人物、姓氏、一個重要資訊","每人完成 30 秒介紹","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-031",""
"068","P6","47–49","對話反思","對話反思","conversation scene","安靜對話圖＋一個感受問題","required","IMG-06","用人物表情和空間留白支援反思，不放長篇問題","每頁最多 2 句；其餘內容由音檔與同伴互動完成","只留感受與追問兩個動作","完成 30 秒反思與一個追問","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-033",""
"069","P6","49–50","總結與能力檢核","全課能力總結","quiet typographic visual","三個能力字形＋中央我能句式","required","IMG-24","用三個能力字形回收全課，不重列教材內容","一句自評＋一個短回答；不放段落說明","只留我現在能與三個能力提示","勾選並說出一句我能句式","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","",""
