lesson_id,page_range,page_range_options,sequence,record_type,item_id,title,hanzi,pinyin,symbol,category,final_group,content_focus,exercise_type,source_set_id,source_chart_id,source_tone_sandhi_rule_id,related_rule_id,script_note,meaning_note,pronunciation_first,meaning_focus,requires_hanzi_recognition,includes_tones,is_page_range_flexible,notes
pinyin_lesson_04,P13,,13,vocab_exercise,page_l4_13,词汇练习 2,,,,lesson_page,,词汇 2 的发音与字义练习。,,vocab_set_l4_02,,,,,,true,true,false,,false,
pinyin_lesson_04,P14,,14,spelling_rule,rule_l4_jqx_ue_umlaut,规则：üe 的变化,,,,lesson_page,,学习 j/q/x + üe 时，拼写为 jue/que/xue。,,,,,rule_l4_jqx_ue_umlaut,,,true,true,false,,false,
pinyin_lesson_04,P15,,15,vocabulary_set,vocab_set_l4_03,词汇 3,,,,lesson_page,,觉得、缺、学。,,vocab_set_l4_03,,,rule_l4_jqx_ue_umlaut,,,true,true,false,,false,
pinyin_lesson_04,P16,,16,vocab_exercise,page_l4_16,词汇练习 3,,,,lesson_page,,词汇 3 的发音与字义练习。,,vocab_set_l4_03,,,rule_l4_jqx_ue_umlaut,,,true,true,false,,false,
pinyin_lesson_04,,P17-P18|P17-P19,17,review_exercise,page_l4_17,课后练习,,,,lesson_page,,2-3 个题型整合复习。,,,,,,,,true,true,false,,true,
pinyin_lesson_04,P3,,90,warmup_activity,warmup_review_pinyin_lesson_03,暖身活动：复习前一课生词,,,,warmup_activity,,复习前一课的生词,,,,,,,,true,true,false,,,暖身活动放在学习目标之后，用前一课生词作为复习材料。
pinyin_lesson_04,P3,,91,warmup_activity_option,warmup_review_pinyin_lesson_03_option_1,连连看,,,,matching,,学生看照片，连到对应的拼音与汉字。,,,,,,,,true,true,false,,,
pinyin_lesson_04,P3,,92,warmup_activity_option,warmup_review_pinyin_lesson_03_option_2,听音猜意 flash card,,,,audio_flashcard,,正面播放生词音档，学生猜意思；反面显示汉字、拼音与图片。,,,,,,,,true,true,false,,,
pinyin_lesson_04,P4,,101,final,final_ai,韵母 ai,,,ai,final,compound_final_group_1,韵母 ai。,,,,,,,,true,false,false,,,chart_page=P5; rule_page=
pinyin_lesson_04,P4,,102,final,final_ao,韵母 ao,,,ao,final,compound_final_group_1,韵母 ao。,,,,,,,,true,false,false,,,chart_page=P5; rule_page=
pinyin_lesson_04,P4,,103,final,final_ou,韵母 ou,,,ou,final,compound_final_group_1,韵母 ou。,,,,,,,,true,false,false,,,chart_page=P5; rule_page=
pinyin_lesson_04,P4,,104,final,final_ei,韵母 ei,,,ei,final,compound_final_group_1,韵母 ei。,,,,,,,,true,false,false,,,chart_page=P5; rule_page=
pinyin_lesson_04,P4,,105,final,final_er,韵母 er,,,er,final,compound_final_group_1,韵母 er。,,,,,,,,true,false,false,,,chart_page=P5; rule_page=
pinyin_lesson_04,P9,,106,final,final_iu,韵母 iu,,,iu,final,compound_final_group_2,韵母 iu。,,,,,,,,true,false,false,,,chart_page=P10; rule_page=
pinyin_lesson_04,P9,,107,final,final_ui,韵母 ui,,,ui,final,compound_final_group_2,韵母 ui。,,,,,,,,true,false,false,,,chart_page=P10; rule_page=
pinyin_lesson_04,P9,,108,final,final_ie,韵母 ie,,,ie,final,compound_final_group_2,韵母 ie。,,,,,,,,true,false,false,,,chart_page=P10; rule_page=
pinyin_lesson_04,P9,,109,final,final_ue_umlaut,韵母 üe,,,üe,final,compound_final_group_2_rule_based,韵母 üe。,,,,,rule_l4_jqx_ue_umlaut,,,true,false,false,,,chart_page=; rule_page=P14
pinyin_lesson_04,multiple,,110,initials_reference,summary_21_initials,全部 21 声母,,,,initials_reference,,b|p|m|f|d|t|n|l|g|k|h|j|q|x|zh|ch|sh|r|z|c|s,,,,,,,,true,false,false,,,
pinyin_lesson_04,P5,,111,pinyin_chart,pinyin_chart_l4_group_1,全部声母 + ai ao ou ei er,,,,pinyin_chart,,initials=b|p|m|f|d|t|n|l|g|k|h|j|q|x|zh|ch|sh|r|z|c|s; finals=ai|ao|ou|ei|er,,,,,,,,true,false,false,false,,
pinyin_lesson_04,P10,,112,pinyin_chart,pinyin_chart_l4_group_2,全部声母 + iu ui ie,,,,pinyin_chart,,initials=b|p|m|f|d|t|n|l|g|k|h|j|q|x|zh|ch|sh|r|z|c|s; finals=iu|ui|ie,,,,,,,,true,false,false,false,,P10 表格不含 üe；üe 由 P14 规则处理。
pinyin_lesson_04,P14,,113,spelling_rule,rule_l4_jqx_ue_umlaut,j/q/x + üe 拼写变化,,,,spelling_rule,,j/q/x 后接 üe 时，拼写省略 ü 上两点，但发音仍与 üe 有关。,,,,,rule_l4_jqx_ue_umlaut,,,true,false,false,,,
pinyin_lesson_04,P14,,114,spelling_rule_mapping,rule_l4_jqx_ue_umlaut_jüe_to_jue,jüe→jue,,,jue,spelling_rule_mapping,,jüe is written as jue.,,,,,rule_l4_jqx_ue_umlaut,,,true,false,false,,,
pinyin_lesson_04,P14,,115,spelling_rule_mapping,rule_l4_jqx_ue_umlaut_qüe_to_que,qüe→que,,,que,spelling_rule_mapping,,qüe is written as que.,,,,,rule_l4_jqx_ue_umlaut,,,true,false,false,,,
pinyin_lesson_04,P14,,116,spelling_rule_mapping,rule_l4_jqx_ue_umlaut_xüe_to_xue,xüe→xue,,,xue,spelling_rule_mapping,,xüe is written as xue.,,,,,rule_l4_jqx_ue_umlaut,,,true,false,false,,,
pinyin_lesson_04,P7,,117,vocabulary,vocab_l4_001_kai,开,开,kāi,,vocab_set_l4_01,,,,vocab_set_l4_01,,,,,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_04,P7,,118,vocabulary,vocab_l4_002_cai,菜,菜,cài,,vocab_set_l4_01,,,,vocab_set_l4_01,,,,,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_04,P7,,119,vocabulary,vocab_l4_003_mao,猫,猫,māo,,vocab_set_l4_01,,,,vocab_set_l4_01,,,,,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_04,P7,,120,vocabulary,vocab_l4_004_shao,少,少,shǎo,,vocab_set_l4_01,,,,vocab_set_l4_01,,,,,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_04,P7,,121,vocabulary,vocab_l4_005_shou,手,手,shǒu,,vocab_set_l4_01,,,,vocab_set_l4_01,,,,,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_04,P7,,122,vocabulary,vocab_l4_006_kou,口,口,kǒu,,vocab_set_l4_01,,,,vocab_set_l4_01,,,,,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_04,P7,,123,vocabulary,vocab_l4_007_shei,谁,谁,shéi,,vocab_set_l4_01,,,,vocab_set_l4_01,,,,,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_04,P7,,124,vocabulary,vocab_l4_008_er,二,二,èr,,vocab_set_l4_01,,,,vocab_set_l4_01,,,,,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_04,P12,,125,vocabulary,vocab_l4_009_liu,六,六,liù,,vocab_set_l4_02,,,,vocab_set_l4_02,,,,,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_04,P12,,126,vocabulary,vocab_l4_010_niu,牛,牛,niú,,vocab_set_l4_02,,,,vocab_set_l4_02,,,,,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_04,P12,,127,vocabulary,vocab_l4_011_jiu,九,九,jiǔ,,vocab_set_l4_02,,,,vocab_set_l4_02,,,,,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_04,P12,,128,vocabulary,vocab_l4_012_qiu,球,球,qiú,,vocab_set_l4_02,,,,vocab_set_l4_02,,,,,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_04,P12,,129,vocabulary,vocab_l4_013_dui,对,对,duì,,vocab_set_l4_02,,,,vocab_set_l4_02,,,,,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_04,P12,,130,vocabulary,vocab_l4_014_shui,睡,睡,shuì,,vocab_set_l4_02,,,,vocab_set_l4_02,,,,,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_04,P12,,131,vocabulary,vocab_l4_015_gui,贵,贵,guì,,vocab_set_l4_02,,,,vocab_set_l4_02,,,,,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_04,P12,,132,vocabulary,vocab_l4_016_jiejie,姐姐,姐姐,jiějie,,vocab_set_l4_02,,,,vocab_set_l4_02,,,,,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_04,P12,,133,vocabulary,vocab_l4_017_xie,写,写,xiě,,vocab_set_l4_02,,,,vocab_set_l4_02,,,,,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_04,P12,,134,vocabulary,vocab_l4_018_xiexie,谢谢,谢谢,xièxie,,vocab_set_l4_02,,,,vocab_set_l4_02,,,,,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_04,P15,,135,vocabulary,vocab_l4_019_juede,觉得,觉得,juéde,,vocab_set_l4_03,,,,vocab_set_l4_03,,,rule_l4_jqx_ue_umlaut,,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_04,P15,,136,vocabulary,vocab_l4_020_que,缺,缺,quē,,vocab_set_l4_03,,,,vocab_set_l4_03,,,rule_l4_jqx_ue_umlaut,,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_04,P15,,137,vocabulary,vocab_l4_021_xue,学,学,xué,,vocab_set_l4_03,,,,vocab_set_l4_03,,,rule_l4_jqx_ue_umlaut,,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_04,P6,,138,exercise,exercise_l4_p6_pinyin_group_1,含声调拼音练习,,,,exercise,,练习 21 声母 + ai/ao/ou/ei/er 的含声调拼读。,含声调拼音练习,,pinyin_chart_l4_group_1,,,,,true,true,false,true,false,
pinyin_lesson_04,P8,,139,exercise,exercise_l4_p8_vocab_1,词汇 1 练习,,,,exercise,,确认词汇 1 发音与字义理解。,词汇 1 练习,vocab_set_l4_01,,,,,,true,true,false,,false,
pinyin_lesson_04,P11,,140,exercise,exercise_l4_p11_pinyin_group_2,含声调拼音练习,,,,exercise,,练习 21 声母 + iu/ui/ie 的含声调拼读。,含声调拼音练习,,pinyin_chart_l4_group_2,,,,,true,true,false,true,false,
pinyin_lesson_04,P13,,141,exercise,exercise_l4_p13_vocab_2,词汇 2 练习,,,,exercise,,确认词汇 2 发音与字义理解。,词汇 2 练习,vocab_set_l4_02,,,,,,true,true,false,,false,
pinyin_lesson_04,P16,,142,exercise,exercise_l4_p16_vocab_3,词汇 3 练习,,,,exercise,,确认词汇 3 发音、字义与 üe 拼写变化。,词汇 3 练习,vocab_set_l4_03,,,rule_l4_jqx_ue_umlaut,,,true,true,false,,false,
pinyin_lesson_04,,P17-P18|P17-P19,143,exercise,exercise_l4_review,课后整合练习,,,,exercise,,用 2-3 个题型整合复习。,课后整合练习,,,,,,,true,true,false,,true,听音选拼音|看拼音朗读|字义配对|üe 拼写规则判断
