chinese_simplified,pinyin_variants,lesson_record_count,lessons,record_ids,textbook_pages,marked_in_any_lesson,part_of_speech,meaning_chinese_from_source,review_statuses,source_file_count
兄长,xiōngzhǎng,1,第7课 我的同事,V07-051,105,False,,,pending_review,1
充实,chōngshí,1,第2课 真正的朋友,V02-016,18,True,,,visually_confirmed,1
全能,quánnéng,1,第6课 挑战,V06-027,80,True,,,visually_confirmed,1
公约,gōngyuē,1,第4课 地球人的担忧,V04-069,56,False,,,pending_text_fidelity_review,1
公顷,gōngqǐng,1,第4课 地球人的担忧,V04-027,47,False,,,pending_text_fidelity_review,1
内心世界,nèixīn shìjiè,1,第6课 挑战,V06-048,88,False,,,visually_confirmed,1
再说,zàishuō,1,第3课 宜居之地,V03-045,40,False,,,pending_text_fidelity_review,1
写作,xiězuò,1,第7课 我的同事,V07-022,97,False,,,pending_review,1
决赛,juésài,1,第6课 挑战,V06-026,80,True,,,visually_confirmed,1
冷清,lěngqīng,1,第7课 我的同事,V07-031,104,False,,,pending_review,1
减缓,jiǎnhuǎn,1,第4课 地球人的担忧,V04-055,55,False,,,pending_text_fidelity_review,1
分清,fēnqīng,1,第8课 学汉语的苦恼,V08-007,111,False,,,pending_text_fidelity_review,1
利弊,lìbì,1,第4课 地球人的担忧,V04-046,55,False,,,pending_text_fidelity_review,1
利落,lìluo,1,第7课 我的同事,V07-032,104,False,,,pending_review,1
别墅,biéshù,1,第3课 宜居之地,V03-003,32,False,,,pending_text_fidelity_review,1
别扭,bièniu,1,第1课 中国人的姓名,V01-016,2,False,,,pending_review,1
剂量,jìliàng,1,第4课 地球人的担忧,V04-067,56,False,,,pending_text_fidelity_review,1
医疗,yīliáo,1,第3课 宜居之地,V03-043,40,False,,,pending_text_fidelity_review,1
十有八九,shíyǒubājiǔ,1,第5课 音乐的魅力,V05-038,71,False,,,visually_confirmed,1
午休,wǔxiū,1,第7课 我的同事,V07-048,105,False,,,pending_review,1
协会,xiéhuì,1,第2课 真正的朋友,V02-018,18,False,,,visually_confirmed,1
占用,zhànyòng,1,第3课 宜居之地,V03-005,32,False,,,pending_text_fidelity_review,1
即使,jíshǐ,1,第7课 我的同事,V07-003,96,False,,,pending_review,1
双重奏,shuāngchóngzòu,1,第5课 音乐的魅力,V05-049,72,True,,,visually_confirmed,1
反驳,fǎnbó,1,第7课 我的同事,V07-005,96,True,,,pending_review,1
发烧友,fāshāoyǒu,1,第5课 音乐的魅力,V05-045,72,False,,,visually_confirmed,1
发电,fādiàn,1,第4课 地球人的担忧,V04-056,55,False,,,pending_text_fidelity_review,1
发财,fācái,1,第7课 我的同事,V07-012,97,True,,,pending_review,1
发音,fāyīn,1,第1课 中国人的姓名,V01-014,2,False,,,pending_review,1
取代,qǔdài,1,第4课 地球人的担忧,V04-036,54,False,,,pending_text_fidelity_review,1
变化多端,biànhuà-duōduān,1,第8课 学汉语的苦恼,V08-010,111,False,,,pending_text_fidelity_review,1
古典,gǔdiǎn,1,第5课 音乐的魅力,V05-003,63,True,,,visually_confirmed,1
可惜,kěxī,1,第6课 挑战,V06-007,79,False,,,visually_confirmed,1
可遇不可求,kě yù bù kě qiú,1,第2课 真正的朋友,V02-005,17,True,,,visually_confirmed,1
吃苦,chīkǔ,1,第1课 中国人的姓名,V01-006,1,False,,,pending_review,1
合不拢（嘴）,hé bu lǒng (zuǐ),1,第3课 宜居之地,V03-029,40,False,,,pending_text_fidelity_review,1
同音,tóngyīn,1,第1课 中国人的姓名,V01-020,2,False,,,pending_review,1
向往,xiàngwǎng,1,第3课 宜居之地,V03-004,32,False,,,pending_text_fidelity_review,1
听话,tīnghuà,1,第7课 我的同事,V07-020,97,True,,,pending_review,1
和睦相处,hémù-xiāngchǔ,1,第2课 真正的朋友,V02-033,25,False,,,visually_confirmed,1
品学兼优,pǐnxué-jiānyōu,1,第2课 真正的朋友,V02-008,17,True,,,visually_confirmed,1
哄堂大笑,hōngtáng-dàxiào,1,第8课 学汉语的苦恼,V08-039,120,False,,,pending_text_fidelity_review,1
哭泣,kūqì,1,第4课 地球人的担忧,V04-033,47,False,,,pending_text_fidelity_review,1
哼,hēng,1,第6课 挑战,V06-042,88,False,,,visually_confirmed,1
唯恐,wéikǒng,1,第5课 音乐的魅力,V05-029,71,False,,,visually_confirmed,1
啼笑皆非,tíxiào-jiēfēi,1,第1课 中国人的姓名,V01-028,10,True,,,pending_review,1
喜出望外,xǐchūwàngwài,1,第2课 真正的朋友,V02-014,18,True,,,visually_confirmed,1
喧嚣,xuānxiāo,1,第3课 宜居之地,V03-002,32,True,,,pending_text_fidelity_review,1
嗜好,shìhào,1,第7课 我的同事,V07-013,97,True,,,pending_review,1
回想,huíxiǎng,1,第7课 我的同事,V07-036,104,False,,,pending_review,1
困惑不解,kùnhuò-bùjiě,1,第1课 中国人的姓名,V01-011,1,False,,,pending_review,1
圣火,shènghuǒ,1,第6课 挑战,V06-017,80,True,,,visually_confirmed,1
地步,dìbù,1,第7课 我的同事,V07-027,97,False,,,pending_review,1
场面,chǎngmiàn,1,第6课 挑战,V06-009,79,True,,,visually_confirmed,1
埋怨,mányuàn,1,第5课 音乐的魅力,V05-033,71,False,,,visually_confirmed,1
境界,jìngjiè,1,第2课 真正的朋友,V02-038,25,True,,,visually_confirmed,1
大势所趋,dàshì-suǒqū,1,第4课 地球人的担忧,V04-043,55,False,,,pending_text_fidelity_review,1
大多,dàduō,1,第2课 真正的朋友,V02-004,17,False,,,visually_confirmed,1
大开眼界,dàkāi-yǎnjiè,1,第4课 地球人的担忧,V04-013,47,False,,,pending_text_fidelity_review,1
大气,dàqì,1,第4课 地球人的担忧,V04-060,55,False,,,pending_text_fidelity_review,1
大自然,dàzìrán,1,第5课 音乐的魅力,V05-004,63,False,,,visually_confirmed,1
天文,tiānwén,1,第4课 地球人的担忧,V04-008,46,False,,,pending_text_fidelity_review,1
天生,tiānshēng,1,第6课 挑战,V06-045,88,False,,,visually_confirmed,1
天籁之音,tiānlài zhī yīn,1,第5课 音乐的魅力,V05-002,63,False,,,visually_confirmed,1
太极拳,tàijíquán,1,第7课 我的同事,V07-021,97,True,,,pending_review,1
太空,tàikōng,1,第4课 地球人的担忧,V04-031,47,False,,,pending_text_fidelity_review,1
头等大事,tóuděng dàshì,1,第1课 中国人的姓名,V01-015,2,False,,,pending_review,1
奇异,qíyì,1,第4课 地球人的担忧,V04-007,46,False,,,pending_text_fidelity_review,1
奇形怪状,qíxíng-guàizhuàng,1,第3课 宜居之地,V03-010,32,False,,,pending_text_fidelity_review,1
奥运会,Àoyùnhuì,1,第6课 挑战,V06-015,80,True,,,visually_confirmed,1
好奇,hàoqí,1,第1课 中国人的姓名,V01-023,10,True,,,pending_review,1
好笑,hǎoxiào,1,第8课 学汉语的苦恼,V08-035,120,False,,,pending_text_fidelity_review,1
威胁,wēixié,1,第4课 地球人的担忧,V04-002,46,False,,,pending_text_fidelity_review,1
婀娜多姿,ēnuó-duōzī,1,第6课 挑战,V06-039,88,False,,,visually_confirmed,1
字母,zìmǔ,1,第8课 学汉语的苦恼,V08-017,112,False,,,visually_confirmed,1
字纸篓,zìzhǐlǒu,1,第7课 我的同事,V07-043,105,False,,,pending_review,1
宁静,níngjìng,1,第3课 宜居之地,V03-013,33,True,,,pending_text_fidelity_review,1
宇宙,yǔzhòu,1,第4课 地球人的担忧,V04-030,47,False,,,pending_text_fidelity_review,1
宜居,yíjū,1,第3课 宜居之地,V03-001,32,False,,,pending_text_fidelity_review,1
家伙,jiāhuo,1,第7课 我的同事,V07-023,97,True,,,pending_review,1
宿,xiǔ,1,第6课 挑战,V06-025,80,False,,,visually_confirmed,1
密密麻麻,mìmìmámá,1,第8课 学汉语的苦恼,V08-038,120,False,,,pending_text_fidelity_review,1
尊称,zūnchēng,1,第1课 中国人的姓名,V01-030,10,False,,,pending_review,1
小子,xiǎozi,1,第1课 中国人的姓名,V01-019,2,False,,,pending_review,1
小曲儿,xiǎoqǔr,1,第7课 我的同事,V07-039,105,False,,,pending_review,1
小道儿消息,xiǎodàor xiāoxi,1,第7课 我的同事,V07-045,105,False,,,pending_review,1
少见,shǎojiàn,1,第1课 中国人的姓名,V01-029,10,False,,,pending_review,1
尸骨,shīgǔ,1,第4课 地球人的担忧,V04-032,47,False,,,pending_text_fidelity_review,1
居民,jūmín,1,第4课 地球人的担忧,V04-051,55,False,,,pending_text_fidelity_review,1
居然,jūrán,1,第1课 中国人的姓名,V01-022,10,True,,,pending_review,1
屈指可数,qūzhǐ-kěshǔ,1,第2课 真正的朋友,V02-028,25,False,,,visually_confirmed,1
展现,zhǎnxiàn,1,第6课 挑战,V06-031,88,True,,,visually_confirmed,1
崇拜,chóngbài,1,第6课 挑战,V06-008,79,True,,,visually_confirmed,1
幸运,xìngyùn,1,第6课 挑战,V06-002,79,False,,,visually_confirmed,1
幽默,yōumò,1,第2课 真正的朋友,V02-035,25,True,,,visually_confirmed,1
废纸,fèizhǐ,1,第7课 我的同事,V07-044,105,False,,,pending_review,1
度假村,dùjiàcūn,1,第3课 宜居之地,V03-023,33,False,,,pending_text_fidelity_review,1
开关,kāiguān,1,第7课 我的同事,V07-042,105,False,,,pending_review,1
开幕式,kāimùshì,1,第4课 地球人的担忧,V04-037,54,False,,,pending_text_fidelity_review,1
开阔,kāikuò,1,第4课 地球人的担忧,V04-009,46,False,,,pending_text_fidelity_review,1
张（嘴）,zhāng (zuǐ),1,第8课 学汉语的苦恼,V08-046,120,False,,,pending_text_fidelity_review,1
归,guī,1,第8课 学汉语的苦恼,V08-048,120,False,,,pending_text_fidelity_review,1
形,xíng,1,第8课 学汉语的苦恼,V08-023,112,False,,,pending_text_fidelity_review,1
形声字,xíngshēngzì,1,第8课 学汉语的苦恼,V08-006,111,False,,,pending_text_fidelity_review,1
彼此,bǐcǐ,1,第2课 真正的朋友,V02-023,25,False,,,visually_confirmed,1
往事,wǎngshì,1,第7课 我的同事,V07-050,105,False,,,pending_review,1
往日,wǎngrì,1,第7课 我的同事,V07-038,105,False,,,pending_review,1
待,dāi,1,第3课 宜居之地,V03-042,40,False,,,pending_text_fidelity_review,1
心不在焉,xīnbùzàiyān,1,第7课 我的同事,V07-030,104,False,,,pending_review,1
心惊胆战,xīnjīng-dǎnzhàn,1,第4课 地球人的担忧,V04-044,55,False,,,pending_text_fidelity_review,1
心旷神怡,xīnkuàng-shényí,1,第3课 宜居之地,V03-015,33,False,,,pending_text_fidelity_review,1
心潮澎湃,xīncháo-péngpài,1,第5课 音乐的魅力,V05-016,64,False,,,visually_confirmed,1
必将,bìjiāng,1,第4课 地球人的担忧,V04-071,56,False,,,pending_text_fidelity_review,1
怒吼,nùhǒu,1,第5课 音乐的魅力,V05-025,64,False,,,visually_confirmed,1
怨,yuàn,1,第1课 中国人的姓名,V01-007,1,False,,,pending_review,1
怪,guài,1,第3课 宜居之地,V03-030,40,False,,,pending_text_fidelity_review,1
总经理,zǒngjīnglǐ,1,第7课 我的同事,V07-046,105,False,,,pending_review,1
患难,huànnàn,1,第2课 真正的朋友,V02-027,25,False,,,visually_confirmed,1
悲伤,bēishāng,1,第5课 音乐的魅力,V05-013,64,True,,,visually_confirmed,1
情不自禁,qíngbùzìjīn,1,第6课 挑战,V06-041,88,False,,,visually_confirmed,1
惊讶,jīngyà,1,第1课 中国人的姓名,V01-004,1,True,,,pending_review,1
惦记,diànjì,1,第3课 宜居之地,V03-033,40,True,,,pending_text_fidelity_review,1
意志,yìzhì,1,第6课 挑战,V06-044,88,True,,,visually_confirmed,1
感叹,gǎntàn,1,第2课 真正的朋友,V02-003,17,False,,,visually_confirmed,1
愣,lèng,1,第1课 中国人的姓名,V01-003,1,True,,,pending_review,1
憋,biē,1,第8课 学汉语的苦恼,V08-047,120,False,,,pending_text_fidelity_review,1
憋闷,biēmen,1,第7课 我的同事,V07-033,104,False,,,pending_review,1
成本,chéngběn,1,第4课 地球人的担忧,V04-061,55,False,,,pending_text_fidelity_review,1
或许,huòxǔ,1,第6课 挑战,V06-049,88,False,,,visually_confirmed,1
打招呼,dǎ zhāohu,1,第5课 音乐的魅力,V05-048,72,True,,,visually_confirmed,1
打架,dǎjià,1,第8课 学汉语的苦恼,V08-018,112,False,,,pending_text_fidelity_review,1
打破,dǎpò,1,第6课 挑战,V06-011,79,False,,,visually_confirmed,1
打败,dǎbài,1,第8课 学汉语的苦恼,V08-033,120,False,,,pending_text_fidelity_review,1
抗争,kàngzhēng,1,第6课 挑战,V06-054,89,True,,,visually_confirmed,1
拙作,zhuōzuò,1,第7课 我的同事,V07-001,96,True,,,pending_review,1
拳击,quánjī,1,第6课 挑战,V06-023,80,True,,,visually_confirmed,1
挑战,tiǎozhàn,1,第4课 地球人的担忧,V04-023,47,False,,,pending_text_fidelity_review,1
挪窝儿,nuó wōr,1,第3课 宜居之地,V03-044,40,False,,,pending_text_fidelity_review,1
捆,kǔn,1,第8课 学汉语的苦恼,V08-020,112,False,,,pending_text_fidelity_review,1
排放,páifàng,1,第4课 地球人的担忧,V04-059,55,False,,,pending_text_fidelity_review,1
排练,páiliàn,1,第2课 真正的朋友,V02-009,17,False,,,visually_confirmed,1
揍,zòu,1,第8课 学汉语的苦恼,V08-019,112,False,,,pending_text_fidelity_review,1
提手旁,tíshǒupáng,1,第8课 学汉语的苦恼,V08-004,111,False,,,pending_text_fidelity_review,1
搭话,dā huà,1,第3课 宜居之地,V03-032,40,True,,,pending_text_fidelity_review,1
摆脱,bǎituō,1,第4课 地球人的担忧,V04-026,47,False,,,pending_text_fidelity_review,1
操心,cāoxīn,1,第1课 中国人的姓名,V01-027,10,True,,,pending_review,1
收藏,shōucáng,1,第5课 音乐的魅力,V05-036,71,False,,,visually_confirmed,1
教养,jiàoyǎng,1,第7课 我的同事,V07-015,97,True,,,pending_review,1
敢于,gǎnyú,1,第6课 挑战,V06-030,88,False,,,visually_confirmed,1
数不胜数,shǔbùshèngshǔ,1,第6课 挑战,V06-037,88,False,,,visually_confirmed,1
数以万计,shùyǐ-wànjì,1,第4课 地球人的担忧,V04-015,47,False,,,pending_text_fidelity_review,1
数据,shùjù,1,第4课 地球人的担忧,V04-065,56,False,,,pending_text_fidelity_review,1
断句,duànjù,1,第8课 学汉语的苦恼,V08-030,119,False,,,pending_text_fidelity_review,1
无可奉告,wúkěfènggào,1,第7课 我的同事,V07-008,96,False,,,pending_review,1
无法,wúfǎ,1,第8课 学汉语的苦恼,V08-027,112,False,,,pending_text_fidelity_review,1
无非,wúfēi,1,第2课 真正的朋友,V02-011,17,False,,,visually_confirmed,1
时时刻刻,shíshí-kèkè,1,第4课 地球人的担忧,V04-016,47,False,,,pending_text_fidelity_review,1
显示,xiǎnshì,1,第6课 挑战,V06-053,89,False,,,visually_confirmed,1
景象,jǐngxiàng,1,第3课 宜居之地,V03-016,33,False,,,pending_text_fidelity_review,1
晴朗,qínglǎng,1,第4课 地球人的担忧,V04-012,46,False,,,pending_text_fidelity_review,1
有过之而无不及,yǒuguò zhī ér wúbùjí,1,第5课 音乐的魅力,V05-037,71,False,,,visually_confirmed,1
期末,qīmò,1,第8课 学汉语的苦恼,V08-008,111,False,,,pending_text_fidelity_review,1
极,jí,1,第8课 学汉语的苦恼,V08-043,120,False,,,pending_text_fidelity_review,1
核,hé,1,第4课 地球人的担忧,V04-001,46,False,,,pending_text_fidelity_review,1
核弹头,hédàntóu,1,第4课 地球人的担忧,V04-021,47,False,,,pending_text_fidelity_review,1
核电站,hédiànzhàn,1,第4课 地球人的担忧,V04-034,54,False,,,pending_text_fidelity_review,1
核能,hénéng,1,第4课 地球人的担忧,V04-053,55,False,,,pending_text_fidelity_review,1
桥牌,qiáopái,1,第8课 学汉语的苦恼,V08-045,120,False,,,pending_text_fidelity_review,1
次数,cìshù,1,第6课 挑战,V06-047,88,False,,,visually_confirmed,1
欣赏,xīnshǎng,1,第3课 宜居之地,V03-019,33,True,,,pending_text_fidelity_review,1
欺负,qīfu,1,第7课 我的同事,V07-004,96,False,,,pending_review,1
残疾,cánjí,1,第6课 挑战,V06-029,88,True,,,visually_confirmed,1
毁灭,huǐmiè,1,第4课 地球人的担忧,V04-022,47,False,,,pending_text_fidelity_review,1
比方说,bǐfāngshuō,1,第8课 学汉语的苦恼,V08-016,112,False,,,pending_text_fidelity_review,1
毫无,háowú,1,第8课 学汉语的苦恼,V08-029,112,False,,,pending_text_fidelity_review,1
毫无疑问,háowú-yíwèn,1,第2课 真正的朋友,V02-039,26,False,,,visually_confirmed,1
永恒,yǒnghéng,1,第5课 音乐的魅力,V05-022,64,True,,,visually_confirmed,1
沙滩,shātān,1,第3课 宜居之地,V03-024,33,True,,,pending_text_fidelity_review,1
沙漠,shāmò,1,第4课 地球人的担忧,V04-028,47,False,,,pending_text_fidelity_review,1
泄漏,xièlòu,1,第4课 地球人的担忧,V04-038,55,False,,,pending_text_fidelity_review,1
法规,fǎguī,1,第4课 地球人的担忧,V04-047,55,False,,,pending_text_fidelity_review,1
泡,pào,1,第5课 音乐的魅力,V05-030,71,False,,,visually_confirmed,1
活力,huólì,1,第5课 音乐的魅力,V05-014,64,True,,,visually_confirmed,1
流行,liúxíng,1,第4课 地球人的担忧,V04-003,46,False,,,pending_text_fidelity_review,1
海啸,hǎixiào,1,第4课 地球人的担忧,V04-070,56,False,,,pending_text_fidelity_review,1
海市蜃楼,hǎishì-shènlóu,1,第4课 地球人的担忧,V04-014,47,False,,,pending_text_fidelity_review,1
海滨,hǎibīn,1,第5课 音乐的魅力,V05-019,64,True,,,visually_confirmed,1
海鸥,hǎi'ōu,1,第5课 音乐的魅力,V05-026,64,True,,,visually_confirmed,1
液体,yètǐ,1,第8课 学汉语的苦恼,V08-022,112,False,,,pending_text_fidelity_review,1
清新,qīngxīn,1,第3课 宜居之地,V03-008,32,False,,,pending_text_fidelity_review,1
清洁,qīngjié,1,第4课 地球人的担忧,V04-048,55,False,,,pending_text_fidelity_review,1
清纯,qīngchún,1,第6课 挑战,V06-050,88,False,,,visually_confirmed,1
温和,wēnhé,1,第5课 音乐的魅力,V05-009,63,True,,,visually_confirmed,1
游戏,yóuxì,1,第1课 中国人的姓名,V01-021,2,False,,,pending_review,1
溪流,xīliú,1,第5课 音乐的魅力,V05-023,64,True,,,visually_confirmed,1
演奏,yǎnzòu,1,第5课 音乐的魅力,V05-011,63,True,,,visually_confirmed,1
潇洒,xiāosǎ,1,第6课 挑战,V06-003,79,True,,,visually_confirmed,1
潮水,cháoshuǐ,1,第5课 音乐的魅力,V05-024,64,False,,,visually_confirmed,1
灵魂,línghún,1,第6课 挑战,V06-020,80,True,,,visually_confirmed,1
灾难,zāinàn,1,第4课 地球人的担忧,V04-018,47,False,,,pending_text_fidelity_review,1
烦恼,fánnǎo,1,第5课 音乐的魅力,V05-020,64,False,,,visually_confirmed,1
热血沸腾,rèxuè-fèiténg,1,第5课 音乐的魅力,V05-015,64,False,,,visually_confirmed,1
热衷,rèzhōng,1,第5课 音乐的魅力,V05-032,71,False,,,visually_confirmed,1
煤炭,méitàn,1,第4课 地球人的担忧,V04-058,55,False,,,pending_text_fidelity_review,1
燃烧,ránshāo,1,第6课 挑战,V06-018,80,True,,,visually_confirmed,1
现场,xiànchǎng,1,第5课 音乐的魅力,V05-005,63,True,,,visually_confirmed,1
理直气壮,lǐzhí-qìzhuàng,1,第7课 我的同事,V07-010,96,True,,,pending_review,1
琢磨,zuómo,1,第1课 中国人的姓名,V01-008,1,False,,,pending_review,1
琴,qín,1,第2课 真正的朋友,V02-021,18,False,,,visually_confirmed,1
甚至,shènzhì,1,第8课 学汉语的苦恼,V08-037,120,False,,,pending_text_fidelity_review,1
田径,tiánjìng,1,第6课 挑战,V06-024,80,True,,,visually_confirmed,1
田野,tiányě,1,第3课 宜居之地,V03-014,33,True,,,pending_text_fidelity_review,1
电源,diànyuán,1,第7课 我的同事,V07-041,105,False,,,pending_review,1
电脑,diànnǎo,1,第7课 我的同事,V07-024,97,False,,,pending_review,1
疑神疑鬼,yíshén-yíguǐ,1,第2课 真正的朋友,V02-030,25,False,,,visually_confirmed,1
百看不厌,bǎikàn-bùyàn,1,第6课 挑战,V06-038,88,False,,,visually_confirmed,1
相近,xiāngjìn,1,第8课 学汉语的苦恼,V08-024,112,False,,,pending_text_fidelity_review,1
着想,zhuóxiǎng,1,第2课 真正的朋友,V02-025,25,False,,,visually_confirmed,1
知己,zhījǐ,1,第2课 真正的朋友,V02-002,17,False,,,visually_confirmed,1
知音,zhīyīn,1,第2课 真正的朋友,V02-001,17,False,,,visually_confirmed,1
石油,shíyóu,1,第4课 地球人的担忧,V04-057,55,False,,,pending_text_fidelity_review,1
礁石,jiāoshí,1,第3课 宜居之地,V03-026,33,True,,,pending_text_fidelity_review,1
祈祷,qídǎo,1,第6课 挑战,V06-021,80,True,,,visually_confirmed,1
祖先,zǔxiān,1,第4课 地球人的担忧,V04-024,47,False,,,pending_text_fidelity_review,1
祖宗,zǔzōng,1,第1课 中国人的姓名,V01-025,10,False,,,pending_review,1
神情专注,shénqíng-zhuānzhù,1,第5课 音乐的魅力,V05-044,71,False,,,visually_confirmed,1
秘书,mìshū,1,第7课 我的同事,V07-047,105,False,,,pending_review,1
称呼,chēnghu,1,第1课 中国人的姓名,V01-031,10,False,,,pending_review,1
空格,kònggé,1,第8课 学汉语的苦恼,V08-042,120,False,,,pending_text_fidelity_review,1
窍门儿,qiàoménr,1,第8课 学汉语的苦恼,V08-002,111,False,,,pending_text_fidelity_review,1
简体字,jiǎntǐzì,1,第8课 学汉语的苦恼,V08-026,112,False,,,pending_text_fidelity_review,1
简化,jiǎnhuà,1,第8课 学汉语的苦恼,V08-015,112,False,,,pending_text_fidelity_review,1
算得上,suàndeshàng,1,第2课 真正的朋友,V02-006,17,False,,,visually_confirmed,1
类似,lèisì,1,第8课 学汉语的苦恼,V08-036,120,False,,,pending_text_fidelity_review,1
粉丝,fěnsī,1,第6课 挑战,V06-013,80,False,,,visually_confirmed,1
糟,zāo,1,第1课 中国人的姓名,V01-017,2,True,,,pending_review,1
