record_id,lesson_id,lesson_number,lesson_title,sequence,text_type,title,textbook_page,textbook_page_range,source_pdf_page,source_pdf_page_range,section_id,section_label,text,audio_asset_ids,glossary_count,review_status,text_fidelity_status,uncertainty,extraction_method,source_file
T03-004,boya-intermediate-i-lesson-03,3,宜居之地,4,reading,我为什么选择住在农村而不住在城市？,"[44,45]",44–45,,,S03-015-02,阅读短文，回答问题,我为什么选择住在农村而不住在城市？\n理由之一：农村的空气比城市新鲜。在城市，特别是北方的一些大城市，汽车尾气污染严重，时常有雾霾天气。看着那雾蒙蒙的天，我就恨不得立刻逃出城市。\n理由之二：居住问题容易解决。城市里寸土寸金，买一处住房动辄要几百万，要是生活在农村，几十万甚至十几万就能盖上一座两层的小楼，全家人都住进去也没问题。\n理由之三：农村生活质量高。且不说物价水平比城市低很多，那些自己种植的无污染的水果蔬菜吃起来也绝对放心。\n理由之四：投资门槛儿低，比如承包山林、果园、鱼塘等，能够以较低的投资风险换来较高的回报。\n理由之五：在农村，人与人之间的交往远比城市里更有亲切感，而在城市里，对门住的是谁可能都不知道。\n理由之六：在农村生活，空气新鲜，生活简单，会更长寿。,,0,pending_text_fidelity_review,,,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-03.json
T04-001,boya-intermediate-i-lesson-04,4,地球人的担忧,1,content_prompt,人类未来的生活,50,,,,S04-005,语段理解,人类未来的生活究竟会是什么样？我们的祖先给我们留下来的是财富还是灾难？科学技术的现代化给我们带来的都是幸福吗？我们来听听下面的小辩论。,,0,visually_confirmed,,,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-04.json
T04-002,boya-intermediate-i-lesson-04,4,地球人的担忧,2,reading,汽车,"[52,53]",52–53,,,S04-007,文化知识,"世界上第一辆汽车是1886年制造出来的。100多年来，汽车从少数有钱人才买得起的奢侈品变成人民大众都买得起的普通交通工具，成为人们生活中不可缺少的一部分。

汽车普及促进了人类社会经济的发展，改变了人类的生产和生活方式。目前，全世界汽车已经超过8亿辆，几乎每10个人就拥有1辆汽车，而且还在以每年3000万辆的速度递增。

汽车给人类生活带来方便的同时，也在消耗地球的资源。除了用于汽车制造的各种金属、玻璃等材料以外，汽车每年消耗的燃料数量也十分惊人。

汽车还是造成大气污染的主要污染源。汽车排放的尾气会严重影响人类健康，给人们带来多种疾病。目前，很多国家都在开发环保汽车，节能、无污染汽车什么时候能够生产出来，人们拭目以待。",,0,pending_text_fidelity_review,,,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-04.json
T04-003,boya-intermediate-i-lesson-04,4,地球人的担忧,3,content_prompt,修建核电站的利弊,58,,,,S04-013,语段理解,修建核电站的利弊。听说要在附近修建一座核电站，弄得人心惶惶，附近居民请教专家，了解修建核电站的利弊。,,0,visually_confirmed,,,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-04.json
T04-004,boya-intermediate-i-lesson-04,4,地球人的担忧,4,reading,疯牛病,61,,,,S04-015,文化知识,"1986年10月，在英国东南部的一个小镇上，出现了一头奇怪的病牛。经过兽医诊断，这头牛得的是疯牛病。疯牛病的直接起因是饲料，养牛的人为了让牛快一点儿长大和产奶，在饲料中添加了动物内脏等，而当牛吃了带有疯牛病病毒的饲料，就会被感染。

之后的几年，疯牛病很快就传到了英国其他地方。后来人们发现，人吃了患有疯牛病的牛肉以后，也会得和疯牛病有相同症状的病，又叫“人疯牛病”，严重的会损害人的大脑而使人死亡。

英国的养牛业在世界是很有名的，英国人曾经以他们的养牛业和牛肉为自豪。但是疯牛病的传播使英国无法向其他国家出口活牛、牛肉和牛肉制品，给英国的养牛业带来了重大的损失。",,0,pending_text_fidelity_review,,,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-04.json
T05-001,boya-intermediate-i-lesson-05,5,音乐的魅力,1,content_prompt,听说（一）语段理解内容提示,67,,,,S05-005-01,内容提示,张先生和他太太都是西方古典音乐迷，他喜欢听交响乐，而且喜欢到现场去听，而他的太太则喜欢轻缓温和的轻音乐。和张先生不同的是，李先生一家喜欢在周末时候到人烟稀少的地方，去倾听大自然的声音。我们来听听他们之间的对话。,,0,visually_confirmed,,,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-05.json
T05-002,boya-intermediate-i-lesson-05,5,音乐的魅力,2,content_prompt,听说（二）语段理解内容提示,74,,,,S05-013-01,内容提示,两位夫人谈起自己爱好音乐的老公，表面上是在埋怨他们热衷于音乐而不顾家，实际上话里话外都是对老公的赞美。让我们听听她们是怎么评价自己老公的。,,0,visually_confirmed,,,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-05.json
T05-003,boya-intermediate-i-lesson-05,5,音乐的魅力,3,printed_reading,室内乐,"[69,70]",69–70,"[80,81]",80–81,S05-007-02,阅读短文，回答问题,"室内乐是一种小型器乐合奏形式，本来是指在比较小的场所，由少数人演奏或演唱，为少数听众演出的“家庭式”音乐。现在指用一件或几件乐器演奏的小型器乐曲，主要指重奏曲和小型器乐合奏曲，区别于大型管弦乐。
最初，室内乐是和演唱及演奏形式正规、声音洪大的宗教音乐相对而言的，到后来则是区别于交响乐、歌剧、舞剧音乐的。大约到18世纪时，室内乐的概念多和家庭生活中娱乐性的音乐有关。后来，音乐家们进一步发展和充实了室内乐的形式和内容，更加注重情感的抒发。在近现代各种流派的音乐中，室内乐是作曲家们喜用的形式之一，主要是因为各种探索性、实验性的作曲技术，通过室内乐能够更方便地被演奏和介绍给听众。",,7,pending_review,,,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-05.json
T05-004,boya-intermediate-i-lesson-05,5,音乐的魅力,4,printed_reading,贝多芬,"[76,77]",76–77,"[87,88]",87–88,S05-015-02,阅读短文，回答问题,"贝多芬（1770—1827）是德国作曲家，是世界艺术史上最伟大的音乐家，他对世界音乐的发展有着举足轻重的作用，被世人尊称为“乐圣”。
贝多芬出生在一个音乐世家。他自幼便已显露出音乐天分，十二岁时，他已经能够自如地演奏。他先后师从于几位著名音乐家，并接触到许多著名教授、作家。三十岁时，他创作了第一部交响曲。1802年至1812年，他的创作进入了成熟时期，这段时间成为他的“英雄年代”。
贝多芬在晚年失聪的情况下，仍然坚持创作，凭着他对艺术与生活的热爱，克服重重困难，创作了新的交响曲。
贝多芬的作品，如交响曲《命运》《田园》《合唱》、钢琴奏鸣曲《月光》《悲怆》等，都是摆脱古典主义、展现自由、热情奔放的美丽乐章。",,7,pending_review,,,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-05.json
T06-001,boya-intermediate-i-lesson-06,6,挑战,1,content_prompt,奥运会比赛,83,,94,,S06-005-01,内容提示,两个体育迷谈起奥运会比赛，谈到了自己崇拜的偶像，也谈到了参加体育比赛的经历，让我们听听他们都谈了些什么吧。,,0,visually_confirmed,pending_review,,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-06.json
T06-002,boya-intermediate-i-lesson-06,6,挑战,2,reading,奥林匹克运动会,86,,97,,S06-007-02,阅读短文，回答问题,"奥林匹克运动会，简称“奥运会”，是一个由国际奥林匹克委员会主办的国际性综合运动会，包括夏季奥林匹克运动会和冬季奥林匹克运动会，后来又增加了青少年奥林匹克运动会、残疾人奥林匹克运动会等。奥运会每四年举办一次（曾在两次世界大战期间中断三次，分别为1916年、1940年和1944年），每届会期不超过16天。

1894年在巴黎召开的国际体育会议，根据法国人顾拜旦的倡议，成立了国际奥林匹克委员会，并决定恢复在古代一度很流行的奥运会。现代第一届奥运会于1896年在希腊雅典举行，此后在世界各地轮流举行。1924年又增设了冬季奥林匹克运动会。

《奥林匹克宪章》指出：每一个人都应享有从事体育运动的可能性，而不受任何形式的歧视，并体现相互理解、友谊、团结和公平竞争的奥林匹克精神。这对奥林匹克运动具有十分重要的指导作用。

著名的奥林匹克运动格言“更快、更高、更强”，充分表达了奥林匹克运动不断进取、永不满足的奋斗精神。",,0,pending_review,pending_review,,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-06.json
T06-003,boya-intermediate-i-lesson-06,6,挑战,3,content_prompt,千手观音,91,,102,,S06-013-01,内容提示,看过中国残疾人艺术团表演的舞蹈《千手观音》的人，都会留下很深的印象。这不仅是因为她们的舞蹈精彩，更是因为从她们身上能看到敢于向命运挑战的精神。,,0,visually_confirmed,pending_review,,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-06.json
T06-004,boya-intermediate-i-lesson-06,6,挑战,4,reading,观音菩萨与千手观音,"[94,95]",94–95,"[105,106]",105–106,S06-015-02,阅读短文，回答问题,"观音菩萨，又叫观世音菩萨，字面解释就是“观察（世间民众）声音”的菩萨。他的样子端庄慈祥，具有广大的智慧和神通。当人们遇到灾难时，只要念一声“观音菩萨”，他就会马上赶来救助，所以被人们称作观世音。

观音菩萨的形象，本来是男性，后来为了突出他的大慈大悲，逐渐女性化了。

佛教认为，民众的苦难和烦恼是多种多样的，而他们的需求和愿望也各不相同，因此，需要用不同的智慧和方法去救助不同的人，于是，千手观音的形象就诞生了。

千手观音，又称千手千眼观音。之所以有千手千眼，是因为观音要遍观人世间，寻找各种需要救助的人，然后去帮助他们。

唐朝以后，中国许多佛教寺庙将千手千眼观音供奉起来。有的以若干只手象征千手，有的的确有一千只手，每只手心各有一只眼睛。最有名的千手观音雕像在中国重庆的大足区，共有1007只手。

2004年，在希腊雅典的残疾人奥运会闭幕式上，中国残疾人艺术团表演了舞蹈《千手观音》，引起了轰动。",,0,pending_review,pending_review,,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-06.json
T07-001,boya-intermediate-i-lesson-07,7,我的同事,1,content_prompt,张王李赵遍地流（刘）,100,,,,S07-09,语段理解／内容提示,中国有一句话：“张王李赵遍地流（刘）。”意思是说，在中国姓张、王、李、赵、刘的人很多。可是在一个办公室里的四个人都姓张，这也是不多见的。听听张丽是怎么介绍她的几位同事的。,,0,pending_review,,,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-07.json
T07-002,boya-intermediate-i-lesson-07,7,我的同事,2,reading,谦辞,102,102–103,,,S07-14,文化知识／阅读短文,谦辞是表示谦虚的言辞，常用于人们日常交际和书信往来中，和敬辞相对使用，大都只能用于自称。在古代汉语中，用于谦称自己或和自己有关的事物的常用词语有“愚”“敝”“鄙”“拙”“小”等，如“愚见”“敝姓”“鄙人”“拙作”“小女”等。用于谦称自己的亲属词语有“家”“舍”“犬”等，如“家父”“舍弟”“犬子”等。在汉语的成语当中，也多有谦辞，如“才疏学浅”“一孔之见”“望尘莫及”“抛砖引玉”等，都用来指自己，有自谦之意。在现代礼貌用语中，仍保留许多谦辞，比如，当别人夸奖自己时，回答“过奖了”表示自谦；当别人说“你是最好的……”时，回答“不敢当”；当别人肯定你在某方面做得不错时，回答“哪里哪里”“不行不行”“还差得远呢”等诸如此类的话；而当某人将自己的作品让他人过目时，一般也要谦虚几句，如“见笑、见笑”“献丑了”等。,,0,pending_review,,,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-07.json
T07-003,boya-intermediate-i-lesson-07,7,我的同事,3,content_prompt,老好人,107,,,,S07-27,语段理解／内容提示,你的身边有被称作“老好人”的人吗？这种人看上去并不是什么成功人士，只是普通人，生活中有他不多，没他不少。可是有一天如果他真的不在你身边了，你又会觉得他才是你生活中离不开的人。,,0,pending_review,,,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-07.json
T07-004,boya-intermediate-i-lesson-07,7,我的同事,4,reading,敬辞,109,109–110,,,S07-32,文化知识／阅读短文,汉语中的敬辞是与人交往时的一种礼貌语言，对对方表示尊重。使用敬辞，可以体现人的文化修养。在古代汉语中，用于尊称对方、对方的亲属或和对方有关的事物的常用词语有“贵”“尊”“大”“令”“玉”“高”等，如“贵姓”“尊姓大名”“大驾光临”“令爱”“玉照”“高足”等；用于对方对待自己的行为动作的词语有“惠”“垂”“雅”等，如“惠存”“垂询”“雅正”等；用于自己的行为动作涉及对方词语有“拜”“奉”“恭”“敬”等，如“拜读”“奉送”“恭贺”“敬候”等。在现代礼貌用语中，仍保留许多敬辞，比如“拜托您了”“您在哪儿高就”“您贵姓”“欢迎惠顾”等。至于尊称有身份的人为“阁下”，把对方的女儿尊称为“千金”，用得就更多了。,,0,pending_review,,第110页读后问题第3题印刷为“谦辞”，与本篇“敬辞”主题不一致，保留原题并待教师核对。,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-07.json
T08-001,boya-intermediate-i-lesson-08,8,学汉语的苦恼,1,content_prompt,玛丽和安娜谈学汉字,114,,,,S08-005,语段理解,玛丽和安娜谈起了期末考试，安娜对写不好汉字感到很苦恼。玛丽告诉安娜认识汉字的一些方法，让安娜有了学好汉字的信心。让我们听听玛丽是怎么说的。,,0,visually_confirmed,,,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-08.json
T08-002,boya-intermediate-i-lesson-08,8,学汉语的苦恼,2,reading,禁忌语,"[117,118]",117–118,,,S08-007,文化知识,"在语言交际中，出于某种原因，有一些词语是人们不能、不敢或不愿说出来，如果说出来，有可能使人产生不好的联想，引起听话人不愉快或反感，这就是语言学上所说的禁忌语。在人际交往中，了解某一国家、某一民族的禁忌，尽量不说让人反感的禁忌语，是十分必要。

在中国，当大家喜气洋洋地过年的时候，最忌讳说“死”“鬼”“杀”“病”等不吉利的话，人们认为新年的第一天说出这些字眼儿，会使这一年生活变得不吉利。

同样地，当有人去世的时候，当着家属面，也不能直言“死”这个字。必须要说的时候，可以用其他词语替代，比如“老了”“走了”“过去了”。一些与死人有关的事物，也要有其他提法，如“太平间（停放尸体的房间）”“寿衣（给死人穿的衣服）”等。

不同行业会有各自的禁忌语，比如在船上生活的人，怕说“沉”“翻”等字眼以及相关的谐音字。此外，不礼貌的语言也被当作一种禁忌语，如直呼长辈的名字，在交往中使用不礼貌的称呼等。",,0,pending_text_fidelity_review,,,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-08.json
T08-003,boya-intermediate-i-lesson-08,8,学汉语的苦恼,3,content_prompt,断句,123,,,,S08-013,语段理解,读文章的时候，如何断句是十分重要的。断句断错了，可能会让听者误会，甚至会闹笑话。玛丽和安娜就有过这样的体会。,,0,visually_confirmed,,,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-08.json
T08-004,boya-intermediate-i-lesson-08,8,学汉语的苦恼,4,reading,委婉语,"[125,126]",125–126,,,S08-015,文化知识,"委婉语与禁忌语是紧密相关的。最初委婉语是因禁忌回避的需要而产生。很多情况下，在人际交往中，为了不触犯禁忌，采用一些委婉说法。前面我们谈到关于“死”的替代说法就是一例。

委婉语多用于人们谈论生理行为、生理现象等。谈及人排泄行为，多用委婉语。比如“我去一下洗手间”“我去方便一下”“休息十分钟，大家解解手”等。

关于相貌及身体缺陷，为避免刺激他人，在人际交往中也形成了一些委婉说法。如用“富态”“发福”代替“胖”，对残疾人也多用“腿脚不方便”“眼睛不好使”等。

在委婉语中，有的只是这个词语多个义项中一个，比如“走了”也只有在特定语境中才有“去世”的义项。",,0,pending_text_fidelity_review,,,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-08.json
