lesson_id,page_range,page_range_options,sequence,record_type,item_id,title,hanzi,pinyin,symbol,category,final_group,content_focus,exercise_type,source_set_id,source_chart_id,related_rule_id,script_note,pronunciation_first,meaning_focus,requires_hanzi_recognition,includes_tones,is_page_range_flexible,notes
pinyin_lesson_06,P9,,111,final,final_uan_umlaut,韵母 üan,,,üan,final,u_umlaut_start_rule_based,韵母 üan。,,,,rule_l6_jqx_uan_umlaut,,true,false,false,,,chart_page=P10; rule_page=P14
pinyin_lesson_06,P5,,112,pinyin_chart,pinyin_chart_l6_group_1,全部声母 + ia iao ian iang iong,,,,pinyin_chart,,initials=b|p|m|f|d|t|n|l|g|k|h|j|q|x|zh|ch|sh|r|z|c|s; finals=ia|iao|ian|iang|iong,,,pinyin_chart_l6_group_1,,,true,false,false,false,,
pinyin_lesson_06,P10,,113,pinyin_chart,pinyin_chart_l6_group_2,全部声母 + ua uo uai uan uang üan,,,,pinyin_chart,,initials=b|p|m|f|d|t|n|l|g|k|h|j|q|x|zh|ch|sh|r|z|c|s; finals=ua|uo|uai|uan|uang|üan,,,pinyin_chart_l6_group_2,rule_l6_jqx_uan_umlaut,,true,false,false,false,,
pinyin_lesson_06,P14,,114,spelling_rule,rule_l6_jqx_uan_umlaut,j/q/x + üan 拼写变化,,,,spelling_rule,,j/q/x 后接 üan 时，拼写省略 ü 上两点，但发音仍与 üan 有关。,,,,rule_l6_jqx_uan_umlaut,,true,false,false,,,
pinyin_lesson_06,P14,,115,spelling_rule_mapping,rule_l6_jqx_uan_umlaut_jüan_to_juan,jüan→juan,,,juan,spelling_rule_mapping,,jüan is written as juan.,,,,rule_l6_jqx_uan_umlaut,,true,false,false,,,
pinyin_lesson_06,P14,,116,spelling_rule_mapping,rule_l6_jqx_uan_umlaut_qüan_to_quan,qüan→quan,,,quan,spelling_rule_mapping,,qüan is written as quan.,,,,rule_l6_jqx_uan_umlaut,,true,false,false,,,
pinyin_lesson_06,P14,,117,spelling_rule_mapping,rule_l6_jqx_uan_umlaut_xüan_to_xuan,xüan→xuan,,,xuan,spelling_rule_mapping,,xüan is written as xuan.,,,,rule_l6_jqx_uan_umlaut,,true,false,false,,,
pinyin_lesson_06,P7,,118,vocabulary,vocab_l6_001_jia,家,家,jiā,,vocab_set_l6_01,,,,vocab_set_l6_01,,,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_06,P7,,119,vocabulary,vocab_l6_002_xia,下,下,xià,,vocab_set_l6_01,,,,vocab_set_l6_01,,,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_06,P7,,120,vocabulary,vocab_l6_003_jiao,脚,脚,jiǎo,,vocab_set_l6_01,,,,vocab_set_l6_01,,,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_06,P7,,121,vocabulary,vocab_l6_004_xiao,小,小,xiǎo,,vocab_set_l6_01,,,,vocab_set_l6_01,,,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_06,P7,,122,vocabulary,vocab_l6_005_dian,电,电,diàn,,vocab_set_l6_01,,,,vocab_set_l6_01,,,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_06,P7,,123,vocabulary,vocab_l6_006_qian,钱,钱,qián,,vocab_set_l6_01,,,,vocab_set_l6_01,,,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_06,P7,,124,vocabulary,vocab_l6_007_xiang,香,香,xiāng,,vocab_set_l6_01,,,,vocab_set_l6_01,,,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_06,P7,,125,vocabulary,vocab_l6_008_qiong,穷,穷,qióng,,vocab_set_l6_01,,,,vocab_set_l6_01,,,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_06,P12,,126,vocabulary,vocab_l6_009_hua,花,花,huā,,vocab_set_l6_02,,,,vocab_set_l6_02,,,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_06,P12,,127,vocabulary,vocab_l6_010_huanggua,黄瓜,黄瓜,huángguā,,vocab_set_l6_02,,,,vocab_set_l6_02,,,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_06,P12,,128,vocabulary,vocab_l6_011_duo,多,多,duō,,vocab_set_l6_02,,,,vocab_set_l6_02,,,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_06,P12,,129,vocabulary,vocab_l6_012_shuo,说,说,shuō,,vocab_set_l6_02,,,,vocab_set_l6_02,,,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_06,P12,,130,vocabulary,vocab_l6_013_huai,坏,坏,huài,,vocab_set_l6_02,,,,vocab_set_l6_02,,,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_06,P12,,131,vocabulary,vocab_l6_014_kuai,快,快,kuài,,vocab_set_l6_02,,,,vocab_set_l6_02,,,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_06,P12,,132,vocabulary,vocab_l6_015_chuan,船,船,chuán,,vocab_set_l6_02,,,,vocab_set_l6_02,,,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_06,P12,,133,vocabulary,vocab_l6_016_chuang,床,床,chuáng,,vocab_set_l6_02,,,,vocab_set_l6_02,,,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_06,P15,,134,vocabulary,vocab_l6_017_chunjuan,春卷,春卷,chūnjuǎn,,vocab_set_l6_03,,,,vocab_set_l6_03,,rule_l6_jqx_uan_umlaut,user_input_form,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_06,P15,,135,vocabulary,vocab_l6_018_anquan,安全,安全,ānquán,,vocab_set_l6_03,,,,vocab_set_l6_03,,rule_l6_jqx_uan_umlaut,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_06,P15,,136,vocabulary,vocab_l6_019_xuan,选,选,xuǎn,,vocab_set_l6_03,,,,vocab_set_l6_03,,rule_l6_jqx_uan_umlaut,,true,true,false,true,,发音正确，学习字义，不要求认字。
pinyin_lesson_06,P6,,137,exercise,exercise_l6_p6_pinyin_group_1,含声调拼音练习,,,,exercise,,练习 21 声母 + ia/iao/ian/iang/iong 的含声调拼读。,含声调拼音练习,,pinyin_chart_l6_group_1,,,true,true,false,true,false,
pinyin_lesson_06,P8,,138,exercise,exercise_l6_p8_vocab_1,词汇 1 练习,,,,exercise,,确认词汇 1 发音与字义理解。,词汇 1 练习,vocab_set_l6_01,,,,true,true,false,,false,
pinyin_lesson_06,P11,,139,exercise,exercise_l6_p11_pinyin_group_2,含声调拼音练习,,,,exercise,,练习 21 声母 + ua/uo/uai/uan/uang/üan 的含声调拼读。,含声调拼音练习,,pinyin_chart_l6_group_2,,,true,true,false,true,false,
pinyin_lesson_06,P13,,140,exercise,exercise_l6_p13_vocab_2,词汇 2 练习,,,,exercise,,确认词汇 2 发音与字义理解。,词汇 2 练习,vocab_set_l6_02,,,,true,true,false,,false,
pinyin_lesson_06,P16,,141,exercise,exercise_l6_p16_vocab_3,词汇 3 练习,,,,exercise,,确认词汇 3 发音、字义与 üan 拼写变化。,词汇 3 练习,vocab_set_l6_03,,rule_l6_jqx_uan_umlaut,,true,true,false,,false,
pinyin_lesson_06,,P17-P18|P17-P19,142,exercise,exercise_l6_review,课后整合练习,,,,exercise,,用 2-3 个题型整合复习。,课后整合练习,,,,,true,true,false,,true,听音选拼音|看拼音朗读|字义配对|üan 拼写规则判断
