record_id,source_page,source_pdf_page,source_page_range,source_pdf_page_range,section,record_type,title_vi,title_zh,chinese_simplified,pinyin,vietnamese,english,raw_source_text,teaching_order,classroom_visibility,image_role,image_prompt,image_file,image_reuse_from,image_status,image_semantic_check
V010,38,56,38,56,Từ vựng,vocabulary,,,茶,chá,trà,tea,茶 (名) chá (trà) tea trà,10,student_visible,vocabulary_image,"Soft educational textbook illustration for a Chinese classroom slide, 16:9 landscape, thin grey-blue hand-drawn outlines, muted pastel fills, pale clean background, gentle low-contrast shadows, no text, no letters, no numbers, no Chinese characters, no labels, no watermark. Show: a warm cup of tea with gentle steam beside a small teapot and a few tea leaves.",assets/vocab-images/vocab-v010-cha.png,,ready_for_visual_qa,"Verify image clearly matches 茶 / trà and contains no text, labels, numbers, or Chinese characters."
V011,38,56,38,56,Từ vựng,vocabulary,,,谢谢,xièxie,cảm ơn,thank you,谢谢 xièxie (tạ tạ) to thank cảm ơn,11,student_visible,vocabulary_image,"Soft educational textbook illustration for a Chinese classroom slide, 16:9 landscape, thin grey-blue hand-drawn outlines, muted pastel fills, pale clean background, gentle low-contrast shadows, no text, no letters, no numbers, no Chinese characters, no labels, no watermark. Show: one person receiving a small cup or book from another and smiling gratefully with hands gently held near the chest.",assets/vocab-images/vocab-v011-xiexie.png,,ready_for_visual_qa,"Verify image clearly matches 谢谢 / cảm ơn and contains no text, labels, numbers, or Chinese characters."
V012,38,56,38,56,Từ vựng,vocabulary,,,客气,kèqi,"khách sáo, lịch sự",polite; courteous,"客气 (形) kèqi (khách khí) polite; courteous khách sáo, lịch sự",12,student_visible,vocabulary_image,"Soft educational textbook illustration for a Chinese classroom slide, 16:9 landscape, thin grey-blue hand-drawn outlines, muted pastel fills, pale clean background, gentle low-contrast shadows, no text, no letters, no numbers, no Chinese characters, no labels, no watermark. Show: two people politely smiling and lightly waving hands as if saying no need to be so formal.",assets/vocab-images/vocab-v012-keqi.png,,ready_for_visual_qa,"Verify image clearly matches 客气 / khách sáo, lịch sự and contains no text, labels, numbers, or Chinese characters."
V013,38,56,38,56,Từ vựng,vocabulary,,,工作,gōngzuò,"công việc, làm việc",work; to work,"工作 (名/动) gōngzuò (công tác) work; to work công việc, làm việc",13,student_visible,vocabulary_image,"Soft educational textbook illustration for a Chinese classroom slide, 16:9 landscape, thin grey-blue hand-drawn outlines, muted pastel fills, pale clean background, gentle low-contrast shadows, no text, no letters, no numbers, no Chinese characters, no labels, no watermark. Show: an adult working at a neat desk with a laptop, notebook, and focused posture.",assets/vocab-images/vocab-v013-gongzuo.png,,ready_for_visual_qa,"Verify image clearly matches 工作 / công việc, làm việc and contains no text, labels, numbers, or Chinese characters."
V014,38,56,38,56,Từ vựng,vocabulary,,,忙,máng,bận,busy,忙 (形) máng (mang) busy bận,14,student_visible,vocabulary_image,"Soft educational textbook illustration for a Chinese classroom slide, 16:9 landscape, thin grey-blue hand-drawn outlines, muted pastel fills, pale clean background, gentle low-contrast shadows, no text, no letters, no numbers, no Chinese characters, no labels, no watermark. Show: a person looking busy at a desk with several simple tasks around them, holding papers and a cup, mildly rushed but not stressed.",assets/vocab-images/vocab-v014-mang.png,,ready_for_visual_qa,"Verify image clearly matches 忙 / bận and contains no text, labels, numbers, or Chinese characters."
V015,38,56,38,56,Từ vựng,vocabulary,,,太,tài,quá,too; extremely,太 (副) tài (thái) too; extremely quá,15,student_visible,vocabulary_image,"Soft educational textbook illustration for a Chinese classroom slide, 16:9 landscape, thin grey-blue hand-drawn outlines, muted pastel fills, pale clean background, gentle low-contrast shadows, no text, no letters, no numbers, no Chinese characters, no labels, no watermark. Show: a person reacting to an oversized steaming teacup or very tall stack of books, clearly conveying too much / extremely.",assets/vocab-images/vocab-v015-tai.png,,ready_for_visual_qa,"Verify image clearly matches 太 / quá and contains no text, labels, numbers, or Chinese characters."
V016,38,56,38,56,Từ vựng,vocabulary,,,身体,shēntǐ,"sức khỏe, thân thể",body; health,"身体 (名) shēntǐ (thân thể) body; health sức khỏe, thân thể",16,student_visible,vocabulary_image,"Soft educational textbook illustration for a Chinese classroom slide, 16:9 landscape, thin grey-blue hand-drawn outlines, muted pastel fills, pale clean background, gentle low-contrast shadows, no text, no letters, no numbers, no Chinese characters, no labels, no watermark. Show: a healthy person stretching gently with a calm smile, simple body and health concept.",assets/vocab-images/vocab-v016-shenti.png,,ready_for_visual_qa,"Verify image clearly matches 身体 / sức khỏe, thân thể and contains no text, labels, numbers, or Chinese characters."
V017,38,56,38,56,Từ vựng,vocabulary,,,妈妈,māma,"mẹ, má",mother,"妈妈 (名) māma (ma ma) mother mẹ, má",17,student_visible,vocabulary_image,"Soft educational textbook illustration for a Chinese classroom slide, 16:9 landscape, thin grey-blue hand-drawn outlines, muted pastel fills, pale clean background, gentle low-contrast shadows, no text, no letters, no numbers, no Chinese characters, no labels, no watermark. Show: a kind mother standing with a child, warm family feeling, natural proportions.",assets/vocab-images/vocab-v017-mama.png,,ready_for_visual_qa,"Verify image clearly matches 妈妈 / mẹ, má and contains no text, labels, numbers, or Chinese characters."
G001,39,57,39-42,57-60,Ngữ âm,grammar_phonetics,Ngữ âm,语音,"声母 zh, ch, sh, r + 韵母 ua, uo, uai, uei(ui), uan, uen(un), uang, ueng","shēngmǔ zh, ch, sh, r + yùnmǔ ua, uo, uai, uei(ui), uan, uen(un), uang, ueng","Thanh mẫu zh, ch, sh, r + Vận mẫu ua, uo, uai, uei(ui), uan, uen(un), uang, ueng","Initials zh, ch, sh, r + Compound finals ua, uo, uai, uei(ui), uan, uen(un), uang, ueng",语音 Phonetics: 声母 zh ch sh r + 韵母 ua uo uai uei(ui) uan uen(un) uang ueng,18,student_visible,,,,,,
PN001,39,57,39,57,Tên riêng,proper_name,,,王,Wáng,Vương (họ),Wang (a Chinese family name),专名: 王 Wáng (Vương) Wang (a family name of Chinese) Họ Vương,,student_visible,,,,,,
CUL001,37,55,37,55,Văn hóa bổ sung,culture_note,"Đãi khách kiểu Trung Quốc: Mời vào, mời ngồi, mời uống trà",中国待客之道：请进、请坐、请喝茶,在中国，客人来了，主人会说「请进！请坐！请喝茶！」这三句话表示热情好客。茶是中国传统文化中重要的待客饮品，给客人倒茶是基本礼节。,"zài Zhōngguó, kèrén lái le, zhǔrén huì shuō ""qǐng jìn! qǐng zuò! qǐng hē chá!"" zhè sān jù huà biǎoshì rèqíng hàokè. chá shì Zhōngguó chuántǒng wénhuà zhōng zhòngyào de dàikè yǐnpǐn, gěi kèrén dào chá shì jīběn lǐjié.","Ở Trung Quốc, khi khách đến, chủ nhà thường nói ""Mời vào! Mời ngồi! Mời uống trà!"" — ba câu này thể hiện sự hiếu khách nồng hậu. Trà là thức uống đãi khách quan trọng trong văn hóa truyền thống Trung Quốc, rót trà mời khách là phép lịch sự cơ bản.","In China, when a guest arrives, the host says 'Please come in! Please sit! Please have tea!' These three phrases express warm hospitality. Tea is an important drink for hosting guests in traditional Chinese culture, and pouring tea for guests is basic etiquette.",文化补充: 请进请坐请喝茶 — Chinese hospitality culture and tea etiquette,,student_visible,,,,,,
