lesson_id,lesson_title,record_id,record_type,section,source_pdf,source_page,source_page_range,teaching_order,pinyin_group,pinyin_items_count,chinese_simplified,pinyin,vietnamese,target_sounds,exercise_type,raw_source_text,classroom_visibility,teacher_review_status,approved,notes_for_review,generated_at
pinyin-01,Pinyin · Bài 1 · Cơ bản: phát âm nhập môn,V005,vocabulary,Từ vựng,Pinyin lessons/pinyin-l1.14102024210713.pdf,9,9,11,vocab_set_l1_01,,鼻,bí,mũi,b i,,鼻 bí,student_visible,approved_latest_content,true,Phát âm đúng là chính; không yêu cầu nhận mặt chữ Hán.,2026-06-08T09:10:51.866Z
pinyin-01,Pinyin · Bài 1 · Cơ bản: phát âm nhập môn,V006,vocabulary,Từ vựng,Pinyin lessons/pinyin-l1.14102024210713.pdf,9,9,12,vocab_set_l1_01,,木,mù,gỗ,m u,,木 mù,student_visible,approved_latest_content,true,Phát âm đúng là chính; không yêu cầu nhận mặt chữ Hán.,2026-06-08T09:10:51.866Z
pinyin-01,Pinyin · Bài 1 · Cơ bản: phát âm nhập môn,V007,vocabulary,Từ vựng,Pinyin lessons/pinyin-l1.14102024210713.pdf,9,9,13,vocab_set_l1_01,,马,mǎ,con ngựa,m a,,馬 mǎ,student_visible,approved_latest_content,true,Phát âm đúng là chính; không yêu cầu nhận mặt chữ Hán.,2026-06-08T09:10:51.866Z
pinyin-01,Pinyin · Bài 1 · Cơ bản: phát âm nhập môn,V008,vocabulary,Từ vựng,Pinyin lessons/pinyin-l1.14102024210713.pdf,9,9,14,vocab_set_l1_01,,佛,fó,Phật,f o,,佛 fó,student_visible,approved_latest_content,true,Phát âm đúng là chính; không yêu cầu nhận mặt chữ Hán.,2026-06-08T09:10:51.866Z
pinyin-01,Pinyin · Bài 1 · Cơ bản: phát âm nhập môn,V009,vocabulary,Từ vựng,Pinyin lessons/pinyin-l1.14102024210713.pdf,11,11,15,vocab_set_l1_02,,妈妈,māma,mẹ,m a m a,,媽媽 māma,student_visible,approved_latest_content,true,Phát âm đúng là chính; không yêu cầu nhận mặt chữ Hán.,2026-06-08T09:10:51.866Z
pinyin-01,Pinyin · Bài 1 · Cơ bản: phát âm nhập môn,V010,vocabulary,Từ vựng,Pinyin lessons/pinyin-l1.14102024210713.pdf,11,11,16,vocab_set_l1_02,,爸爸,bàba,bố,b a b a,,爸爸 bàba,student_visible,approved_latest_content,true,Phát âm đúng là chính; không yêu cầu nhận mặt chữ Hán.,2026-06-08T09:10:51.866Z
pinyin-01,Pinyin · Bài 1 · Cơ bản: phát âm nhập môn,V011,vocabulary,Từ vựng,Pinyin lessons/pinyin-l1.14102024210713.pdf,11,11,17,vocab_set_l1_02,,服务,fúwù,phục vụ,f u w u,,服務 fúwù,student_visible,approved_latest_content,true,Phát âm đúng là chính; không yêu cầu nhận mặt chữ Hán.,2026-06-08T09:10:51.866Z
pinyin-01,Pinyin · Bài 1 · Cơ bản: phát âm nhập môn,V012,vocabulary,Từ vựng,Pinyin lessons/pinyin-l1.14102024210713.pdf,11,11,18,vocab_set_l1_02,,衣服,yīfu,quần áo,y i f u,,衣服 yīfu,student_visible,approved_latest_content,true,Phát âm đúng là chính; không yêu cầu nhận mặt chữ Hán.,2026-06-08T09:10:51.866Z
pinyin-01,Pinyin · Bài 1 · Cơ bản: phát âm nhập môn,V013,vocabulary,Từ vựng,Pinyin lessons/pinyin-l1.14102024210713.pdf,11,11,19,vocab_set_l1_02,,皮肤,pífū,da,p i f u,,皮膚 pífū,student_visible,approved_latest_content,true,Phát âm đúng là chính; không yêu cầu nhận mặt chữ Hán.,2026-06-08T09:10:51.866Z
pinyin-01,Pinyin · Bài 1 · Cơ bản: phát âm nhập môn,V014,vocabulary,Từ vựng,Pinyin lessons/pinyin-l1.14102024210713.pdf,11,11,20,vocab_set_l1_02,,密码,mìmǎ,mật mã,m i m a,,密碼 mìmǎ,student_visible,approved_latest_content,true,Phát âm đúng là chính; không yêu cầu nhận mặt chữ Hán.,2026-06-08T09:10:51.866Z
pinyin-01,Pinyin · Bài 1 · Cơ bản: phát âm nhập môn,V015,vocabulary,Từ vựng,Pinyin lessons/pinyin-l1.14102024210713.pdf,11,11,21,vocab_set_l1_02,,伯父,bófù,bác trai,b o f u,,伯父 bófù,student_visible,approved_latest_content,true,Phát âm đúng là chính; không yêu cầu nhận mặt chữ Hán.,2026-06-08T09:10:51.866Z
pinyin-01,Pinyin · Bài 1 · Cơ bản: phát âm nhập môn,V016,vocabulary,Từ vựng,Pinyin lessons/pinyin-l1.14102024210713.pdf,11,11,22,vocab_set_l1_02,,伯母,bómǔ,bác gái,b o m u,,伯母 bómǔ,student_visible,approved_latest_content,true,Phát âm đúng là chính; không yêu cầu nhận mặt chữ Hán.,2026-06-08T09:10:51.866Z
pinyin-01,Pinyin · Bài 1 · Cơ bản: phát âm nhập môn,EX003,exercise,Luyện từ vựng 1,Pinyin lessons/pinyin-l1.14102024210713.pdf,10,10,23,,,,,,,vocab_follow_record,詞彙 1 跟讀/錄音。確認詞彙 1 發音正確。,student_visible,approved_latest_content,true,Phát âm đúng là chính; không yêu cầu nhận mặt chữ Hán.,2026-06-08T09:10:51.866Z
pinyin-01,Pinyin · Bài 1 · Cơ bản: phát âm nhập môn,EX004,exercise,Luyện từ vựng 2,Pinyin lessons/pinyin-l1.14102024210713.pdf,12,12,24,,,,,,,vocab_follow_record,詞彙 2 跟讀/錄音。確認詞彙 2 發音正確。,student_visible,approved_latest_content,true,Phát âm đúng là chính; không yêu cầu nhận mặt chữ Hán.,2026-06-08T09:10:51.866Z
pinyin-01,Pinyin · Bài 1 · Cơ bản: phát âm nhập môn,CH001,challenge,Ôn tập cuối bài,Pinyin lessons/pinyin-l1.14102024210713.pdf,13,13,25,,,,,,,review_pronunciation,課後整合練習。發音正確為主，不要求認漢字。,student_visible,approved_latest_content,true,Phát âm đúng là chính; không yêu cầu nhận mặt chữ Hán.,2026-06-08T09:10:51.866Z
pinyin-01,Pinyin · Bài 1 · Cơ bản: phát âm nhập môn,AP001,appendix,Phụ lục,Pinyin lessons/pinyin-l1.14102024210713.pdf,18,18-19,26,,,,,,,,中文輸入法安裝與設定。,student_visible,approved_latest_content,true,,2026-06-08T09:10:51.866Z
