record_type,record_id,meaning_vi,meaning_vi_status
vocabulary,boya-elementary-i:放:fang,đặt; để,translated_subagent_draft
vocabulary,boya-elementary-i:够:gou,đủ,translated_subagent_draft
vocabulary,boya-elementary-i:放松:fangsong,thư giãn,translated_subagent_draft
vocabulary,boya-elementary-i:刮风:guafeng,có gió; gió thổi,translated_subagent_draft
vocabulary,boya-elementary-i:放心:fangxin,yên tâm,translated_subagent_draft
vocabulary,boya-elementary-i:光临:guanglin,ghé thăm (cách nói lịch sự),translated_subagent_draft
vocabulary,boya-elementary-i:飞机:feiji,máy bay,translated_subagent_draft
vocabulary,boya-elementary-i:逛街:gudngjie,đi dạo phố; mua sắm,translated_subagent_draft
vocabulary,boya-elementary-i:分:fen,phút (lượng từ),translated_subagent_draft
vocabulary,boya-elementary-i:贵:gui,đắt,translated_subagent_draft
vocabulary,boya-elementary-i:国:guo,nước; quốc gia,translated_subagent_draft
vocabulary,boya-elementary-i:分钟:fenzhong,phút,translated_subagent_draft
vocabulary,boya-elementary-i:国际关系:guojiguanxi,quan hệ quốc tế,translated_subagent_draft
vocabulary,boya-elementary-i:份:fen,phần; suất (lượng từ),translated_subagent_draft
vocabulary,boya-elementary-i:国家:guojia,quốc gia,translated_subagent_draft
vocabulary,boya-elementary-i:风:feng,gió,translated_subagent_draft
vocabulary,boya-elementary-i:过:guo,trải qua; ăn mừng,translated_subagent_draft
vocabulary,boya-elementary-i:风景:fengiing,phong cảnh,translated_subagent_draft
vocabulary,boya-elementary-i:服务员:fuwiyuan,nhân viên phục vụ,translated_subagent_draft
vocabulary,boya-elementary-i:辅导:tuddo,phụ đạo; hướng dẫn,translated_subagent_draft
vocabulary,boya-elementary-i:还:hai,còn; cũng,translated_subagent_draft
vocabulary,boya-elementary-i:还可以:haikeyi,cũng được; tạm ổn,translated_subagent_draft
vocabulary,boya-elementary-i:………极了:jile,cực kỳ; vô cùng,translated_subagent_draft
vocabulary,boya-elementary-i:还是:haishi,vẫn; hay là,translated_subagent_draft
vocabulary,boya-elementary-i:急事:jishi,việc gấp,translated_subagent_draft
vocabulary,boya-elementary-i:好:hdo,tốt; khỏe; được,translated_subagent_draft
vocabulary,boya-elementary-i:几:ji,mấy; bao nhiêu (số nhỏ),translated_subagent_draft
vocabulary,boya-elementary-i:好吃:hdochi,ngon,translated_subagent_draft
vocabulary,boya-elementary-i:记:ji,nhớ; ghi nhớ,translated_subagent_draft
vocabulary,boya-elementary-i:好好儿:hdohdor,cho tốt; thật kỹ,translated_subagent_draft
vocabulary,boya-elementary-i:季节:ijie,mùa,translated_subagent_draft
vocabulary,boya-elementary-i:好听:haoting,hay; dễ nghe,translated_subagent_draft
vocabulary,boya-elementary-i:继续:jixu,tiếp tục,translated_subagent_draft
vocabulary,boya-elementary-i:好像:hdoxiang,hình như; có vẻ,translated_subagent_draft
vocabulary,boya-elementary-i:加:jia,thêm; cộng,translated_subagent_draft
vocabulary,boya-elementary-i:号:hao,số; ngày,translated_subagent_draft
vocabulary,boya-elementary-i:家:jia,nhà; gia đình,translated_subagent_draft
vocabulary,boya-elementary-i:号码:hdoma,số; số điện thoại,translated_subagent_draft
vocabulary,boya-elementary-i:假期:jiaai,kỳ nghỉ,translated_subagent_draft
vocabulary,boya-elementary-i:喝:he,uống,translated_subagent_draft
vocabulary,boya-elementary-i:简单:jidndan,đơn giản,translated_subagent_draft
vocabulary,boya-elementary-i:合适:heshi,phù hợp; vừa,translated_subagent_draft
vocabulary,boya-elementary-i:见:jian,gặp; thấy,translated_subagent_draft
vocabulary,boya-elementary-i:和:he,và; với,translated_subagent_draft
vocabulary,boya-elementary-i:件:jian,chiếc; bộ (lượng từ quần áo),translated_subagent_draft
vocabulary,boya-elementary-i:黑:hei,đen,translated_subagent_draft
vocabulary,boya-elementary-i:建议:jianyi,đề nghị; góp ý,translated_subagent_draft
vocabulary,boya-elementary-i:很:hen,rất,translated_subagent_draft
vocabulary,boya-elementary-i:交:jiao,nộp; giao,translated_subagent_draft
vocabulary,boya-elementary-i:红:hong,đỏ,translated_subagent_draft
vocabulary,boya-elementary-i:饺子:jiaozi,bánh chẻo,translated_subagent_draft
vocabulary,boya-elementary-i:红酒:hongjiu,rượu vang,translated_subagent_draft
vocabulary,boya-elementary-i:叫:jiao,gọi; tên là,translated_subagent_draft
vocabulary,boya-elementary-i:后天:houtian,ngày kia,translated_subagent_draft
vocabulary,boya-elementary-i:教室:jidoshi,phòng học,translated_subagent_draft
vocabulary,boya-elementary-i:花儿:huar,hoa,translated_subagent_draft
vocabulary,boya-elementary-i:接:jie,đón; nhận,translated_subagent_draft
vocabulary,boya-elementary-i:坏:huai,hỏng; xấu,translated_subagent_draft
vocabulary,boya-elementary-i:节:jie,tiết (lượng từ cho buổi học),translated_subagent_draft
vocabulary,boya-elementary-i:欢迎:huanying,hoan nghênh; chào mừng,translated_subagent_draft
vocabulary,boya-elementary-i:节目:jiemi,chương trình; tiết mục,translated_subagent_draft
vocabulary,boya-elementary-i:回:hui,trả lời; hồi đáp,translated_subagent_draft
vocabulary,boya-elementary-i:结果:jieguo,kết quả,translated_subagent_draft
vocabulary,boya-elementary-i:回来:huilai,quay lại; trở về,translated_subagent_draft
vocabulary,boya-elementary-i:结束:jieshu,kết thúc,translated_subagent_draft
vocabulary,boya-elementary-i:会:hui,biết; có thể (kỹ năng),translated_subagent_draft
vocabulary,boya-elementary-i:解决:jiejue,giải quyết,translated_subagent_draft
vocabulary,boya-elementary-i:活动:huodong,hoạt động,translated_subagent_draft
vocabulary,boya-elementary-i:介绍:jieshao,giới thiệu,translated_subagent_draft
vocabulary,boya-elementary-i:火车:huoche,tàu hỏa,translated_subagent_draft
vocabulary,boya-elementary-i:斤:jin,cân (nửa kilogram),translated_subagent_draft
vocabulary,boya-elementary-i:或者:huozhe,hoặc,translated_subagent_draft
vocabulary,boya-elementary-i:今天:jintian,hôm nay,translated_subagent_draft
vocabulary,boya-elementary-i:进:jin,vào,translated_subagent_draft
vocabulary,boya-elementary-i:近:jin,gần,translated_subagent_draft
vocabulary,boya-elementary-i:机场:jichang,sân bay,translated_subagent_draft
vocabulary,boya-elementary-i:纠正:jiuzheng,sửa; chỉnh sửa,translated_subagent_draft
vocabulary,boya-elementary-i:鸡肉:jirou,thịt gà,translated_subagent_draft
vocabulary,boya-elementary-i:久:jiu,lâu,translated_subagent_draft
vocabulary,boya-elementary-i:就:jiu,liền; ngay; thì,translated_subagent_draft
vocabulary,boya-elementary-i:快递:kudidi,chuyển phát nhanh,translated_subagent_draft
vocabulary,boya-elementary-i:聚餐:jucan,ăn chung; liên hoan,translated_subagent_draft
vocabulary,boya-elementary-i:快乐:kudile,vui vẻ,translated_subagent_draft
vocabulary,boya-elementary-i:聚会:juhui,buổi tụ họp; tiệc,translated_subagent_draft
vocabulary,boya-elementary-i:困:kun,buồn ngủ,translated_subagent_draft
vocabulary,boya-elementary-i:决定:jueding,quyết định,translated_subagent_draft
vocabulary,boya-elementary-i:觉得:juede,cảm thấy; nghĩ rằng,translated_subagent_draft
vocabulary,boya-elementary-i:来:lai,đến; dùng để chỉ việc sắp làm,translated_subagent_draft
vocabulary,boya-elementary-i:蓝:lan,xanh lam,translated_subagent_draft
vocabulary,boya-elementary-i:咖啡:kafei,cà phê,translated_subagent_draft
vocabulary,boya-elementary-i:篮球:lanqid,bóng rổ,translated_subagent_draft
vocabulary,boya-elementary-i:卡拉OK:kalaok,karaoke,translated_subagent_draft
vocabulary,boya-elementary-i:老家:idojia,quê nhà,translated_subagent_draft
vocabulary,boya-elementary-i:开:kai,mở; rời đi,translated_subagent_draft
vocabulary,boya-elementary-i:老师:laoshi,giáo viên,translated_subagent_draft
vocabulary,boya-elementary-i:开始:kaishi,bắt đầu,translated_subagent_draft
vocabulary,boya-elementary-i:了:le,trợ từ chỉ sự hoàn tất hoặc sự thay đổi,translated_subagent_draft
vocabulary,boya-elementary-i:开玩笑:kaiwanxido,nói đùa; trêu,translated_subagent_draft
vocabulary,boya-elementary-i:累:lei,mệt,translated_subagent_draft
vocabulary,boya-elementary-i:开心:kaixin,vui vẻ,translated_subagent_draft
vocabulary,boya-elementary-i:冷:leng,lạnh,translated_subagent_draft
vocabulary,boya-elementary-i:开学:kaixue,bắt đầu học kỳ,translated_subagent_draft
vocabulary,boya-elementary-i:离:ii,cách; rời khỏi,translated_subagent_draft
vocabulary,boya-elementary-i:看:kan,nhìn; xem,translated_subagent_draft
vocabulary,boya-elementary-i:礼物:iiwu,quà,translated_subagent_draft
vocabulary,boya-elementary-i:看起来:kanqilai,trông có vẻ,translated_subagent_draft
vocabulary,boya-elementary-i:里（边）:libian,bên trong,translated_subagent_draft
vocabulary,boya-elementary-i:考虑:kdolii,cân nhắc; xem xét,translated_subagent_draft
vocabulary,boya-elementary-i:历史:lishr,lịch sử,translated_subagent_draft
vocabulary,boya-elementary-i:考试:kaoshi,thi; kỳ thi,translated_subagent_draft
vocabulary,boya-elementary-i:厉害:lihai,lợi hại; nghiêm trọng; giỏi,translated_subagent_draft
vocabulary,boya-elementary-i:烤鸭:kdoya,vịt quay,translated_subagent_draft
vocabulary,boya-elementary-i:练习:lianxi,luyện tập; bài tập,translated_subagent_draft
vocabulary,boya-elementary-i:咳嗽:kesou,ho,translated_subagent_draft
vocabulary,boya-elementary-i:可乐:kele,nước cola,translated_subagent_draft
vocabulary,boya-elementary-i:两:lidng,hai (đứng trước lượng từ),translated_subagent_draft
vocabulary,boya-elementary-i:可能:keneng,có thể; có lẽ,translated_subagent_draft
vocabulary,boya-elementary-i:可是:keshi,nhưng; tuy nhiên,translated_subagent_draft
vocabulary,boya-elementary-i:辆:liang,chiếc (lượng từ cho xe),translated_subagent_draft
vocabulary,boya-elementary-i:可以:keyi,có thể; được phép,translated_subagent_draft
vocabulary,boya-elementary-i:聊天儿:lidotianr,trò chuyện,translated_subagent_draft
vocabulary,boya-elementary-i:刻:ke,một phần tư giờ,translated_subagent_draft
vocabulary,boya-elementary-i:零下:iingxid,dưới 0 độ,translated_subagent_draft
vocabulary,boya-elementary-i:课:ke,bài học; tiết học,translated_subagent_draft
vocabulary,boya-elementary-i:留学生:liuxuesheng,du học sinh,translated_subagent_draft
vocabulary,boya-elementary-i:课间:kejian,giờ ra chơi,translated_subagent_draft
vocabulary,boya-elementary-i:六:iiu,sáu,translated_subagent_draft
vocabulary,boya-elementary-i:口语:kouy,khẩu ngữ; tiếng nói,translated_subagent_draft
vocabulary,boya-elementary-i:楼:iou,tầng; tòa nhà,translated_subagent_draft
vocabulary,boya-elementary-i:块（元）:kuaiyuan,đồng (đơn vị tiền Trung Quốc),translated_subagent_draft
vocabulary,boya-elementary-i:路口:lkou,ngã tư; giao lộ,translated_subagent_draft
vocabulary,boya-elementary-i:快……了:kuaile,sắp; gần đến lúc,translated_subagent_draft
vocabulary,boya-elementary-i:路上:lushang,trên đường,translated_subagent_draft
vocabulary,boya-elementary-i:旅行:luxing,du lịch,translated_subagent_draft
vocabulary,boya-elementary-i:能:neng,có thể,translated_subagent_draft
vocabulary,boya-elementary-i:你:ni,bạn; anh/chị,translated_subagent_draft
vocabulary,boya-elementary-i:你们:nimen,các bạn; mọi người,translated_subagent_draft
vocabulary,boya-elementary-i:妈妈:mama,mẹ,translated_subagent_draft
vocabulary,boya-elementary-i:牛奶:niundi,sữa,translated_subagent_draft
vocabulary,boya-elementary-i:吗:ma,trợ từ đặt cuối câu hỏi,translated_subagent_draft
vocabulary,boya-elementary-i:努力:nuli,chăm chỉ; cố gắng,translated_subagent_draft
vocabulary,boya-elementary-i:头:mai,mua,translated_subagent_draft
vocabulary,boya-elementary-i:女:ni,nữ; phụ nữ,translated_subagent_draft
vocabulary,boya-elementary-i:卖:mai,bán,translated_subagent_draft
vocabulary,boya-elementary-i:女朋友:nupengyou,bạn gái,translated_subagent_draft
vocabulary,boya-elementary-i:忙:mang,bận,translated_subagent_draft
vocabulary,boya-elementary-i:毛（角）:maojiao,hào (một phần mười đồng),translated_subagent_draft
vocabulary,boya-elementary-i:毛笔:maobi,bút lông,translated_subagent_draft
vocabulary,boya-elementary-i:爬山:pashan,leo núi,translated_subagent_draft
vocabulary,boya-elementary-i:没（有）:meiyou,không có,translated_subagent_draft
vocabulary,boya-elementary-i:拍:pai,chụp; vỗ,translated_subagent_draft
vocabulary,boya-elementary-i:每:mei,mỗi,translated_subagent_draft
vocabulary,boya-elementary-i:旁边:pangbian,bên cạnh,translated_subagent_draft
vocabulary,boya-elementary-i:门口:menkou,cửa ra vào; trước cửa,translated_subagent_draft
vocabulary,boya-elementary-i:胖:pang,béo; mập,translated_subagent_draft
vocabulary,boya-elementary-i:米饭:mifan,cơm,translated_subagent_draft
vocabulary,boya-elementary-i:朋友:pengyou,bạn bè,translated_subagent_draft
vocabulary,boya-elementary-i:面包:mianbao,bánh mì,translated_subagent_draft
vocabulary,boya-elementary-i:啤酒:piji,bia,translated_subagent_draft
vocabulary,boya-elementary-i:面食:midnshi,món làm từ bột mì,translated_subagent_draft
vocabulary,boya-elementary-i:便宜:pianyi,rẻ,translated_subagent_draft
vocabulary,boya-elementary-i:面条儿:miantidor,mì sợi,translated_subagent_draft
vocabulary,boya-elementary-i:票:pido,vé,translated_subagent_draft
vocabulary,boya-elementary-i:名字:mingzi,tên,translated_subagent_draft
vocabulary,boya-elementary-i:漂亮:pidoliang,đẹp,translated_subagent_draft
vocabulary,boya-elementary-i:明白:mingbai,hiểu; rõ,translated_subagent_draft
vocabulary,boya-elementary-i:苹果:pinggui,táo,translated_subagent_draft
vocabulary,boya-elementary-i:明天:mingtian,ngày mai,translated_subagent_draft
vocabulary,boya-elementary-i:屏幕:pingmi,màn hình,translated_subagent_draft
vocabulary,boya-elementary-i:蘑菇:mogu,nấm,translated_subagent_draft
vocabulary,boya-elementary-i:瓶:ping,chai (lượng từ),translated_subagent_draft
vocabulary,boya-elementary-i:哪:nd,nào; cái nào,translated_subagent_draft
vocabulary,boya-elementary-i:骑:qi,cưỡi; đi (xe),translated_subagent_draft
vocabulary,boya-elementary-i:哪儿:nar,ở đâu,translated_subagent_draft
vocabulary,boya-elementary-i:起床:qichuang,thức dậy,translated_subagent_draft
vocabulary,boya-elementary-i:那:na,kia; đó,translated_subagent_draft
vocabulary,boya-elementary-i:钱:qian,tiền,translated_subagent_draft
vocabulary,boya-elementary-i:男:nan,nam; con trai,translated_subagent_draft
vocabulary,boya-elementary-i:清楚:qingchu,rõ; rõ ràng,translated_subagent_draft
vocabulary,boya-elementary-i:南方:nanfang,miền nam,translated_subagent_draft
vocabulary,boya-elementary-i:晴天:qingtian,ngày nắng; trời quang,translated_subagent_draft
vocabulary,boya-elementary-i:难:nan,khó,translated_subagent_draft
vocabulary,boya-elementary-i:请假:qingjia,xin nghỉ,translated_subagent_draft
vocabulary,boya-elementary-i:难看:nankan,xấu; khó coi,translated_subagent_draft
vocabulary,boya-elementary-i:请客:qingke,mời ăn; đãi khách,translated_subagent_draft
vocabulary,boya-elementary-i:呢:ne,nhỉ; vậy (trợ từ cuối câu),translated_subagent_draft
vocabulary,boya-elementary-i:秋天:qiutian,mùa thu,translated_subagent_draft
vocabulary,boya-elementary-i:去:qu,đi,translated_subagent_draft
vocabulary,boya-elementary-i:事:shi,việc; chuyện,translated_subagent_draft
vocabulary,boya-elementary-i:去年:qunian,năm ngoái,translated_subagent_draft
vocabulary,boya-elementary-i:试:shi,thử,translated_subagent_draft
vocabulary,boya-elementary-i:确实:queshi,quả thật; đúng là,translated_subagent_draft
vocabulary,boya-elementary-i:试衣间:shiyijian,phòng thử đồ,translated_subagent_draft
vocabulary,boya-elementary-i:是:shi,là; phải,translated_subagent_draft
vocabulary,boya-elementary-i:收到:shoudao,nhận được,translated_subagent_draft
vocabulary,boya-elementary-i:然后:ranhou,sau đó; rồi,translated_subagent_draft
vocabulary,boya-elementary-i:手:shou,tay,translated_subagent_draft
vocabulary,boya-elementary-i:让:rang,khiến; bảo,translated_subagent_draft
vocabulary,boya-elementary-i:手机:shouji,điện thoại di động,translated_subagent_draft
vocabulary,boya-elementary-i:热:re,nóng,translated_subagent_draft
vocabulary,boya-elementary-i:书:shu,sách,translated_subagent_draft
vocabulary,boya-elementary-i:热闹:renao,nhộn nhịp; đông vui,translated_subagent_draft
vocabulary,boya-elementary-i:书包:shubao,cặp sách,translated_subagent_draft
vocabulary,boya-elementary-i:人:ren,người,translated_subagent_draft
vocabulary,boya-elementary-i:书法:shufd,thư pháp,translated_subagent_draft
vocabulary,boya-elementary-i:认识:renshi,biết; quen,translated_subagent_draft
vocabulary,boya-elementary-i:舒服:shufu,dễ chịu; thoải mái,translated_subagent_draft
vocabulary,boya-elementary-i:如果:ruguo,nếu,translated_subagent_draft
vocabulary,boya-elementary-i:输:shu,thua,translated_subagent_draft
vocabulary,boya-elementary-i:暑假:shujia,kỳ nghỉ hè,translated_subagent_draft
vocabulary,boya-elementary-i:扫:sdo,quét; quét mã,translated_subagent_draft
vocabulary,boya-elementary-i:束:shu,bó (lượng từ hoa),translated_subagent_draft
vocabulary,boya-elementary-i:删:shan,xóa,translated_subagent_draft
vocabulary,boya-elementary-i:刷卡:shuaka,quẹt thẻ,translated_subagent_draft
vocabulary,boya-elementary-i:商店:shangaian,cửa hàng,translated_subagent_draft
vocabulary,boya-elementary-i:帅:shudi,đẹp trai,translated_subagent_draft
vocabulary,boya-elementary-i:上网:shangwdng,lên mạng; lướt mạng,translated_subagent_draft
vocabulary,boya-elementary-i:谁:shuishei,ai,translated_subagent_draft
