record_id,source_page,source_page_range,source_pdf_page,source_pdf_page_range,source_pdf,section,record_type,chinese_simplified,pinyin,vietnamese,english,word_type_vi,word_type_abbr,han_viet,raw_source_text,teaching_order,classroom_visibility,sample_sentence_pinyin,sample_sentence_zh,sample_sentence_vi
N001,78,78,96,96,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,Văn hóa bổ sung,concept,请问，……？,qǐngwèn,"Khi muốn hỏi người lạ hoặc hỏi trong tình huống lịch sự, tiếng Trung thường mở đầu bằng “请问，……？”. Tiếng Việt hay nói “Bạn cho tôi hỏi...” hoặc “Anh cho em hỏi...”, nhưng không nên dịch thẳng thành “你给我问”. Câu đó trong tiếng Trung nghe như “bạn đưa cho tôi quyền hỏi / bạn cho tôi hỏi đi”, không tự nhiên và hơi thiếu lịch sự. Cách đúng, gọn và lịch sự là dùng “请问”.",Use 请问 before a polite question. Vietnamese phrases like “Bạn cho tôi hỏi...” or “Anh cho em hỏi...” should not be translated word-for-word into Chinese as 你给我问; that sounds unnatural and impolite.,,,,向别人询问事情时常说“请问，……?” Vietnamese comparison added for teaching: avoid word-for-word translation of “Bạn cho tôi hỏi...” as “你给我问”; use “请问” instead.,18,student_visible,"qǐngwèn, zhè shì bàngōngshì ma",请问，这是办公室吗？,"Xin hỏi, đây có phải là văn phòng không?"
N002,78,78,96,96,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,Ngữ pháp,grammar,呢,ne,"Trong câu “他在家呢”, chữ “呢” đứng cuối câu để làm câu nghe tự nhiên hơn và nhấn mạnh: người đó đang ở nhà thật. Có thể hiểu đơn giản là người nói đang xác nhận tình huống hiện tại, không phải đặt câu hỏi.","In 他在家呢, 呢 at the end makes the statement sound natural and confirms the current situation: he is indeed at home.",trợ từ,助,,“呢”用在陈述句尾，表示肯定的语气以确认事实。,19,student_visible,tā zài jiā ne,他在家呢。,Anh ấy đang ở nhà.
G001,79,79-80,97,97-98,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,Ngữ pháp,grammar,汉语句子的语序,Hànyǔ jùzi de yǔxù,"Tiếng Hán rất coi trọng thứ tự từ. Nói đơn giản: trước hết nói “ai / cái gì”, sau đó nói “làm gì / như thế nào”, rồi mới thêm nơi chốn, thời gian hoặc đồ vật liên quan. Nếu đổi chỗ lung tung, người nghe vẫn thấy từng từ quen, nhưng cả câu sẽ khó hiểu. Khi mới học, cứ giữ khung dễ nhớ: ai + làm gì + với cái gì / ở đâu.","Chinese relies heavily on word order. For beginners: say who or what first, then say what happens, then add the object, place, or time.",,,,Textbook grammar absorbed and rewritten simply: 汉语没有严格意义上的形态变化，语序是汉语的主要语法手段。汉语的句子由主语、谓语、宾语、定语、状语、补语等六种成分组成。,22,student_visible,wǒ péngyou xiàwǔ qù yínháng,我朋友下午去银行。,Bạn tôi buổi chiều đi ngân hàng.
G002,80,80,98,98,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,Ngữ pháp,grammar,动词谓语句,dòngcí wèiyǔ jù,"Khi trong câu có một hành động chính, hãy đọc theo mẫu rất đơn giản: ai + làm gì + cái gì. Ví dụ “我学习汉语” nghĩa là “tôi học tiếng Hán”: 我 là người làm, 学习 là việc đang làm, 汉语 là thứ được học. “王老师住十八楼” cũng giống vậy: thầy Vương + ở + tầng 18.","For action sentences, use a simple pattern: who + does what + what/place. Example: 我学习汉语 = I study Chinese.",,,,Textbook grammar absorbed and rewritten simply: 动词作谓语主要成分的句子叫动词谓语句。语序是：主语 + 谓语（动词） + 宾语。,23,student_visible,wǒ xuéxí Hànyǔ,我学习汉语。,Tôi học tiếng Hán.
G003,81,81,99,99,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,Ngữ pháp,grammar,号码的读法,hàomǎ de dúfǎ,"Khi đọc số điện thoại, số phòng hoặc mã số, đừng đọc như một con số lớn. Hãy đọc từng chữ số một, giống như đánh vần bằng số. Trong mã số, 一 thường đọc là yāo để nghe rõ hơn; 二 đọc là èr, không đọc liǎng. Nếu có hai số giống nhau đứng cạnh nhau, vẫn đọc từng số một.","For phone numbers, room numbers, and codes, read digit by digit. 一 is often yāo; 二 is èr; repeated digits are read one by one.",,,,号码中的数字为基数词的读法，不管有多少位数字，都要一个一个地读出数字。号码中的“一”常常读作“yāo”。号码中“二”要读作“èr”，不能读成“liǎng”。相同的数字要分别读出。,24,student_visible,liù èr jiǔ sān yāo líng qī sì,6293 1074,sáu hai chín ba một không bảy bốn
E001,82,82,100,100,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,Bài tập,exercise,辨音辨调,biànyīn biàndiào,"Phân biệt âm, thanh điệu",Pronunciations and tones,,,,duō shì / túshū / jiè shào / xiě shā; qiāo mén / jiào rén / bù kè / bù kě; kèqi / kèqi / bùguò / bù guò,25,teacher_only,,,
E002,82,82,100,100,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,Bài tập,exercise,儿化韵,érhuà yùn,Vần có âm uốn lưỡi,The retroflex syllables,,,,"yìdiǎnr, yíxiàr, chàdiǎnr, yǒudiǎnr, zhù nǎr, zhù zhèr, pángbiānr, hǎo diǎnr",26,teacher_only,,,
E003,82,82,100,100,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,Bài tập,exercise,“一”的变调,yī de biàndiào,Biến điệu của 一,The modulations of 一,,,,"yì zhī, yì běn, yì bǎ, yì wǎn, yí kè, yì jiàn, yí cì, yì piān",27,teacher_only,,,
E004,82,82,100,100,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,Bài tập,exercise,轻声,qīngshēng,Thanh nhẹ,The neutral tone,,,,"bízi, sǎngzi, dùzi, kùzi, qúnzi, bèizi, běnzi; lèi ma, lèi le, è ma, è le, kě ma, kě le, lěng le, dìng le, xiě le, shuō le, duō le, pǎo le, kū le, xiào le",28,teacher_only,,,
E005,82,82,100,100,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,Bài tập,exercise,三声变调,sānshēng biàndiào,Biến điệu của thanh 3,The modulations of the 3rd tone,,,,"qǐng hē, nǐ tīng, kěnéng, hěn téng, hǎo lěng, hǎo tīng, měihǎo, shǒubiǎo, hěn dà, kěpà, hěn màn, hǎokàn",29,teacher_only,,,
E006,82,82-83,100,100-101,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,Bài tập,exercise,多音节连读、声调搭配,"duōyīnjié liándú, shēngdiào dāpèi",Đọc liền nhiều âm tiết; phối hợp thanh điệu,Multisyllabic liaison; collocations of tones,,,,"记生词, 写汉字, 读课文, 听录音, 听音乐, 做练习, 去商店, 买东西, 看电影, 看电视, 打网球, 踢足球; xiānsheng, gūniang, gānjìng, qīngchu, shénme, shíhou, liǎngkuài, míngzi, nǐmen, wǒmen, zǎoshang, wǎnshang, zhège, dìfang, zhème, piàoliang",30,teacher_only,,,
E007,83,83,101,101,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,Bài tập,exercise,认读,rèndú,Nhận biết chữ Hán và đọc,Read and learn,,,,"找老师, 找同学, 找朋友, 找书, 找东西; 在家, 在学校, 在食堂, 在八楼, 在办公室; 我知道, 你知道, 他知道, 不知道, 知道吗",31,student_visible,,,
E008,83,83,101,101,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,Bài tập,exercise,回答问题,huídá wèntí,Trả lời câu hỏi,Answer the following questions,,,,Nǐ shì liúxuéshēng ma? Nǐ xuéxí shénme? Nǐ zhù nǎr? Nǐ zhù duōshao hào? Nǐ de shǒujī hàomǎ shì duōshao?,32,student_visible,,,
E009,83,83,101,101,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,Bài tập,exercise,成段表达,chéngduàn biǎodá,Diễn đạt thành đoạn,Express yourself,,,,我去办公室找王老师，办公室的老师说，王老师不在，他在家呢。王老师住18楼1门601号，他家的电话是62931074。,33,student_visible,,,
E010,84,84,102,102,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,Bài tập,exercise,写汉字,xiě Hànzì,Tập viết chữ Hán,Learn to write,,,,写汉字：住、有、公、室、在、家、呢、知、道、电、话、号、手、机,34,student_visible,,,
C001,85,85,103,103,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,Văn hóa bổ sung,appendix,常用电话号码：查号台114，匪警电话110，天气预报121，火警电话119，急救电话120。,,"Một số số điện thoại thường dùng ở Trung Quốc: tra cứu số 114, báo cảnh sát 110, dự báo thời tiết 121, cứu hỏa 119, cấp cứu 120.",Some useful telephone numbers in China.,,,,常用电话号码：查号台114；匪警电话110；天气预报121；火警电话119；急救电话120。,35,optional_student_visible,,,
C002,,,,,,Văn hóa bổ sung,appendix,常见数字谐音：520 = 我爱你；666 = 很厉害、很顺。,,"Một số con số thường gặp trong đời sống mạng Trung Quốc: 520 đọc gần giống “我爱你”, thường hiểu là “anh/em yêu bạn”; 666 dùng để khen ai đó rất giỏi, làm rất mượt, rất đỉnh.",Common Chinese number slang: 520 sounds like I love you; 666 praises something as skillful or smooth.,,,,"Supplemental culture note, not from textbook page: 常见数字谐音 520 / 666.",36,optional_student_visible,,,
