Question #,Question Text,Answer 1,Answer 2,Answer 3 (Optional),Answer 4 (Optional),Time Limit (sec) ,Correct Answer(s)
36,拼音“yǔzhòng-bùtóng”对应哪个词语？,惊讶,交往,与众不同,低调,20,3
37,“不约而同”是什么意思？,không khỏi,đồng âm,tổ tiên,"cùng làm, không hẹn",20,4
38,“不约而同”的拼音是什么？,yóuxì,chīkǔ,zuómo,búyuē'értóng,20,4
39,拼音“búyuē'értóng”对应哪个词语？,不约而同,怨,琢磨,祖宗,20,1
40,“发音”是什么意思？,xưng hô,không khỏi,"cùng làm, không hẹn",phát âm,20,4
41,“发音”的拼音是什么？,jūrán,bùyóude,fāyīn,dīdiào,20,3
42,拼音“fāyīn”对应哪个词语？,琢磨,发音,起名儿,困惑不解,20,2
43,“头等大事”是什么意思？,đặt tên,việc quan trọng nhất,xưng hô,ngạc nhiên,20,2
44,“头等大事”的拼音是什么？,jūrán,tóuděng dàshì,búyuē'értóng,qīnrè,20,2
45,拼音“tóuděng dàshì”对应哪个词语？,惊讶,糟,莫名其妙,头等大事,20,4
46,“别扭”是什么意思？,gượng gạo,suy nghĩ kỹ,dở khóc dở cười,tổ tiên,20,1
47,“别扭”的拼音是什么？,bièniu,cóngxiǎo,xiǎozi,jīngyà,20,1
48,拼音“bièniu”对应哪个词语？,游戏,同音,别扭,小子,20,3
49,“糟”是什么意思？,tệ,đặt tên,đồng âm,lo lắng,20,1
50,“糟”的拼音是什么？,zuómo,tóuděng dàshì,zāo,tóngyīn,20,3
51,拼音“zāo”对应哪个词语？,困惑不解,低调,糟,亲热,20,3
52,“低调”是什么意思？,lại cứ,từ xưa,hiếm gặp,kín tiếng,20,4
53,“低调”的拼音是什么？,dīdiào,bùyóude,shǎojiàn,jiāowǎng,20,1
54,拼音“dīdiào”对应哪个词语？,不约而同,同音,低调,啼笑皆非,20,3
55,“小子”是什么意思？,cậu nhóc,xưng hô,phát âm,gượng gạo,20,1
56,“小子”的拼音是什么？,zìgǔ,xiǎozi,qīnrè,jīngyà,20,2
57,拼音“xiǎozi”对应哪个词语？,交往,怨,小子,从小,20,3
58,“同音”是什么意思？,đồng âm,cảnh báo,không khỏi,gượng gạo,20,1
59,“同音”的拼音是什么？,jiāowǎng,tóngyīn,jīngyà,zūnchēng,20,2
60,拼音“tóngyīn”对应哪个词语？,莫名其妙,同音,从小,啼笑皆非,20,2
61,“游戏”是什么意思？,thân mật,cách gọi kính trọng,từ nhỏ,trò chơi,20,4
62,“游戏”的拼音是什么？,kùnhuò-bùjiě,yuàn,yóuxì,jūrán,20,3
63,拼音“yóuxì”对应哪个词语？,称呼,啼笑皆非,交往,游戏,20,4
64,“居然”是什么意思？,từ nhỏ,dở khóc dở cười,vậy mà,thân mật,20,3
65,“居然”的拼音是什么？,yǔzhòng-bùtóng,jūrán,tíxiào-jiēfēi,jīngyà,20,2
66,拼音“jūrán”对应哪个词语？,居然,不由得,尊称,游戏,20,1
67,“好奇”是什么意思？,tò mò,đồng âm,"cùng làm, không hẹn",suy nghĩ kỹ,20,1
68,“好奇”的拼音是什么？,hàoqí,zūnchēng,búyuē'értóng,jiāowǎng,20,1
69,拼音“hàoqí”对应哪个词语？,偏偏,不由得,与众不同,好奇,20,4
70,“不由得”是什么意思？,không khỏi,gượng gạo,vậy mà,tổ tiên,20,1
71,“不由得”的拼音是什么？,bùyóude,jīngyà,yóuxì,piānpiān,20,1
72,拼音“bùyóude”对应哪个词语？,低调,不由得,吃苦,称呼,20,2
73,“祖宗”是什么意思？,tổ tiên,đồng âm,hiếm gặp,cách gọi kính trọng,20,1
74,“祖宗”的拼音是什么？,zǔzōng,mòmíngqímiào,fèijìn-xīnjī,qǐ míngr,20,1
75,拼音“zǔzōng”对应哪个词语？,从小,发音,偏偏,祖宗,20,4
76,“偏偏”是什么意思？,lại cứ,không khỏi,gượng gạo,tổ tiên,20,1
77,“偏偏”的拼音是什么？,yǔzhòng-bùtóng,piānpiān,fāyīn,lèng,20,2
78,拼音“piānpiān”对应哪个词语？,不约而同,偏偏,交往,警告,20,2
79,“操心”是什么意思？,tò mò,việc quan trọng nhất,vậy mà,lo lắng,20,4
80,“操心”的拼音是什么？,qǐ míngr,lèng,cāoxīn,tíxiào-jiēfēi,20,3
81,拼音“cāoxīn”对应哪个词语？,操心,祖宗,从小,警告,20,1
82,“啼笑皆非”是什么意思？,khác biệt,dở khóc dở cười,trò chơi,vắt óc,20,2
83,“啼笑皆非”的拼音是什么？,cóngxiǎo,tíxiào-jiēfēi,búyuē'értóng,bièniu,20,2
84,拼音“tíxiào-jiēfēi”对应哪个词语？,尊称,不由得,啼笑皆非,操心,20,3
85,“少见”是什么意思？,từ xưa,vắt óc,kín tiếng,hiếm gặp,20,4
86,“少见”的拼音是什么？,zāo,bùyóude,cóngxiǎo,shǎojiàn,20,4
87,拼音“shǎojiàn”对应哪个词语？,少见,同音,亲热,困惑不解,20,1
88,“尊称”是什么意思？,trách móc,cách gọi kính trọng,vậy mà,lo lắng,20,2
89,“尊称”的拼音是什么？,yóuxì,tíxiào-jiēfēi,qǐ míngr,zūnchēng,20,4
90,拼音“zūnchēng”对应哪个词语？,少见,尊称,起名儿,祖宗,20,2
91,“称呼”是什么意思？,lo lắng,tệ,xưng hô,từ xưa,20,3
92,“称呼”的拼音是什么？,tóuděng dàshì,zuómo,chēnghu,lèng,20,3
93,拼音“chēnghu”对应哪个词语？,称呼,别扭,游戏,惊讶,20,1
94,“交往”是什么意思？,lại cứ,giao tiếp,từ nhỏ,cảnh báo,20,2
95,“交往”的拼音是什么？,jiāowǎng,tíxiào-jiēfēi,zìgǔ,jūrán,20,1
96,拼音“jiāowǎng”对应哪个词语？,好奇,费尽心机,交往,警告,20,3
97,“自古”是什么意思？,trách móc,từ xưa,đặt tên,cậu nhóc,20,2
98,“自古”的拼音是什么？,zuómo,zìgǔ,xiǎozi,cāoxīn,20,2
99,拼音“zìgǔ”对应哪个词语？,起名儿,自古,少见,惊讶,20,2
100,“亲热”是什么意思？,thân mật,việc quan trọng nhất,ngẩn người,ngạc nhiên,20,1
101,“亲热”的拼音是什么？,qīnrè,jīngyà,tóuděng dàshì,búyuē'értóng,20,1
102,拼音“qīnrè”对应哪个词语？,不约而同,惊讶,发音,亲热,20,4
